Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Others,Total Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1303221368441.000000,,,1303221368441.000000,-704250345578.000000,,,-704250345578.000000,598971022863.000000,-202830619388.000000,-231307356989.000000,-76664884554.000000,90572025682.000000,283347215.000000,14286249258.000000,-202830619388.000000,396140403475.000000,109804268159.000000,106490048386.000000,,3314219773.000000,,,109804268159.000000,505944671634.000000,-107941158953.000000,-107443590001.000000,,-107443590001.000000,-497568952.000000,,-107941158953.000000,398003512681.000000,-195784134492.000000,202219378189.000000,,,,,202219378189.000000,398003512681.000000,-195784134492.000000,202219378189.000000,,,,
12M 2009,1332371525317.000000,,,1332371525317.000000,-733065104427.000000,,,-733065104427.000000,599306420890.000000,-403998201611.000000,-244505061306.000000,-70964073555.000000,-102394599566.000000,831074243.000000,13034458573.000000,-403998201611.000000,195308219279.000000,103435493096.000000,107034860095.000000,,-3599366999.000000,,,103435493096.000000,298743712375.000000,-71260650263.000000,-73099524004.000000,,-73099524004.000000,1838873741.000000,,-71260650263.000000,227483062112.000000,-91155393885.000000,136327668227.000000,,,,,136327668227.000000,227483062112.000000,-91155393885.000000,136327668227.000000,,,,
12M 2010,1692687370087.000000,,,1692687370087.000000,-957985199480.000000,,,-957985199480.000000,734702170607.000000,-359747220032.000000,-104069478472.000000,-288813428674.000000,-31517014872.000000,2119723247.000000,62532978739.000000,-359747220032.000000,374954950575.000000,107317942980.000000,110967196941.000000,-6464484350.000000,2815230389.000000,,,107317942980.000000,482272893555.000000,-93022310631.000000,-92999988553.000000,,-92999988553.000000,-22322078.000000,,-93022310631.000000,389250582924.000000,-131291005236.000000,257959577688.000000,,,,,257959577688.000000,389250582924.000000,-131291005236.000000,257959577688.000000,,,,
12M 2011,2178331003289.000000,,,2178331003289.000000,-1135338808147.000000,,,-1135338808147.000000,1042992195142.000000,-545554398085.000000,-380523141993.000000,-163019416367.000000,3941265025.000000,,36067825292.000000,-545554398085.000000,539458727099.000000,79318782198.000000,102473201789.000000,-26352395689.000000,3197976098.000000,,,79318782198.000000,618777509297.000000,-124766421467.000000,-123631941314.000000,,-123631941314.000000,-1134480153.000000,,-124766421467.000000,494011087830.000000,,494011087830.000000,,,,494011087830.000000,494011087830.000000,324823878409.000000,169187209421.000000,494011087830.000000,494011087830.000000,324823878409.000000,169187209421.000000,494011087830.000000
12M 2012,3322669123181.000000,,,3322669123181.000000,-1656106290289.000000,,,-1656106290289.000000,1666562832892.000000,-686189947123.000000,-471420455711.000000,-240642485018.000000,7628775995.000000,1259782466.000000,16984435145.000000,-686189947123.000000,980372885769.000000,49037970364.000000,101721833255.000000,-54993023264.000000,2309160373.000000,,,49037970364.000000,1029410856133.000000,-180027980317.000000,,,,,,-180027980317.000000,849382875816.000000,,849382875816.000000,,,,849382875816.000000,849382875816.000000,589100205480.000000,260282670336.000000,849382875816.000000,849382875816.000000,589100205480.000000,260282670336.000000,849382875816.000000
12M 2013,5077062064784.000000,,,5077062064784.000000,-2530589171262.000000,,,-2530589171262.000000,2546472893522.000000,-894945514094.000000,-603649163838.000000,-389985857600.000000,47879990924.000000,-5718195240.000000,56527711660.000000,-894945514094.000000,1651527379428.000000,57964405757.000000,169884761702.000000,-117142571066.000000,5222215121.000000,,,57964405757.000000,1709491785185.000000,-296103334862.000000,,,,,,-296103334862.000000,1413388450323.000000,,1413388450323.000000,,,,1413388450323.000000,1413388450323.000000,976714954566.000000,436673495757.000000,1413388450323.000000,1413388450323.000000,976714954566.000000,436673495757.000000,1413388450323.000000
12M 2014,6344235902316.000000,,,6344235902316.000000,-3010551468142.000000,,,-3010551468142.000000,3333684434174.000000,-1086235575662.000000,-812911278465.000000,-316892367064.000000,,,43568069867.000000,-1086235575662.000000,2247448858512.000000,-100080442124.000000,229934080697.000000,-333968474419.000000,3953951598.000000,,,-100080442124.000000,2147368416388.000000,-353225576117.000000,,,,,,-353225576117.000000,1794142840271.000000,,1794142840271.000000,,,,1794142840271.000000,1794142840271.000000,1324922654667.000000,469220185604.000000,1794142840271.000000,1794142840271.000000,1324922654667.000000,469220185604.000000,1794142840271.000000
12M 2015,7514286638929.000000,,,7514286638929.000000,-3785577352309.000000,,,-3785577352309.000000,3728709286620.000000,-1313884183457.000000,-1023508944083.000000,-352182094225.000000,,,61806854851.000000,-1313884183457.000000,2414825103163.000000,-250144352991.000000,287667520993.000000,-486804655851.000000,6526286066.000000,,-57533504199.000000,-250144352991.000000,2164680750172.000000,-425399859001.000000,,,,-145803279204.000000,-279596579797.000000,-425399859001.000000,1739280891171.000000,,1740300162426.000000,13389942814.000000,13389942814.000000,13389942814.000000,1753690105240.000000,1740300162426.000000,1283693335819.000000,456606826607.000000,1740300162426.000000,1753690105240.000000,1296466779803.000000,457223325437.000000,1753690105240.000000
12M 2016,6739315000000.000000,,,6739315000000.000000,-3449611000000.000000,,,-3449611000000.000000,3289704000000.000000,-1438539000000.000000,-1168589000000.000000,-315528000000.000000,,,45578000000.000000,-1438539000000.000000,1851165000000.000000,-350316000000.000000,271834000000.000000,-565799000000.000000,-1984000000.000000,,-54367000000.000000,-350316000000.000000,1500849000000.000000,-330143000000.000000,,,,-155021000000.000000,-175122000000.000000,-330143000000.000000,1170706000000.000000,,1170706000000.000000,-27700000000.000000,-27700000000.000000,-27700000000.000000,1143006000000.000000,1170706000000.000000,861761000000.000000,308945000000.000000,1170706000000.000000,1143006000000.000000,842731000000.000000,300275000000.000000,1143006000000.000000
12M 2017,6442797000000.000000,,,6442797000000.000000,-3423327000000.000000,,,-3423327000000.000000,3019470000000.000000,-1396859000000.000000,-1127861000000.000000,-332733000000.000000,,,63735000000.000000,-1396859000000.000000,1622611000000.000000,-324598000000.000000,224319000000.000000,-551154000000.000000,-18776000000.000000,65877000000.000000,-44864000000.000000,-324598000000.000000,1298013000000.000000,-279484000000.000000,,,,-39461000000.000000,-240023000000.000000,-279484000000.000000,1018529000000.000000,,1018529000000.000000,-52077000000.000000,-52077000000.000000,-52077000000.000000,966452000000.000000,1018529000000.000000,894354000000.000000,124175000000.000000,1018529000000.000000,966452000000.000000,841149000000.000000,125303000000.000000,966452000000.000000
12M 2018,7670405000000.000000,,,7670405000000.000000,-4042138000000.000000,,,-4042138000000.000000,3628267000000.000000,-1478689000000.000000,-1210546000000.000000,-372585000000.000000,,,104442000000.000000,-1478689000000.000000,2149578000000.000000,-550121000000.000000,251960000000.000000,-732298000000.000000,-19391000000.000000,,-50392000000.000000,-550121000000.000000,1599457000000.000000,-301992000000.000000,,,,-47812000000.000000,-254180000000.000000,-301992000000.000000,1297465000000.000000,,1302702000000.000000,23693000000.000000,23693000000.000000,23693000000.000000,1326395000000.000000,1302702000000.000000,1185478000000.000000,117224000000.000000,1302702000000.000000,1326395000000.000000,1211001000000.000000,115394000000.000000,1326395000000.000000
12M 2019,7608237000000.000000,,,7608237000000.000000,-3816495000000.000000,,,-3816495000000.000000,3791742000000.000000,-1604408000000.000000,-1252875000000.000000,-383428000000.000000,,,31895000000.000000,-1604408000000.000000,2187334000000.000000,-632231000000.000000,347036000000.000000,-910436000000.000000,-10992000000.000000,,-57839000000.000000,-632231000000.000000,1555103000000.000000,-271822000000.000000,,,,-33577000000.000000,-238245000000.000000,-271822000000.000000,1283281000000.000000,,1283281000000.000000,5253000000.000000,5253000000.000000,5253000000.000000,1288534000000.000000,1283281000000.000000,1157959000000.000000,125322000000.000000,1283281000000.000000,1288534000000.000000,1164042000000.000000,124492000000.000000,1288534000000.000000
12M 2020,8070737000000.000000,,,8070737000000.000000,-3949402000000.000000,,,-3949402000000.000000,4121335000000.000000,-1473246000000.000000,-1166156000000.000000,-356561000000.000000,,,49471000000.000000,-1473246000000.000000,2648089000000.000000,-988968000000.000000,249599000000.000000,-1235029000000.000000,-3538000000.000000,,,-988968000000.000000,1659121000000.000000,-288435000000.000000,,,,-56939000000.000000,-231496000000.000000,-288435000000.000000,1370686000000.000000,,1370686000000.000000,-9399000000.000000,-9399000000.000000,-9399000000.000000,1361287000000.000000,1370686000000.000000,1320754000000.000000,49932000000.000000,1370686000000.000000,1361287000000.000000,1311021000000.000000,50266000000.000000,1361287000000.000000
