Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pajak Penghasilan Dan Pajak Pertambahan Nilai,Kenaikan (Penurunan) Piutang Lain-Lain,Pembayaran Utang Pembelian Aset Tetap,Pendapatan Klaim Asuransi,Pendapatan Bunga,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Utang Pembelian Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Liabilitas Sewa,Utang Pihak Berelasi,Pembayaran Utang Pembelian Aset Tetap,Penurunan Liabilitas Jangka Pendek Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-7261775886.000000,455207916656.000000,-372992436091.000000,-44285344013.000000,-13559238228.000000,-17556788939.000000,-10168680747.000000,-33268300.000000,,,520129951.000000,-4394066175.000000,-7261775886.000000,-257455120960.000000,-26383665925.000000,-234638189055.000000,-6796913980.000000,10365142000.000000,-1494000.000000,-257455120960.000000,263203965589.000000,,-199988076642.000000,228553853176.000000,,,,234638189055.000000,263203965589.000000,-1512931257.000000,5594735132.000000,-12441856.000000,4069362019.000000
12M 2014,52054364496.000000,419337063626.000000,-312570172220.000000,-36892790733.000000,-12324855846.000000,-17455829942.000000,9709629618.000000,-645882244.000000,,,1137117240.000000,1760084997.000000,52054364496.000000,220747713720.000000,-1906691433.000000,234638189055.000000,-12036283902.000000,52500000.000000,,220747713720.000000,-275608718874.000000,,-173487527220.000000,132516997401.000000,,,,-234638189055.000000,-275608718874.000000,-2806640658.000000,4069362019.000000,-10381956.000000,1252339405.000000
12M 2015,33677132098.000000,291791929325.000000,-203168727466.000000,-28323270461.000000,-12946654326.000000,-10492060929.000000,-3077660285.000000,-106134053.000000,,,19192929.000000,-19482636.000000,33677132098.000000,-365263196.000000,-419263196.000000,,,54000000.000000,,-365263196.000000,-29866666663.000000,,-121366666663.000000,91500000000.000000,,,,,-29866666663.000000,3445202239.000000,1252339405.000000,-13157865.000000,4684383779.000000
12M 2016,-16763181683.000000,276597373952.000000,-220261391913.000000,-45139268999.000000,-12780005332.000000,-10404690727.000000,-4760539126.000000,,,,37273089.000000,-51932627.000000,-16763181683.000000,-557916750.000000,-557916750.000000,,,,,-557916750.000000,13316867750.000000,-23499999996.000000,-98428470811.000000,135245338557.000000,,,,,13316867750.000000,-4004230683.000000,4684383779.000000,-378079.000000,679775017.000000
12M 2017,-27114919034.000000,268123127337.000000,-223660192002.000000,-50210537298.000000,-11080548583.000000,-13064125629.000000,3294476766.000000,,,,21111856.000000,-538231481.000000,-27114919034.000000,-5438003597.000000,-5438003597.000000,,,,,-5438003597.000000,33135715978.000000,-22666666681.000000,-77126400933.000000,132928783592.000000,,,,,33135715978.000000,582793347.000000,679775017.000000,-134946.000000,1262433418.000000
12M 2018,-30780019664.000000,387347312347.000000,-333308328917.000000,-55149656503.000000,-17161514016.000000,-14892848303.000000,2916585186.000000,,,,4557262.000000,-536126720.000000,-30780019664.000000,-823967203.000000,-1072292203.000000,,,248325000.000000,,-823967203.000000,31685209012.000000,-7000000000.000000,-65074942711.000000,85760151723.000000,,18000000000.000000,,,31685209012.000000,81222145.000000,1262433418.000000,-1760516.000000,1341895047.000000
12M 2019,57946283372.000000,406714452231.000000,-262180284873.000000,-57969640634.000000,-16828177859.000000,-11435441839.000000,487543632.000000,,,,2599965.000000,-844767251.000000,57946283372.000000,-1649320038.000000,-1757592765.000000,,,108272727.000000,,-1649320038.000000,-52940281977.000000,,-184652483352.000000,99712201375.000000,,32000000000.000000,,,-52940281977.000000,3356681357.000000,1341895047.000000,22405068.000000,4720981472.000000
12M 2020,-4388382088.000000,307160211028.000000,-231907449862.000000,-61135899565.000000,-13926044152.000000,-6974874569.000000,3020982947.000000,,,,15748643.000000,-641056558.000000,-4388382088.000000,-1516274512.000000,-1749030422.000000,,,232755910.000000,,-1516274512.000000,2456704764.000000,,-241558357067.000000,244098410831.000000,-83349000.000000,,,,2456704764.000000,-3447951836.000000,4720981472.000000,514677.000000,1273544313.000000
12M 2021,26509299275.000000,344504272535.000000,-243456435770.000000,-56324685899.000000,-13324215665.000000,-6012916624.000000,1276484481.000000,,,,34924198.000000,-188127981.000000,26509299275.000000,-11627156423.000000,-8162514578.000000,,,317024318.000000,-3781666163.000000,-11627156423.000000,-15397814330.000000,,-645325927852.000000,629989263950.000000,-61150428.000000,,,,-15397814330.000000,-515671478.000000,1273544313.000000,870044.000000,758742879.000000
12M 2022,-12359367465.000000,360783595517.000000,-290564010110.000000,-59077801255.000000,-19935802351.000000,-6475319129.000000,-1901230641.000000,,,4000000000.000000,1864877.000000,809335627.000000,-12359367465.000000,-21481546838.000000,-21808246838.000000,,,326700000.000000,,-21481546838.000000,33544120599.000000,,-78420939413.000000,112032860548.000000,-67800536.000000,,,,33544120599.000000,-296793704.000000,758742879.000000,110226.000000,462059401.000000
