Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,439680589423.000000,-389672024418.000000,50008565005.000000,-21807215313.000000,-7725792577.000000,-14081422736.000000,-21807215313.000000,28201349692.000000,-19767864630.000000,520129951.000000,-17563085847.000000,1681599297.000000,-4580356026.000000,173847995.000000,-19767864630.000000,8433485062.000000,-2211772259.000000,-2471149750.000000,259377491.000000,-2211772259.000000,6221712803.000000,,6221712803.000000,6221712803.000000,6221712803.000000,,6221712803.000000,6221712803.000000,6221712803.000000,,6221712803.000000
12M 2014,421516175465.000000,-395932551110.000000,25583624355.000000,-20565339523.000000,-7055614460.000000,-13509725063.000000,-20565339523.000000,5018284832.000000,-14465404117.000000,1137117240.000000,-17404724398.000000,52500000.000000,1719281274.000000,30421767.000000,-14465404117.000000,-9447119285.000000,515142568.000000,,515142568.000000,515142568.000000,-8931976717.000000,,-8931976717.000000,-8931976717.000000,-8931976717.000000,,-8931976717.000000,-8931976717.000000,-8931976717.000000,,-8931976717.000000
12M 2015,277402566627.000000,-254905336988.000000,22497229639.000000,-21458135699.000000,-7287060156.000000,-14171075543.000000,-21458135699.000000,1039093940.000000,-11094159950.000000,19192929.000000,-11589464302.000000,54000000.000000,414535302.000000,7576121.000000,-11094159950.000000,-10055066010.000000,174284717.000000,,174284717.000000,174284717.000000,-9880781293.000000,-435448006.000000,-10316229299.000000,-9880781293.000000,-9880781293.000000,,-9880781293.000000,-10316229299.000000,-10316229299.000000,,-10316229299.000000
12M 2016,278331887681.000000,-258234380699.000000,20097506982.000000,-20780703591.000000,-6577391143.000000,-14203312448.000000,-20780703591.000000,-683196609.000000,-10524942237.000000,37273089.000000,-10895664318.000000,,82551257.000000,250897735.000000,-10524942237.000000,-11208138846.000000,275712343.000000,,275712343.000000,275712343.000000,-10932426503.000000,2534345185.000000,-8398081318.000000,-10932426503.000000,-10932426503.000000,,-10932426503.000000,-8398081318.000000,-8398081318.000000,,-8398081318.000000
12M 2017,302591131450.000000,-284888808374.000000,17702323076.000000,-20479791164.000000,-5593681229.000000,-14886109935.000000,-20479791164.000000,-2777468088.000000,-12119763219.000000,21111856.000000,-12098084356.000000,,-102896821.000000,60106102.000000,-12119763219.000000,-14897231307.000000,397202887.000000,,397202887.000000,397202887.000000,-14500028420.000000,-408370326.000000,-14908398746.000000,-14500028420.000000,-14500028420.000000,,-14500028420.000000,-14908398746.000000,-14908398746.000000,,-14908398746.000000
12M 2018,412833362528.000000,-382766605903.000000,30066756625.000000,-27081594874.000000,-13052428374.000000,-14029166500.000000,-27081594874.000000,2985161751.000000,-12288571843.000000,4557262.000000,-13740744144.000000,248325000.000000,128436529.000000,1070853510.000000,-12288571843.000000,-9303410092.000000,262083977.000000,,262083977.000000,262083977.000000,-9041326115.000000,98981917.000000,-8942344198.000000,-9041326115.000000,-9041326115.000000,,-9041326115.000000,-8942344198.000000,-8942344198.000000,,-8942344198.000000
12M 2019,388118905159.000000,-348839570446.000000,39279334713.000000,-24691165194.000000,-9742956975.000000,-14948208219.000000,-24691165194.000000,14588169519.000000,-11688632376.000000,2599965.000000,-11877990766.000000,108272727.000000,4933591.000000,73552107.000000,-11688632376.000000,2899537143.000000,589200595.000000,,589200595.000000,589200595.000000,3488737738.000000,-290306315.000000,3198431423.000000,3488737738.000000,3488737738.000000,,3488737738.000000,3198431423.000000,3198431423.000000,,3198431423.000000
12M 2020,303203668856.000000,-265558897419.000000,37644771437.000000,-20308337365.000000,-8006632098.000000,-12301705267.000000,-20308337365.000000,17336434072.000000,-7233640882.000000,15748643.000000,-7611925724.000000,6466937.000000,318306833.000000,37762429.000000,-7233640882.000000,10102793190.000000,-1767934788.000000,,-1767934788.000000,-1767934788.000000,8334858402.000000,1767628878.000000,10102487280.000000,8334858402.000000,8334858402.000000,,8334858402.000000,10102487280.000000,10102487280.000000,,10102487280.000000
12M 2021,339039023365.000000,-319591175814.000000,19447847551.000000,-21132753138.000000,-7287983310.000000,-13844769828.000000,-21132753138.000000,-1684905587.000000,-8055251272.000000,34924198.000000,-6067262265.000000,317024318.000000,2460644.000000,-2342398167.000000,-8055251272.000000,-9740156859.000000,255486360.000000,,255486360.000000,255486360.000000,-9484670499.000000,201353677.000000,-9283316822.000000,-9484670499.000000,-9484670499.000000,,-9484670499.000000,-9283316822.000000,-9283316822.000000,,-9283316822.000000
12M 2022,377086228468.000000,-349565703880.000000,27520524588.000000,-27303684825.000000,-9157891252.000000,-18145793573.000000,-27303684825.000000,216839763.000000,-2142171559.000000,1864877.000000,-6753855472.000000,-1255327275.000000,90741695.000000,5774404616.000000,-2142171559.000000,-1925331796.000000,513652684.000000,,513652684.000000,513652684.000000,-1411679112.000000,41053962.000000,-1370625150.000000,-1411679112.000000,-1411679112.000000,,-1411679112.000000,-1370625150.000000,-1370625150.000000,,-1370625150.000000
