Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Kontraktor Dan Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kas Dari Aktivitas Operasional Lainnya,Pembayaran Untuk Aktivitas Operasional Lainnya,Penerimaan Dari Pendapatan Bunga,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Pembayaran) Pinjaman Kepada Pihak Berelasi,Perolehan Aset Hak Guna,Perolehan Uang Muka Tanah,Efek Kehilangan Pengendalian Atas Entitas Anak,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penerbitan Saham Baru,Pembayaran Biaya Emisi Daham Dan Lainnya,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerbitan Waran Dari Penawaran Umum Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,47504209785.000000,191351355796.000000,-101474677282.000000,-17050912902.000000,1819402383.000000,-24327857843.000000,2091527094.000000,-22677480.000000,-410637500.000000,-4471312481.000000,47504209785.000000,-5123428834.000000,-4330089938.000000,,,,-793338896.000000,,-5123428834.000000,,,,,,,,,,42380780951.000000,17298795079.000000,59679576030.000000
12M 2018,-315686909890.000000,144594092481.000000,-419802437501.000000,-17159171556.000000,1980643832.000000,-23178484081.000000,2539637192.000000,-57529411.000000,-122328000.000000,-4481332846.000000,-315686909890.000000,1749859094.000000,2316465013.000000,,,,-566605919.000000,,1749859094.000000,301401672090.000000,312000000000.000000,-10598327910.000000,,,,,,301401672090.000000,-12535378706.000000,59679576030.000000,47144197324.000000
12M 2019,-15024140899.000000,90002321671.000000,-61613994221.000000,-21750511168.000000,608766125.000000,-18916643616.000000,2177560679.000000,-60085014.000000,-495343000.000000,-4976212355.000000,-15024140899.000000,-197748975.000000,7500000.000000,,,,-205248975.000000,,-197748975.000000,402173100.000000,268115400.000000,,,,,,134057700.000000,402173100.000000,-14819716774.000000,47144197324.000000,32324480550.000000
12M 2020,-3054005146.000000,161974898178.000000,-126641467996.000000,-21407736189.000000,978025277.000000,-17337879426.000000,3064570560.000000,-71546565.000000,-151983250.000000,-3460885735.000000,-3054005146.000000,-151902126.000000,,,,,-156832126.000000,4930000.000000,-151902126.000000,103650.000000,69100.000000,,,,,,34550.000000,103650.000000,-3205803622.000000,32324480550.000000,29118676928.000000
12M 2021,10877244119.000000,81384773574.000000,-27575035693.000000,-22012632825.000000,1231711680.000000,-21827138263.000000,1783433404.000000,,-209822140.000000,-1898045618.000000,10877244119.000000,-463265404.000000,,,,,-463265404.000000,,-463265404.000000,-7123931850.000000,250712100.000000,,-7500000000.000000,,,,125356050.000000,-7123931850.000000,3290046865.000000,29118676928.000000,32408723793.000000
12M 2022,7573429659.000000,63217413178.000000,-16902901789.000000,-18256550982.000000,1782514053.000000,-22776901583.000000,1476267246.000000,,-180345220.000000,-786065244.000000,7573429659.000000,-8139072294.000000,,,,,-8139072294.000000,,-8139072294.000000,,,,,,,,,,-565642635.000000,32408723793.000000,31843081158.000000
12M 2023,2578599139.000000,92975756222.000000,-43685841422.000000,-24765792600.000000,4167446432.000000,-25284683567.000000,1799928505.000000,-19332857.000000,-453952840.000000,-2154928734.000000,2578599139.000000,-8452418050.000000,,-280000000.000000,-1000000000.000000,,-7172418050.000000,,-8452418050.000000,7973886855.000000,,,-292364276.000000,2074342750.000000,6425358381.000000,-233450000.000000,,7973886855.000000,2100067944.000000,31843081158.000000,33943149102.000000
12M 2024,-7958202927.000000,114894538330.000000,-69064239316.000000,-34184821906.000000,425762035.000000,-18133221661.000000,1606873536.000000,-89945202.000000,-625588700.000000,-2787560043.000000,-7958202927.000000,-7958513182.000000,,-1106365677.000000,,-395021179.000000,-6457126326.000000,,-7958513182.000000,65754150076.000000,,,-2455541653.000000,,71769241619.000000,-3559549890.000000,,65754150076.000000,49837433967.000000,33943149102.000000,83780583069.000000
