Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,59679576030.000000,74411799629.000000,,,74411799629.000000,11472322083.000000,10050743798.000000,1421578285.000000,11472322083.000000,253791405421.000000,65032846049.000000,464387949212.000000,,71798893988.000000,5502684434.000000,20058259701.000000,97359838123.000000,561747787335.000000,,,230075826403.000000,,,3971419432.000000,3971419432.000000,,160347142877.000000,1230952684.000000,161578095561.000000,6760491077.000000,,,21747763808.000000,21747763808.000000,36018056525.000000,230075826403.000000,93539856589.000000,,,2208566887.000000,2208566887.000000,91331289702.000000,93539856589.000000,323615682992.000000,,133000000000.000000,,105124604343.000000,,105124604343.000000,105124604343.000000,7500000.000000,238132104343.000000,561747787335.000000,1330000.000000
12M 2018,,,47144197324.000000,121327006889.000000,,,121327006889.000000,8120136276.000000,7734278785.000000,385857491.000000,8120136276.000000,250125456807.000000,75729595839.000000,502446393135.000000,,415832673956.000000,5700537523.000000,967110013.000000,422500321492.000000,924946714627.000000,,,66611419949.000000,,,2520050921.000000,2520050921.000000,,14452406035.000000,660112380.000000,15112518415.000000,14870475990.000000,,,11478558512.000000,11478558512.000000,22629816111.000000,66611419949.000000,83506066920.000000,,,80353365761.000000,80353365761.000000,3152701159.000000,83506066920.000000,150117486869.000000,,540000000000.000000,41401672090.000000,193420055668.000000,,193420055668.000000,193420055668.000000,7500000.000000,774829227758.000000,924946714627.000000,5400000000.000000
12M 2019,,,32324480550.000000,124141035966.000000,,,124141035966.000000,8124636276.000000,7726778785.000000,397857491.000000,8124636276.000000,270683706987.000000,71447281441.000000,506721141220.000000,,406401280161.000000,5075294745.000000,682176687.000000,412158751593.000000,918879892813.000000,,,62122504870.000000,,,877175390.000000,877175390.000000,,14452406035.000000,339451784.000000,14791857819.000000,2358493604.000000,,,24619213899.000000,24619213899.000000,19475764158.000000,62122504870.000000,50039211028.000000,,,45297556685.000000,45297556685.000000,4741654343.000000,50039211028.000000,112161715898.000000,,540268115400.000000,41535729790.000000,224906831725.000000,,224906831725.000000,224906831725.000000,7500000.000000,806718176915.000000,918879892813.000000,5402681154.000000
12M 2020,,,29118676928.000000,95466796321.000000,,,95466796321.000000,8183258096.000000,7726778785.000000,456479311.000000,8183258096.000000,266602115487.000000,61076664249.000000,460447511081.000000,,456967527506.000000,4515404521.000000,30992069317.000000,492475001344.000000,952922512425.000000,,,51703899317.000000,,,575431319.000000,575431319.000000,,14452406035.000000,139530188.000000,14591936223.000000,1742820144.000000,,,20609560180.000000,20609560180.000000,14184151451.000000,51703899317.000000,28851099714.000000,,,24185245567.000000,24185245567.000000,4665854147.000000,28851099714.000000,80554999031.000000,,540268184500.000000,41535764340.000000,290556064554.000000,,290556064554.000000,290556064554.000000,7500000.000000,872367513394.000000,952922512425.000000,5402681845.000000
12M 2021,,,32408723793.000000,92676037239.000000,,,92676037239.000000,8103328896.000000,7726778785.000000,376550111.000000,8103328896.000000,258123807639.000000,63421675853.000000,454733573420.000000,,463705447420.000000,4394288662.000000,28499665398.000000,496599401480.000000,951332974900.000000,,,46601331214.000000,,,773418113.000000,773418113.000000,,6952406035.000000,17803015.000000,6970209050.000000,3465153695.000000,,,21057678350.000000,21057678350.000000,14334872006.000000,46601331214.000000,30392114921.000000,,,24690389718.000000,24690389718.000000,5701725203.000000,30392114921.000000,76993446135.000000,,540518896600.000000,41661120390.000000,292152011775.000000,,292152011775.000000,292152011775.000000,7500000.000000,874339528765.000000,951332974900.000000,5405188966.000000
12M 2022,,,31843081158.000000,81118885340.000000,,,81118885340.000000,8117237296.000000,7726778785.000000,390458511.000000,8117237296.000000,245735771312.000000,62846472906.000000,429661448012.000000,,467931922929.000000,13773581467.000000,22606383336.000000,504311887732.000000,933973335744.000000,,,36617421572.000000,,,484469227.000000,484469227.000000,,1252406035.000000,,1252406035.000000,2115117180.000000,,,25067826412.000000,25067826412.000000,7697602718.000000,36617421572.000000,42716110188.000000,,,37627964546.000000,37627964546.000000,5088145642.000000,42716110188.000000,79333531760.000000,,540518896600.000000,41661120390.000000,272452286994.000000,,272452286994.000000,272452286994.000000,7500000.000000,854639803984.000000,933973335744.000000,5405188966.000000
12M 2023,,,33943149102.000000,84445683952.000000,,,84445683952.000000,4741895386.000000,4692364276.000000,49531110.000000,4741895386.000000,257021237213.000000,70136014432.000000,450287980085.000000,,463989655577.000000,34701699921.000000,23749945882.000000,522441301380.000000,972729281465.000000,,,58634991288.000000,,,3783913023.000000,3783913023.000000,,,,,3416892015.000000,,800400000.000000,29809320725.000000,30609720725.000000,20824465525.000000,58634991288.000000,56493642449.000000,,5391508381.000000,47327435839.000000,52718944220.000000,3774698229.000000,56493642449.000000,115128633737.000000,,540518896600.000000,41661120390.000000,275496459955.000000,,275496459955.000000,275496459955.000000,-75829217.000000,857600647728.000000,972729281465.000000,5405188966.000000
12M 2024,,,83780583069.000000,79720354602.000000,,,79720354602.000000,5920647082.000000,4501364275.000000,1419282807.000000,5920647082.000000,267269001837.000000,69566178632.000000,506256765222.000000,,457812842943.000000,62861444100.000000,25236808907.000000,545911095950.000000,1052167861172.000000,,,71689365087.000000,,,3415023867.000000,3415023867.000000,,,2350811654.000000,2350811654.000000,738925303.000000,,5661311120.000000,28618940666.000000,34280251786.000000,30904352477.000000,71689365087.000000,113790298852.000000,,66840338990.000000,43231716186.000000,110072055176.000000,3718243676.000000,113790298852.000000,185479663939.000000,,540518896600.000000,41661120390.000000,284575804306.000000,,284575804306.000000,284575804306.000000,-67624063.000000,866688197233.000000,1052167861172.000000,5405188966.000000
