Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Karyawan,Total Pembayaran Kas Kepada:,Penerimaan Bunga Dan Jasa Giro,Pembayaran Bunga Dan Administrasi Bank,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Operasi Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Pencairan Deposito Berjangka,Penurunan (Kenaikan) Portofolio Efek,Penempatan Deposito Berjangka,Pengembalian Uang Muka Perolehan Aset,Perolehan Aset Tetap,Hasil Investasi,Penempatan Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Akuisisi Entitas Anak,Pelepasan Entitas Anak,Hasil Penjualan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pembayaran Utang Bank,Perubahan Pada Piutang Lain-Lain Pihak Ketiga,Aset Hak-Guna,Pembayaran Liabilitas Sewa Pembiayaan,Penambahan Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-24272491002.000000,208998845870.000000,,-198227491657.000000,-12853524100.000000,-211081015757.000000,58212632.000000,-19423773735.000000,-2797440821.000000,-27319191.000000,-24272491002.000000,-215460022515.000000,-211063221133.000000,,,,,-4396801382.000000,,,,,,,-215460022515.000000,238589308420.000000,172915600239.000000,-130281555115.000000,,-4044736704.000000,,200000000000.000000,238589308420.000000,-1143205097.000000,3864288892.000000,2721083795.000000
12M 2012,-26247899647.000000,209950384170.000000,,-193758946392.000000,-11410716871.000000,-205169663263.000000,33228815.000000,-29873631495.000000,-1420243879.000000,232026005.000000,-26247899647.000000,-6100000.000000,,,,,,-6100000.000000,,,,,,,-6100000.000000,32378546331.000000,146962557236.000000,-110881127780.000000,,-3702883125.000000,,,32378546331.000000,6124546684.000000,2721083795.000000,8845630479.000000
12M 2013,5562378087.000000,253075167208.000000,,-195270147870.000000,-12671149889.000000,-207941297759.000000,27622770.000000,-27795034018.000000,-6674055714.000000,-5130024400.000000,5562378087.000000,-43728400.000000,,,,,,-43728400.000000,,,,,,,-43728400.000000,-2965367623.000000,249272326387.000000,-247919328062.000000,,-4318365948.000000,,,-2965367623.000000,2553282064.000000,8845630479.000000,11398912543.000000
12M 2014,-31499865702.000000,198245485942.000000,,-162707852426.000000,-13829714071.000000,-176537566497.000000,27589911.000000,-25104351211.000000,-6836503118.000000,-21294520729.000000,-31499865702.000000,-1654300999.000000,,,,,,-1795800999.000000,,,141500000.000000,,,,-1654300999.000000,28023891057.000000,358119670633.000000,-325064527066.000000,,-5031313914.000000,,61404.000000,28023891057.000000,-5130275644.000000,11398912543.000000,6268636899.000000
12M 2015,33093380375.000000,283246765515.000000,,-193861760897.000000,-12526802521.000000,-206388563418.000000,1338822369.000000,-28147086186.000000,-6612317403.000000,-10344240502.000000,33093380375.000000,8129353430.000000,,,,-50000000000.000000,50000000000.000000,-10270646570.000000,,,,,,18400000000.000000,8129353430.000000,-41371369306.000000,289734414636.000000,-326797157466.000000,,-4308626476.000000,,,-41371369306.000000,-148635501.000000,6268636899.000000,6120001398.000000
12M 2016,36390716827.000000,137745524219.000000,,-74470982143.000000,,-74470982143.000000,2519733614.000000,-22964795252.000000,-6438763611.000000,,36390716827.000000,,,50000000000.000000,,-110000000000.000000,60000000000.000000,,,,,,,,,-39520941131.000000,308685640000.000000,-348206581131.000000,,,,,-39520941131.000000,-3130224304.000000,6120001398.000000,2989777094.000000
12M 2017,78783737757.000000,180064372492.000000,,-79474733215.000000,,-79474733215.000000,823864160.000000,-16216272397.000000,-6413493283.000000,,78783737757.000000,56878019428.000000,,110000000000.000000,,-100000000000.000000,46878019428.000000,,,,,,,,56878019428.000000,-76639918938.000000,,-76639918938.000000,,,,,-76639918938.000000,59021838247.000000,2989777094.000000,62011615341.000000
12M 2018,30736659689.000000,145704600366.000000,,-97661453589.000000,,-97661453589.000000,5799908303.000000,-17234542405.000000,-5871852986.000000,,30736659689.000000,-88831785808.000000,,100000000000.000000,-364902690.000000,-183500000000.000000,,-116974340.000000,,,,-4849908778.000000,,,-88831785808.000000,,,,,,,,,-58095126119.000000,62011615340.000000,3916489221.000000
12M 2019,75582953903.000000,123953627039.000000,,-37984898325.000000,,-37984898325.000000,8962548286.000000,-13746752082.000000,-5601571015.000000,,75582953903.000000,-40313577200.000000,,,-303577200.000000,-190000000000.000000,,,,,,,149990000000.000000,,-40313577200.000000,-25061880000.000000,,-25061880000.000000,,,,,-25061880000.000000,10207496703.000000,3916489221.000000,14123985924.000000
12M 2020,85311281185.000000,2759467054.000000,,70760318261.000000,,70760318261.000000,17475888849.000000,-5674701247.000000,-9691732.000000,,85311281185.000000,-5066754556.000000,,,-5066754556.000000,,,,,,,,,,-5066754556.000000,-90054546906.000000,,-89500000000.000000,,,-554546906.000000,,-90054546906.000000,-9810020277.000000,14123985924.000000,4313965647.000000
12M 2021,121885371191.000000,3799192718.000000,,104599154077.000000,,104599154077.000000,15150129146.000000,-1589387355.000000,-73717395.000000,,121885371191.000000,309961585270.000000,,310000000000.000000,-38414730.000000,,,,,,,,,,309961585270.000000,-350140448.000000,,,,,-350140448.000000,,-350140448.000000,431496816013.000000,4313965647.000000,435810781660.000000
12M 2022,1035328452.000000,4501689834.000000,,-8354299919.000000,,-8354299919.000000,5862994874.000000,-883641698.000000,-91414639.000000,,1035328452.000000,-189187518987.000000,,-186000000000.000000,-3182502487.000000,,,-5016500.000000,,,,,,,-189187518987.000000,538743552.000000,,,,,538743552.000000,,538743552.000000,-187613446983.000000,435810781660.000000,248197334677.000000
