Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,220333781433.000000,-188783866182.000000,31549915251.000000,-9413500936.000000,,-9413500936.000000,,-9413500936.000000,22136414315.000000,-18300582902.000000,1064335540.000000,,58212632.000000,-19423773735.000000,642661.000000,-18300582902.000000,3835831413.000000,-1246537436.000000,,,-1246537436.000000,2589293977.000000,2589293977.000000,,2589293977.000000,2589293977.000000,2616718172.000000,-27424195.000000,2589293977.000000,2589293977.000000,2616718172.000000,-27424195.000000,2589293977.000000
12M 2012,204735375950.000000,-160899464887.000000,43835911063.000000,-9368508666.000000,,-9368508666.000000,,-9368508666.000000,34467402397.000000,-29915434229.000000,-76925088.000000,,33228815.000000,-29873631495.000000,1893539.000000,-29915434229.000000,4551968168.000000,-3631129895.000000,,,-3631129895.000000,920838273.000000,920838273.000000,,920838273.000000,920838273.000000,858705825.000000,62132448.000000,920838273.000000,920838273.000000,858705825.000000,62132448.000000,920838273.000000
12M 2013,274141734113.000000,-226390479502.000000,47751254611.000000,-9643220255.000000,,-9643220255.000000,,-9643220255.000000,38108034356.000000,-31732977973.000000,-3965365109.000000,,27622770.000000,-27795034018.000000,-201616.000000,-31732977973.000000,6375056383.000000,-5805600522.000000,,,-5805600522.000000,569455861.000000,569455861.000000,,569455861.000000,569455861.000000,438246079.000000,131209782.000000,569455861.000000,569455861.000000,438246079.000000,131209782.000000,569455861.000000
12M 2014,228622027943.000000,-182009698717.000000,46612329226.000000,-11032135459.000000,,-11032135459.000000,,-11032135459.000000,35580193767.000000,-28919291904.000000,-3813681739.000000,-12000000.000000,27589911.000000,-25104351211.000000,-16848865.000000,-28919291904.000000,6660901863.000000,-6311985085.000000,,,-6311985085.000000,348916778.000000,348916778.000000,,348916778.000000,348916778.000000,208580344.000000,140336434.000000,348916778.000000,348916778.000000,208580344.000000,140336434.000000,348916778.000000
12M 2015,258967329940.000000,-214833539261.000000,44133790679.000000,-7651337384.000000,,-7651337384.000000,,-7651337384.000000,36482453295.000000,-33835889167.000000,-11148902677.000000,,1338822369.000000,-28147086186.000000,4121277327.000000,-33835889167.000000,2646564128.000000,-2339678558.000000,,,-2339678558.000000,306885570.000000,306885570.000000,534618353.000000,841503923.000000,306885570.000000,83398565.000000,223487005.000000,306885570.000000,841503923.000000,841503923.000000,,841503923.000000
12M 2016,129480611941.000000,-100307649640.000000,29172962301.000000,-278652229.000000,-694244560.000000,-4247418775.000000,4663011106.000000,-278652229.000000,28894310072.000000,-22964795252.000000,,,,-22964795252.000000,,-22964795252.000000,5929514820.000000,-5466959514.000000,,,-5466959514.000000,462555306.000000,462555306.000000,-112612869.000000,349942437.000000,462555307.000000,269766622.000000,192788685.000000,462555307.000000,349942437.000000,158279881.000000,191662556.000000,349942437.000000
12M 2017,114496159735.000000,-90260282563.000000,24235877172.000000,-3261203177.000000,-285239095.000000,-3812663656.000000,836699574.000000,-3261203177.000000,20974673995.000000,-16216272397.000000,,,,-16216272397.000000,,-16216272397.000000,4758401598.000000,-4163674800.000000,,,-4163674800.000000,594726798.000000,594726798.000000,-338390570.000000,256336228.000000,594726798.000000,418207466.000000,176519332.000000,594726798.000000,256336228.000000,83200802.000000,173135426.000000,256336228.000000
12M 2018,131833235355.000000,-108490084338.000000,23343151017.000000,-78831712.000000,-553940223.000000,-5984906288.000000,6460014799.000000,-78831712.000000,23264319305.000000,-17234542405.000000,,,,-17234542405.000000,,-17234542405.000000,6029776900.000000,-5856185860.000000,,,-5856185860.000000,173591040.000000,173591040.000000,898698412.000000,1072289452.000000,173591040.000000,20161168.000000,153429872.000000,173591040.000000,1072289452.000000,914349545.000000,157939907.000000,1072289452.000000
12M 2019,78512610966.000000,-62921073581.000000,15591537385.000000,-8577447982.000000,,-8577447982.000000,,-8577447982.000000,7014089403.000000,-244476576.000000,,,,,-244476576.000000,-244476576.000000,6769612827.000000,-4818501423.000000,,,-4818501423.000000,1951111404.000000,1951111404.000000,,1951111404.000000,1951111404.000000,1951068297.000000,43107.000000,1951111404.000000,1951111404.000000,1951068297.000000,43107.000000,1951111404.000000
12M 2020,2940955179.000000,,2940955179.000000,-8041024653.000000,,-8041024653.000000,,-8041024653.000000,-5100069474.000000,10917932617.000000,,,,,10917932617.000000,10917932617.000000,5817863143.000000,-9691732.000000,,,-9691732.000000,5808171411.000000,5808171411.000000,12336149.000000,5820507560.000000,5808171411.000000,5808132877.000000,38534.000000,5808171411.000000,5820507560.000000,5820468861.000000,38699.000000,5820507560.000000
12M 2021,3896547467.000000,,3896547467.000000,-6910011349.000000,,-6910011349.000000,,-6910011349.000000,-3013463882.000000,13600267539.000000,,,,,13600267539.000000,13600267539.000000,10586803657.000000,-73717395.000000,,,-73717395.000000,10513086262.000000,10513086262.000000,26769031.000000,10539855293.000000,10513086262.000000,10513057064.000000,29198.000000,10513086262.000000,10539855293.000000,10539825738.000000,29555.000000,10539855293.000000
12M 2022,4527998678.000000,,4527998678.000000,-7467236521.000000,,-7467236521.000000,,-7467236521.000000,-2939237843.000000,4779829083.000000,,,,,4779829083.000000,4779829083.000000,1840591240.000000,-90730329.000000,,,-90730329.000000,1749860911.000000,1749860911.000000,-5112099.000000,1744748812.000000,1749860911.000000,1749837683.000000,23228.000000,1749860911.000000,1744748812.000000,1744725652.000000,23160.000000,1744748812.000000
12M 2023,4738184022.000000,,4738184022.000000,-8325218012.000000,,-8325218012.000000,,-8325218012.000000,-3587033990.000000,6408233593.000000,,,,,6408233593.000000,6408233593.000000,2821199603.000000,-91030124.000000,,,-91030124.000000,2730169479.000000,2730169479.000000,-4301939.000000,2725867540.000000,2730169479.000000,2730152197.000000,17282.000000,2730169479.000000,2725867540.000000,2725850315.000000,17225.000000,2725867540.000000
12M 2024,4060531960.000000,,4060531960.000000,-8507116606.000000,,-8507116606.000000,,-8507116606.000000,-4446584646.000000,8677492201.000000,,,,,8677492201.000000,8677492201.000000,4230907555.000000,3982519.000000,,,3982519.000000,4234890074.000000,4234890074.000000,-4655000.000000,4230235074.000000,4234890074.000000,4234913034.000000,-22960.000000,4234890074.000000,4230235074.000000,4230258034.000000,-22960.000000,4230235074.000000
