Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Portofolio Efek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Goodwill,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,3864288892.000000,,,,42147812481.000000,,42147812481.000000,42147812481.000000,415878977.000000,37006209954.000000,23942854574.000000,107377044878.000000,,,,,369655789906.000000,,369655789906.000000,477032834784.000000,,,168981283645.000000,3255745354.000000,154661866427.000000,2176830751.000000,33237769.000000,2553603344.000000,,,6300000000.000000,6300000000.000000,,168981283645.000000,22306790414.000000,,,15105926167.000000,15105926167.000000,6295618941.000000,905245306.000000,22306790414.000000,191288074059.000000,,280000000000.000000,,3849432017.000000,,3849432017.000000,3849432017.000000,1895328708.000000,,285744760725.000000,477032834784.000000,2800000000.000000
12M 2011,,,2721083795.000000,,,,54547083584.000000,,54547083584.000000,54547083584.000000,178598629.000000,74999468646.000000,227790220906.000000,360236455560.000000,,,,,358332726300.000000,,358332726300.000000,718569181860.000000,,,212454211896.000000,5793572841.000000,197295911551.000000,1307243976.000000,484675600.000000,1272807928.000000,,,6300000000.000000,6300000000.000000,,212454211896.000000,17780915262.000000,,,11061189463.000000,11061189463.000000,5215455126.000000,1504270673.000000,17780915262.000000,230235127158.000000,,480000000000.000000,,6466150189.000000,,6466150189.000000,6466150189.000000,1867904513.000000,,488334054702.000000,718569181860.000000,4800000000.000000
12M 2012,,,8845630479.000000,,,,49255150276.000000,,49255150276.000000,49255150276.000000,98519999.000000,78428148585.000000,272577179509.000000,409204628848.000000,,,,,342515991309.000000,,342515991309.000000,751720620157.000000,,,213615957125.000000,4435863474.000000,189210674341.000000,3298949525.000000,298750000.000000,905053119.000000,,9166666666.000000,6300000000.000000,15466666666.000000,,213615957125.000000,48849770057.000000,,35000000000.000000,7358306338.000000,42358306338.000000,4181221773.000000,2310241946.000000,48849770057.000000,262465727182.000000,,480000000000.000000,,7324856014.000000,1000000000.000000,6324856014.000000,7324856014.000000,1930036961.000000,,489254892975.000000,751720620157.000000,4800000000.000000
12M 2013,,,11398912543.000000,,,,66356352072.000000,,66356352072.000000,66356352072.000000,142931129.000000,70870356698.000000,270941397913.000000,419709950355.000000,,,,,329692789876.000000,,329692789876.000000,749402740231.000000,,,224298901387.000000,4877724180.000000,200563672666.000000,2446746200.000000,22500000.000000,921591675.000000,,9166666666.000000,6300000000.000000,15466666666.000000,,224298901387.000000,35279490008.000000,,25000000000.000000,3039940390.000000,28039940390.000000,4151951294.000000,3087598324.000000,35279490008.000000,259578391395.000000,,480000000000.000000,,7763102093.000000,1250000000.000000,6513102093.000000,7763102093.000000,2061246743.000000,,489824348836.000000,749402740231.000000,4800000000.000000
12M 2014,,,6268636899.000000,,,,92919212334.000000,,92919212334.000000,92919212334.000000,1155845232.000000,79238223389.000000,277566098093.000000,457148015947.000000,,,,,318769811984.000000,,318769811984.000000,775917827931.000000,,,262328823129.000000,2714017616.000000,243618816233.000000,1641248933.000000,12500000.000000,450573681.000000,,9166666666.000000,4725000000.000000,13891666666.000000,,262328823129.000000,23415677784.000000,,15000000000.000000,,15000000000.000000,4456974130.000000,3958703654.000000,23415677784.000000,285744500913.000000,,480000060200.000000,1204.000000,7971682437.000000,1350000000.000000,6621682437.000000,7971682437.000000,2201583177.000000,,490173327018.000000,775917827931.000000,4800000602.000000
12M 2015,,,6120001398.000000,50000000000.000000,,,49064926881.000000,,49064926881.000000,49064926881.000000,154813739500.000000,60990413694.000000,91707858998.000000,412696940471.000000,,,,,316323612813.000000,,316323612813.000000,729020553284.000000,,,228149112195.000000,824298585.000000,216556073403.000000,1103630613.000000,294675555.000000,203767373.000000,,9166666666.000000,,9166666666.000000,,228149112195.000000,11195432203.000000,,5000000000.000000,,5000000000.000000,293598053.000000,5901834150.000000,11195432203.000000,239344544398.000000,,480000060200.000000,1204.000000,7358587834.000000,1350000000.000000,6008587834.000000,7358587834.000000,2344641571.000000,-27281923.000000,489676008886.000000,729020553284.000000,4800000602.000000
12M 2016,,,2989777094.000000,110000000000.000000,,,40800014603.000000,,40800014603.000000,40800014603.000000,96529069845.000000,50894621608.000000,85021653353.000000,386235136503.000000,,561379554.000000,,,303390837904.000000,,303952217458.000000,690187353961.000000,,,193182418174.000000,412384093.000000,187035132271.000000,893653283.000000,,674581860.000000,,4166666667.000000,,4166666667.000000,,193182418174.000000,6978984463.000000,,,,,,6978984463.000000,6978984463.000000,200161402637.000000,,480000060200.000000,1204.000000,7628354456.000000,1350000000.000000,6278354456.000000,7628354456.000000,2536304127.000000,-138768663.000000,490025951324.000000,690187353961.000000,4800000602.000000
12M 2017,,,62011615340.000000,100000000000.000000,,,37347034900.000000,,37347034900.000000,37347034900.000000,59324679563.000000,25983778836.000000,36617264345.000000,321284372984.000000,,2910766361.000000,,,290509898711.000000,,293420665072.000000,614705038056.000000,,,115972411559.000000,231301979.000000,114561880000.000000,880424750.000000,,298804830.000000,,,,,,115972411559.000000,8450338945.000000,,,,,,8450338945.000000,8450338945.000000,124422750504.000000,,480000060200.000000,1204.000000,8046561922.000000,1350000000.000000,6696561922.000000,8046561922.000000,2709439553.000000,-473775327.000000,490282287552.000000,614705038056.000000,4800000602.000000
12M 2018,,,3916489221.000000,183500000000.000000,364902690.000000,,45532079304.000000,,45532079304.000000,45532079304.000000,37268270148.000000,27758525255.000000,34525258453.000000,332865525071.000000,,2862671810.000000,,,280227809829.000000,,283090481639.000000,615956006710.000000,,,115834635089.000000,289260581.000000,114561880000.000000,608571764.000000,,374922744.000000,,,,,,115834635089.000000,8766794617.000000,,,,,,8766794617.000000,8766794617.000000,124601429706.000000,,480000060200.000000,1204.000000,8066723090.000000,1350000000.000000,6716723090.000000,8066723090.000000,2867379460.000000,420413050.000000,491354577004.000000,615956006710.000000,4800000602.000000
12M 2019,,,14123985924.000000,373500000000.000000,303577200.000000,,91063231.000000,,91063231.000000,91063231.000000,186788634833.000000,,4299587772.000000,579106848960.000000,,12841194.000000,,,692466685.000000,1000000.000000,706307879.000000,579813156839.000000,,,89743087070.000000,,89500000000.000000,30731070.000000,212356000.000000,,,,,,,89743087070.000000,51364777.000000,,,,,,51364777.000000,51364777.000000,89794451847.000000,,480000060200.000000,1204.000000,10017791387.000000,1350000000.000000,8667791387.000000,10017791387.000000,852201.000000,,490018704992.000000,579813156839.000000,4800000602.000000
