Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,101.37,0.00,101.37,,,,,(62 B)
12M 2011,0.80,101.35,0.80,101.35,,,,,148 B
12M 2012,0.49,101.53,0.49,101.53,,,,,196 B
12M 2013,0.49,101.62,0.49,101.62,,,,,195 B
12M 2014,0.49,101.66,0.49,101.66,,,,,195 B
12M 2015,0.49,101.53,0.49,101.53,,,,,185 B
12M 2016,0.55,101.56,0.55,101.56,,,,,193 B
12M 2017,0.97,101.58,0.97,101.58,,,,,205 B
12M 2018,0.85,101.77,0.85,101.77,,,,,217 B
12M 2019,1.50,102.09,1.50,102.09,,,,,489 B
12M 2020,1.03,103.30,1.03,103.30,,,,,495 B
12M 2021,1.41,105.50,1.41,105.50,,,,,506 B
12M 2022,1.29,105.86,1.29,105.86,,,,,508 B
12M 2023,1.01,106.43,1.01,106.43,,,,,510 B
12M 2024,0.47,107.31,0.47,107.31,,,,,514 B
