Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2018,0.00,65.97,0.00,65.97,51 B,482 B,533 B,430 B,20 B
12M 2019,0.00,82.48,0.00,82.48,75 B,443 B,518 B,417 B,(27 B)
12M 2020,0.00,6634914.74,0.00,6634914.74,413 B,378 B,791 B,166 B,133 B
12M 2021,4.60,180.25,4.76,174.34,420 B,193 B,613 B,(216 B),395 B
12M 2022,2.22,185.53,2.36,174.51,452 B,403 B,855 B,226 B,251 B
12M 2023,1.76,184.79,1.88,173.77,416 B,611 B,"1,027 B",405 B,299 B
12M 2024,1.24,199.16,1.31,188.14,444 B,646 B,"1,091 B",308 B,520 B
