Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Dari Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Penghasilan (Beban) Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Perolehan Properti Investasi,Pembayaran Untuk Perolehan Tambahan Kepemilikan Pada Entitas Anak,Hasil Penjualan Aset Tetap,Penyertaan Saham,Peningkatan (Penurunan) Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Obligasi,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Penerimaan Pinjaman Bank,Pembayaran Obligasi Konversi,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Pembayaran Sewa,Pembayaran Dividen,Peningkatan Modal Pada Entitas Anak Dari Pihak Ketiga,Setoran Modal Dari Pihak Nonpengendali,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,115396414803.000000,853101747969.000000,-535223428959.000000,-149415988014.000000,1967408709.000000,-56840288788.000000,-14300880257.000000,16107844143.000000,115396414803.000000,-161933007662.000000,-156542017697.000000,,,,27632863.000000,-367500000.000000,-5051122828.000000,-161933007662.000000,53841481554.000000,,-49787599560.000000,302928410300.000000,,-186483646140.000000,,534316954.000000,-16350000000.000000,,3000000000.000000,,53841481554.000000,7304888695.000000,95328863243.000000,102633751938.000000
12M 2019,89715033956.000000,984546045348.000000,-637988377338.000000,-149705041301.000000,2041169378.000000,-58351049790.000000,-17214155015.000000,-33613557326.000000,89715033956.000000,-76289419848.000000,-72500813033.000000,,,,54464990.000000,-11760000000.000000,7916928195.000000,-76289419848.000000,-15804778580.000000,,14335151953.000000,15663780604.000000,,-31167988303.000000,,-53629834.000000,-14642093000.000000,,60000000.000000,,-15804778580.000000,-2379164472.000000,102633751938.000000,100254587466.000000
12M 2020,190358533077.000000,1108386681210.000000,-753304616728.000000,-113105544372.000000,4733986258.000000,-52762483046.000000,-14875016357.000000,11285526112.000000,190358533077.000000,-49172130106.000000,-49606709171.000000,,,,228333334.000000,,206245731.000000,-49172130106.000000,383545565804.000000,301000000000.000000,-28081621182.000000,,,-27831917568.000000,,,-10540895446.000000,,,149000000000.000000,383545565804.000000,524731968775.000000,100254587466.000000,624986556241.000000
12M 2021,349438392180.000000,1673629993229.000000,-1027848868469.000000,-255618642338.000000,10178168958.000000,-28015892568.000000,-34489462129.000000,11603095497.000000,349438392180.000000,-319670362181.000000,-298175362181.000000,,,,,-21495000000.000000,,-319670362181.000000,158468151885.000000,-157718500160.000000,7246377915.000000,143795915364.000000,,-20092731834.000000,,,-40854781530.000000,,3000000.000000,226088872130.000000,158468151885.000000,188236181884.000000,641524826591.000000,829761008475.000000
12M 2022,131084359442.000000,1777236400921.000000,-1152049889006.000000,-353477512450.000000,8362881293.000000,-47119576208.000000,-102315834680.000000,447889572.000000,131084359442.000000,-438033856431.000000,-301730050964.000000,,,,24787500.000000,-136328592967.000000,,-438033856431.000000,106466159406.000000,,,297955298245.000000,,-56290969450.000000,,,-140280006679.000000,,5081837290.000000,,106466159406.000000,-200483337583.000000,829761008475.000000,629277670892.000000
12M 2023,51438728484.000000,1284421935179.000000,-777550032840.000000,-377149298776.000000,8424381208.000000,-57763637343.000000,-28055416243.000000,-889202701.000000,51438728484.000000,-212221540575.000000,-209353390575.000000,,,,1637850000.000000,-4506000000.000000,,-212221540575.000000,153563150624.000000,,,1152656202389.000000,,-976305604183.000000,,,-22787447582.000000,,,,153563150624.000000,-7219661467.000000,629277670892.000000,622058009425.000000
12M 2024,33979487371.000000,1525558998211.000000,-1021599963964.000000,-391694842342.000000,18640836625.000000,-68053448455.000000,-17811853548.000000,-11060239156.000000,33979487371.000000,-245291393404.000000,-163412509355.000000,-72612585817.000000,-10281661136.000000,,1015362904.000000,,,-245291393404.000000,372585952682.000000,,,492138085083.000000,,-428420013206.000000,-23968116240.000000,,-63930605455.000000,396766602500.000000,,,372585952682.000000,161274046649.000000,622058009425.000000,783332056074.000000
