Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,115 B,(157 B),(41 B),-5.49
12M 2019,90 B,(73 B),17 B,2.30
12M 2020,190 B,(50 B),141 B,938345.49
12M 2021,349 B,(298 B),51 B,5.96
12M 2022,131 B,(302 B),(171 B),-19.83
12M 2023,51 B,(209 B),(158 B),-18.35
12M 2024,34 B,(163 B),(129 B),-15.04
