Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,852232962250.000000,-454391197303.000000,397841764947.000000,-338821868539.000000,-338821868539.000000,-338821868539.000000,59019896408.000000,-34225307031.000000,1967408709.000000,-56840288788.000000,4539728905.000000,16107844143.000000,-34225307031.000000,24794589377.000000,-12756489181.000000,-10514910643.000000,-1557086859.000000,-684491679.000000,,-12756489181.000000,12038100196.000000,42416403192.000000,54454503388.000000,12038100196.000000,5127896269.000000,6910203927.000000,12038100196.000000,54454503388.000000,47295446094.000000,7159057294.000000,54454503388.000000
12M 2019,964892513429.000000,-507768057174.000000,457124456255.000000,-324589945027.000000,-324589945027.000000,-324589945027.000000,132534511228.000000,-85420980919.000000,2041169378.000000,-58393142478.000000,4544549507.000000,-33613557326.000000,-85420980919.000000,47113530309.000000,-15796576963.000000,-15294609864.000000,1170379618.000000,-1672346717.000000,,-15796576963.000000,31316953346.000000,116630883837.000000,147947837183.000000,31316953346.000000,19894704631.000000,11422248715.000000,31316953346.000000,147947837183.000000,136476115224.000000,11471721959.000000,147947837183.000000
12M 2020,1148144381712.000000,-654993791224.000000,493150590488.000000,-336778418949.000000,-336778418949.000000,-336778418949.000000,156372171539.000000,-11283802033.000000,4733986258.000000,-53119718188.000000,25816403786.000000,11285526111.000000,-11283802033.000000,145088369506.000000,-26628283730.000000,-28826201833.000000,2294350088.000000,-96431985.000000,,-26628283730.000000,118460085776.000000,127306536596.000000,245766622372.000000,118460085776.000000,88791039353.000000,29669046423.000000,118460085776.000000,245766622372.000000,215655199866.000000,30111422506.000000,245766622372.000000
12M 2021,1890800275747.000000,-916779194679.000000,974021081068.000000,-510647767433.000000,-510647767433.000000,-510647767433.000000,463373313635.000000,-6234628113.000000,10178168958.000000,-28015892568.000000,,11603095497.000000,-6234628113.000000,457138685522.000000,-102489898340.000000,-103659050125.000000,1169151785.000000,,,-102489898340.000000,354648787182.000000,-123948062.000000,354524839120.000000,354648787182.000000,214489125593.000000,140159661589.000000,354648787182.000000,354524839120.000000,215034318680.000000,139490520440.000000,354524839120.000000
12M 2022,1658687911222.000000,-894135274139.000000,764552637083.000000,-549453811729.000000,-549453811729.000000,-549453811729.000000,215098825354.000000,-38308805343.000000,8362881293.000000,-47119576208.000000,,447889572.000000,-38308805343.000000,176790020011.000000,-47858164349.000000,-47085046810.000000,1415668933.000000,,-2188786472.000000,-47858164349.000000,128931855662.000000,-5808339610.000000,123123516052.000000,128931855662.000000,83227727173.000000,45704128489.000000,128931855662.000000,123123516052.000000,79196348798.000000,43927167254.000000,123123516052.000000
12M 2023,1488197483371.000000,-792384606260.000000,695812877111.000000,-605261362551.000000,-605261362551.000000,-605261362551.000000,90551514560.000000,-50228458836.000000,8424381208.000000,-57763637343.000000,,-889202701.000000,-50228458836.000000,40323055724.000000,-24093626876.000000,-30090701183.000000,8123224807.000000,,-2126150500.000000,-24093626876.000000,16229428848.000000,1081406355.000000,17310835203.000000,16229428848.000000,7461134368.000000,8768294480.000000,16229428848.000000,17310835203.000000,8951231339.000000,8359603864.000000,17310835203.000000
12M 2024,1554685010336.000000,-847547994844.000000,707137015492.000000,-608070432997.000000,-608070432997.000000,-608070432997.000000,99066582495.000000,-60472850986.000000,18640836625.000000,-68053448455.000000,,-11060239156.000000,-60472850986.000000,38593731509.000000,-19697947242.000000,-18096225121.000000,1643320773.000000,,-3245042894.000000,-19697947242.000000,18895784267.000000,-4032005043.000000,14863779224.000000,18895784267.000000,11943515324.000000,6952268943.000000,18895784267.000000,14863779224.000000,9192171847.000000,5671607377.000000,14863779224.000000
