Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Obligasi Konversi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,102633751938.000000,37913121245.000000,209032459.000000,37704088786.000000,37913121245.000000,47989433212.000000,23249916239.000000,24739516973.000000,47989433212.000000,10285564044.000000,18758121891.000000,217579992330.000000,,7502610269.000000,6500137109.000000,988014829083.000000,,,21553040650.000000,1023570617111.000000,1241150609441.000000,,,197801422687.000000,,,45056666371.000000,44170343343.000000,89227009714.000000,,12320720105.000000,4639843598.000000,16960563703.000000,12303326556.000000,14768219740.000000,,50731173734.000000,237239954.000000,50968413688.000000,13573889286.000000,197801422687.000000,511120836204.000000,,,,482393060973.000000,297077000.000000,482690137973.000000,28430698231.000000,511120836204.000000,708922258891.000000,,1000000000.000000,74440819965.000000,-24271986034.000000,37450362070.000000,443609154549.000000,532228350550.000000,1241150609441.000000,7500000000.000000
12M 2019,,,100254587466.000000,61849093211.000000,54465100.000000,61794628111.000000,61849093211.000000,37199447045.000000,28936306790.000000,8263140255.000000,37199447045.000000,16228817156.000000,15564967887.000000,231096912765.000000,,8920188321.000000,22765102334.000000,1124339697207.000000,,,13636112455.000000,1169661100317.000000,1400758013082.000000,,,258581911839.000000,,,15962576628.000000,58715696377.000000,74678273005.000000,,32342262609.000000,10969025074.000000,43311287683.000000,9362254845.000000,15656460573.000000,,74633351120.000000,253268160.000000,74886619280.000000,40687016453.000000,258581911839.000000,476582006510.000000,,,,442986675888.000000,227418960.000000,443214094848.000000,33367911662.000000,476582006510.000000,735163918349.000000,,1000000000.000000,74440819965.000000,-17049374403.000000,47012084029.000000,560190565142.000000,665594094733.000000,1400758013082.000000,7500000000.000000
12M 2020,,,624986556241.000000,123130580076.000000,53252999.000000,123077327077.000000,123130580076.000000,36940128741.000000,29780328862.000000,7159799879.000000,36940128741.000000,18986141553.000000,11691086855.000000,815734493466.000000,,11811161479.000000,48542526759.000000,1248769678311.000000,,,37678974450.000000,1346802340999.000000,2162536834465.000000,,,683215825248.000000,391717789095.000000,,26709213177.000000,93416109618.000000,120125322795.000000,,5104663500.000000,12650937706.000000,17755601206.000000,28134321068.000000,29948775768.000000,,21295199457.000000,13131353419.000000,34426552876.000000,61107462440.000000,683215825248.000000,429621623605.000000,114698348.000000,301000000000.000000,,76775120888.000000,8234179743.000000,85009300631.000000,43497624626.000000,429621623605.000000,1112837448853.000000,,150000000000.000000,74440819965.000000,83741664950.000000,54462175042.000000,687054725655.000000,1049699385612.000000,2162536834465.000000,150000.000000
12M 2021,,,829761008475.000000,156760305676.000000,,156760305676.000000,156760305676.000000,51911888802.000000,46888909257.000000,5022979545.000000,51911888802.000000,38894708132.000000,53777812848.000000,1131105723933.000000,,15236931143.000000,21495000000.000000,1499198307038.000000,,50811634395.000000,95848925919.000000,1682590798495.000000,2813696522428.000000,,,736497124836.000000,391717789095.000000,,,119160438932.000000,119160438932.000000,,3243418748.000000,4730904801.000000,7974323549.000000,43395716407.000000,90492583600.000000,,28275076891.000000,22644455428.000000,50919532319.000000,32836740934.000000,736497124836.000000,280983395942.000000,136472211.000000,,,193498426984.000000,35938489892.000000,229436916876.000000,51410006855.000000,280983395942.000000,1017480520778.000000,,172068323520.000000,449168394522.000000,242067057628.000000,245476312053.000000,687435913927.000000,1796216001650.000000,2813696522428.000000,8603416176.000000
12M 2022,,,629277670892.000000,114643521666.000000,,114643521666.000000,114643521666.000000,35903831945.000000,16045109255.000000,19858722690.000000,35903831945.000000,39449108364.000000,75227708177.000000,894501841044.000000,,15497585903.000000,78689500000.000000,1757540033465.000000,,94793507471.000000,97587681107.000000,2044108307946.000000,2938610148990.000000,,,643862008271.000000,391717789095.000000,,,91788261047.000000,91788261047.000000,,,6772289976.000000,6772289976.000000,27024933340.000000,21247052976.000000,,60501895336.000000,21237249027.000000,81739144363.000000,23572537474.000000,643862008271.000000,486515696314.000000,18370139.000000,,,402935937334.000000,55026783857.000000,457962721191.000000,28534604984.000000,486515696314.000000,1130377704585.000000,,172068323520.000000,437383152743.000000,303294784801.000000,212081647789.000000,683404535552.000000,1808232444405.000000,2938610148990.000000,8603416176.000000
12M 2023,,,622058009425.000000,110468662796.000000,,110468662796.000000,110468662796.000000,26691426519.000000,15239704881.000000,11451721638.000000,26691426519.000000,42198489975.000000,67629572957.000000,869046161672.000000,,22630890720.000000,83195500000.000000,1863253878489.000000,,94793507471.000000,150242096096.000000,2214115872776.000000,3083162034448.000000,,,569631547013.000000,411753242245.000000,,,55770943580.000000,55770943580.000000,,460175720.000000,16449688543.000000,16909864263.000000,30344679306.000000,18954459126.000000,,4427592447.000000,15341991373.000000,19769583820.000000,16128774673.000000,569631547013.000000,713494578983.000000,,,,610997380701.000000,77433266746.000000,688430647447.000000,25063931536.000000,713494578983.000000,1283126125996.000000,,172068323520.000000,437383152743.000000,297850794905.000000,210222760837.000000,682510876447.000000,1800035908452.000000,3083162034448.000000,8603416176.000000
12M 2024,,,783332056074.000000,144714255906.000000,,144714255906.000000,144714255906.000000,30045808461.000000,20074879572.000000,9970928889.000000,30045808461.000000,47021949525.000000,83766715986.000000,1088880785952.000000,,25310529957.000000,83195500000.000000,1934924754148.000000,6581452803.000000,94793507471.000000,212674373417.000000,2357480117796.000000,3446360903748.000000,,,568415968476.000000,440600262935.000000,,,30881579952.000000,30881579952.000000,,,14708865083.000000,14708865083.000000,28573978375.000000,9015649284.000000,,3886703167.000000,19500574022.000000,23387277189.000000,21248355658.000000,568415968476.000000,730209250551.000000,641176357.000000,,,646409321168.000000,53531597866.000000,699940919034.000000,29627155160.000000,730209250551.000000,1298625219027.000000,,172068323520.000000,556675032353.000000,304976397170.000000,434256398708.000000,679759532970.000000,2147735684721.000000,3446360903748.000000,8603416176.000000
