Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,-2.06,-25.27,-2.06,-25.27,96 B,,96 B,96 B,(160 B)
12M 2009,-2.25,-23.07,-2.25,-23.07,147 B,,147 B,147 B,(146 B)
12M 2010,-11.77,-17.76,-11.77,-17.76,150 B,63 B,213 B,212 B,(116 B)
12M 2011,-59.00,-5.22,-59.00,-5.22,262 B,174 B,436 B,414 B,(560 B)
12M 2012,9.94,29.88,9.94,29.88,217 B,430 B,647 B,645 B,(232 B)
12M 2013,1.90,299.28,1.90,299.28,261 B,0 B,261 B,201 B,(250 B)
12M 2014,2.32,299.50,2.32,299.50,308 B,259 B,567 B,519 B,64 B
12M 2015,1.71,370.79,1.71,370.78,299 B,"1,022 B","1,320 B","1,007 B",(45 B)
12M 2016,2.34,72.09,2.34,72.09,786 B,488 B,556 B,942 B,(769 B)
12M 2017,1.48,74.55,1.48,74.55,679 B,349 B,"1,028 B",347 B,"(1,104 B)"
12M 2018,1.50,79.47,1.50,79.47,570 B,398 B,968 B,694 B,"(1,701 B)"
