Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Total Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,,,,3819451669.000000,,3819451669.000000,,3819451669.000000,3819451669.000000,-246017803722.000000,-19304594623.000000,,-224059730408.000000,352189.000000,,-4320755842.000000,-4320755842.000000,1666924962.000000,-246017803722.000000,-242198352053.000000,-1238834127.000000,-1238834127.000000,,,-1238834127.000000,-243437186180.000000,,,,-243437186180.000000,,,-243437186180.000000,-243437186180.000000,,,-243437186180.000000,,,,
12M 2009,,,,973760999.000000,,973760999.000000,,973760999.000000,973760999.000000,14919933811.000000,19726469251.000000,,,37827.000000,,-5012029240.000000,-5012029240.000000,205455973.000000,14919933811.000000,15893694810.000000,,,,,,15893694810.000000,,,,15893694810.000000,,,15893694810.000000,15893694810.000000,,,15893694810.000000,,,,
12M 2010,109045641268.000000,-57107428649.000000,51938212619.000000,14278028973.000000,,14278028973.000000,,14278028973.000000,66216241592.000000,-3395354070.000000,5559038221.000000,,,13904128.000000,,-5871400852.000000,-5871400852.000000,-3096895567.000000,-3395354070.000000,62820887522.000000,-583988500.000000,-583988500.000000,,,-583988500.000000,62236899022.000000,-47671931.000000,,-47671931.000000,62189227091.000000,,,62189227091.000000,62236899022.000000,-47671931.000000,,62189227091.000000,,,,
12M 2011,183463016453.000000,-36923885915.000000,146539130538.000000,28809930587.000000,,28809930587.000000,,28809930587.000000,175349061125.000000,-9783917029.000000,3236893881.000000,389954411.000000,146940017.000000,72430115.000000,,-12090864484.000000,-12090864484.000000,-1539270969.000000,-9783917029.000000,165565144096.000000,-6042546645.000000,-6023102210.000000,-19444435.000000,,-6042546645.000000,159522597451.000000,,,,159522597451.000000,,159522597451.000000,159522597451.000000,159522597451.000000,,,159522597451.000000,101902736278.000000,80742052026.000000,21160684252.000000,101902736278.000000
12M 2012,117924483750.000000,-36569353462.000000,81355130288.000000,22961322103.000000,,22961322103.000000,,22961322103.000000,104316452391.000000,-30240807781.000000,7831543697.000000,,45530000.000000,71173302.000000,,-21109558842.000000,-21109558842.000000,-17079495938.000000,-30240807781.000000,74075644610.000000,,,,,,74075644610.000000,,,,74075644610.000000,119564715000.000000,193640359610.000000,28153000404.000000,12656338192.000000,15496662212.000000,,28153000404.000000,147717715404.000000,132221053192.000000,15496662212.000000,147717715404.000000
12M 2013,170001502745.000000,-140205401247.000000,29796101498.000000,56502268134.000000,-1023889007.000000,-16623121257.000000,74149278398.000000,56502268134.000000,86298369632.000000,-73193044335.000000,,,,130538782.000000,-73323583117.000000,,-73323583117.000000,,-73193044335.000000,13105325297.000000,-12860671550.000000,-7980346082.000000,-4880325468.000000,,-12860671550.000000,244653747.000000,,,,244653747.000000,-119564715000.000000,-119320061253.000000,244653747.000000,10642436859.000000,-10397783112.000000,,244653747.000000,-119320061253.000000,-108922278141.000000,-10397783112.000000,-119320061253.000000
12M 2014,266364733098.000000,-168139534166.000000,98225198932.000000,-48247359230.000000,-2032196550.000000,-50731864272.000000,4516701592.000000,-48247359230.000000,49977839702.000000,-48609171478.000000,,,,794255413.000000,-49403426891.000000,,-49403426891.000000,,-48609171478.000000,1368668224.000000,-323924493.000000,,-323924493.000000,,-323924493.000000,1044743731.000000,,,,1044743731.000000,,1044743731.000000,1044743731.000000,3472959773.000000,-2428216042.000000,,1044743731.000000,1044743731.000000,3472959773.000000,-2428216042.000000,1044743731.000000
12M 2015,81857545455.000000,-52440114366.000000,29417431089.000000,-66990937715.000000,-19788116671.000000,-47202821044.000000,,-66990937715.000000,-37573506626.000000,-14147214857.000000,,,,4218573207.000000,-30379210104.000000,,-30379210104.000000,12013422040.000000,-14147214857.000000,-51720721483.000000,-4132767930.000000,-4132767930.000000,,,-4132767930.000000,-55853489413.000000,70347107759.000000,70347107759.000000,70347107759.000000,14493618346.000000,-13002275.000000,14480616071.000000,14493618346.000000,19825712774.000000,-5332094428.000000,,14493618346.000000,14480616071.000000,19812710499.000000,-5332094428.000000,14480616071.000000
12M 2016,740024385759.000000,-322976945951.000000,417047439808.000000,-121860667761.000000,-33753051653.000000,-88107616108.000000,,-121860667761.000000,295186772047.000000,-190157883890.000000,,,,16596245244.000000,-209347892414.000000,,-209347892414.000000,2593763280.000000,-190157883890.000000,105028888157.000000,-36975749225.000000,,25470063.000000,-37001219288.000000,-36975749225.000000,68053138932.000000,,,,68053138932.000000,-32177625.000000,68020961307.000000,68053138932.000000,70719285092.000000,-2666146160.000000,,68053138932.000000,68020961307.000000,70687107467.000000,-2666146160.000000,68020961307.000000
12M 2017,1397591860481.000000,-786193428932.000000,611398431549.000000,-169014474393.000000,-81841044954.000000,-90682820218.000000,3509390779.000000,-169014474393.000000,442383957156.000000,-193336316176.000000,,,,30113268288.000000,-217426930806.000000,,-217426930806.000000,-6022653658.000000,-193336316176.000000,249047640980.000000,-52753343385.000000,,-25369403.000000,-52727973982.000000,-52753343385.000000,196294297595.000000,,,,196294297595.000000,353816797.000000,196648114392.000000,196294297595.000000,158566662640.000000,37727634955.000000,,196294297595.000000,196648114392.000000,158920479437.000000,37727634955.000000,196648114392.000000
12M 2018,1211102677631.000000,-684734747827.000000,526367929804.000000,-112645949046.000000,-27732557825.000000,-81300295292.000000,-3613095929.000000,-112645949046.000000,413721980758.000000,-234741861139.000000,,,,39172029719.000000,-266408557020.000000,,-266408557020.000000,-7505333838.000000,-234741861139.000000,178980119619.000000,-30186387590.000000,,91179353.000000,-30277566943.000000,-30186387590.000000,148793732029.000000,,,,148793732029.000000,-485889654.000000,148307842375.000000,148793732029.000000,97052596739.000000,51741135290.000000,,148793732029.000000,148307842375.000000,96707748386.000000,51600093989.000000,148307842375.000000
