Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,-0.00,-4017819.98,-0.00,-4017819.98,,78 B,78 B,77 B,0 B
12M 2009,0.00,100549.70,0.00,8271.70,1 B,23 B,24 B,(21 B),81 B
12M 2010,0.92,110.60,1.81,56.22,642 B,178 B,820 B,757 B,709 B
12M 2011,1.97,103.82,3.42,59.94,114 B,95 B,209 B,37 B,46 B
12M 2012,1.85,105.73,2.87,68.27,60 B,119 B,179 B,109 B,689 B
12M 2013,0.71,155.64,-16.92,-6.56,"2,316 B","7,277 B","9,593 B","9,074 B","(1,632 B)"
12M 2014,0.73,164.95,12.45,9.72,"3,480 B","6,369 B","9,849 B","9,750 B","(1,434 B)"
12M 2015,0.31,159.50,0.35,141.12,"6,790 B","5,446 B","12,236 B","12,231 B","(6,477 B)"
12M 2016,0.66,107.73,0.79,89.82,"4,842 B","6,350 B","11,192 B","11,179 B","(6,447 B)"
12M 2017,0.60,118.67,0.60,118.67,"4,032 B","7,109 B","11,141 B","10,995 B","(5,202 B)"
12M 2018,0.56,89.60,0.65,76.57,"5,593 B","4,056 B","9,649 B","9,523 B","(2,908 B)"
12M 2019,0.56,89.24,0.63,79.32,"2,482 B","2,939 B","5,420 B","5,385 B",697 B
12M 2020,0.52,95.40,0.58,86.39,"5,204 B",184 B,"5,388 B","5,331 B","(4,472 B)"
12M 2021,0.50,100.99,0.54,92.95,"4,439 B",386 B,"4,825 B","4,716 B","(3,138 B)"
12M 2022,1.38,114.36,1.46,108.49,"5,847 B","1,548 B","7,396 B","7,132 B","(2,110 B)"
12M 2023,0.85,123.62,0.88,118.68,"7,742 B","5,374 B","13,117 B","11,426 B",53 B
