Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Dari Ventura Bersama,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,97500000.000000,-81500000.000000,16000000.000000,-6500000.000000,,,-6500000.000000,9500000.000000,-8128811381.000000,,,-8128811381.000000,,,,,,-8128811381.000000,-8119311381.000000,-950000.000000,,,,-950000.000000,-8120261381.000000,,-8120261381.000000,,,-8120261381.000000,-8120261381.000000,,-8120261381.000000,,,,
12M 2009,158192402458.000000,-110025780954.000000,48166621504.000000,-48931364603.000000,,,-48931364603.000000,-764743099.000000,24941773024.000000,,502564914.000000,,,-6736473997.000000,-1634097797.000000,,32809779904.000000,24941773024.000000,24177029925.000000,-16879639493.000000,,,,-16879639493.000000,7297390432.000000,-368860494.000000,6928529938.000000,,,6928529938.000000,7297390432.000000,-368860494.000000,6928529938.000000,,,,
12M 2010,231901612221.000000,-157037929731.000000,74863682490.000000,-105202062900.000000,,,-105202062900.000000,-30338380410.000000,-54341545378.000000,,154363147318.000000,10246260105.000000,668377295.000000,-4078658703.000000,-81030314935.000000,-630000450.000000,-133880356008.000000,-54341545378.000000,-84679925788.000000,-9526773896.000000,,,,-9526773896.000000,-94206699684.000000,-2172498062.000000,-96379197746.000000,,,-96379197746.000000,-94206699684.000000,-2172498062.000000,-96379197746.000000,,,,
12M 2011,340033490639.000000,-221702739970.000000,118330750669.000000,-93559995375.000000,,-93559995375.000000,-93559995375.000000,24770755294.000000,-118792253627.000000,,,,,,,,-118792253627.000000,-118792253627.000000,-94021498333.000000,32589079936.000000,,,,32589079936.000000,-61432418397.000000,,-61432418397.000000,-142655129504.000000,-204087547901.000000,-61432418397.000000,-61318548930.000000,-113869467.000000,-61432418397.000000,-204087547901.000000,-203973678434.000000,-113869467.000000,-204087547901.000000
12M 2012,357108000000.000000,-231891000000.000000,125217000000.000000,-96036000000.000000,,-96036000000.000000,-96036000000.000000,29181000000.000000,-20265000000.000000,,,,,,,,-20265000000.000000,-20265000000.000000,8916000000.000000,-244000000.000000,,,,-244000000.000000,8672000000.000000,,8672000000.000000,-152931000000.000000,-144259000000.000000,8672000000.000000,8718000000.000000,-46000000.000000,8672000000.000000,-144259000000.000000,-144213000000.000000,-46000000.000000,-144259000000.000000
12M 2013,190595229.000000,-81112283.000000,109482946.000000,-17045917.000000,,-17045917.000000,-17045917.000000,92437029.000000,-18099863.000000,,,,,,-38540324.000000,,20440461.000000,-18099863.000000,74337166.000000,-19025528.000000,,,,-19025528.000000,55311638.000000,,55311638.000000,-9971233.000000,45340405.000000,55311638.000000,55316652.000000,-5014.000000,55311638.000000,45340405.000000,45345419.000000,-5014.000000,45340405.000000
12M 2014,262401822.000000,-113763143.000000,148638679.000000,-20240217.000000,,-20240217.000000,-20240217.000000,128398462.000000,-71436754.000000,,13818712.000000,1697526.000000,,,-79691689.000000,,-7261303.000000,-71436754.000000,56961708.000000,-30785080.000000,,,,-30785080.000000,26176628.000000,,26176628.000000,-479596.000000,25697032.000000,26176628.000000,26176628.000000,,26176628.000000,25697032.000000,25697032.000000,,25697032.000000
12M 2015,9670791.000000,-12860136.000000,-3189345.000000,-5640386.000000,,-5640386.000000,-5640386.000000,-8829731.000000,-32612559.000000,,5044669.000000,52428824.000000,,,-72118897.000000,,-17967155.000000,-32612559.000000,-41442290.000000,1275296.000000,,,,1275296.000000,-40166994.000000,,-40166994.000000,-4716878.000000,-44883872.000000,-40166994.000000,-37866799.000000,-2300195.000000,-40166994.000000,-44883872.000000,-42583677.000000,-2300195.000000,-44883872.000000
12M 2016,2302609.000000,-8134050.000000,-5831441.000000,-3687685.000000,,-3687685.000000,-3687685.000000,-9519126.000000,-163123091.000000,89437586.000000,6527.000000,,,,-66845703.000000,,-185721501.000000,-163123091.000000,-172642217.000000,70869.000000,,,,70869.000000,-172571348.000000,,-172571348.000000,702130.000000,-171869218.000000,-172571348.000000,-170824723.000000,-1746625.000000,-172571348.000000,-171869218.000000,-170122593.000000,-1746625.000000,-171869218.000000
12M 2017,3266629.000000,-8842053.000000,-5575424.000000,-3425501.000000,,-3425501.000000,-3425501.000000,-9000925.000000,46549525.000000,101973353.000000,10463.000000,-8111379.000000,,,-55009188.000000,,7686276.000000,46549525.000000,37548600.000000,599325.000000,,,,599325.000000,38147925.000000,,38147925.000000,196704.000000,38344629.000000,38147925.000000,38665198.000000,-517273.000000,38147925.000000,38344629.000000,38861902.000000,-517273.000000,38344629.000000
