Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Pengendalian Bersama,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Properti Pertambangan,Aset Minyak Dan Gas Bumi,Aset Eksplorasi Dan Evaluasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Surat Promes,Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Konversi,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Wesel Bayar,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,250000000.000000,,8125000.000000,12125000.000000,12125000.000000,,12125000.000000,,,270250000.000000,,51932047560.000000,,,,,,,,,,15409900041.000000,67341947601.000000,67612197601.000000,,,2025000.000000,,,,,,,,,,,2025000.000000,,,,,,,,,,,2025000.000000,77654722560.000000,,,,,,,,,77654722560.000000,,77654722560.000000,77656747560.000000,,250000000.000000,,-10294549959.000000,,,-10294549959.000000,,,-10044549959.000000,67612197601.000000,2500.000000
12M 2009,,,45003074555.000000,,55066386926.000000,3882720982.000000,3882720982.000000,,3882720982.000000,7718067400.000000,3473834280.000000,115144084143.000000,,26564954737.000000,31166882608.000000,,,9482628242.000000,1714132604959.000000,,,,,82448654437.000000,1863795724983.000000,1978939809126.000000,,,34316402787.000000,,,,11704528725.000000,,11704528725.000000,,,,,7172157566.000000,5247758785.000000,,,,1007553451.000000,139265340.000000,253209361.000000,8664054498.000000,10064082650.000000,127875061.000000,34316402787.000000,28227946103.000000,,429991858.000000,55678905.000000,82068551.000000,567739314.000000,,,22412385992.000000,,5247820797.000000,28227946103.000000,62544348890.000000,,1857574400000.000000,,-3366020021.000000,,,-3366020021.000000,48609964671.000000,13577115586.000000,1916395460236.000000,1978939809126.000000,18575744.000000
12M 2010,,,63213565874.000000,1582589632610.000000,60092859179.000000,100894880057.000000,100894880057.000000,,100894880057.000000,24902336736.000000,15991725549.000000,1847685000005.000000,,81299330604.000000,27991335027.000000,,891601062638.000000,5416134453.000000,1635554043369.000000,,,,,207933050794.000000,2849794956885.000000,4697479956890.000000,,,1138474715846.000000,,602768496560.000000,60046662324.000000,,,60046662324.000000,,,,,30415425317.000000,63874171871.000000,,,,38874358530.000000,,127966063.000000,287549151539.000000,326551476132.000000,54818483642.000000,1138474715846.000000,185043713424.000000,,178317998809.000000,,,178317998809.000000,,,,,6725714615.000000,185043713424.000000,1323518429270.000000,,3007574406500.000000,418102981495.000000,-99745217767.000000,,,-99745217767.000000,47668959215.000000,360398177.000000,3373961527620.000000,4697479956890.000000,30075744065.000000
12M 2011,,,172261171030.000000,131907234762.000000,72188560718.000000,1089552065.000000,1089552065.000000,,1089552065.000000,43026076924.000000,125237429250.000000,545710024749.000000,,8210082775.000000,47172414426.000000,,1281779520806.000000,571073444.000000,1319571310399.000000,,,251445224128.000000,,265912963891.000000,3174662589869.000000,3720372614618.000000,,,499264805378.000000,20000000000.000000,,,51576506764.000000,60561082332.000000,112137589096.000000,,,,,20640503810.000000,107648263699.000000,,,,94080500000.000000,,60213333.000000,144365181032.000000,238505894365.000000,332554408.000000,499264805378.000000,98835298999.000000,,94731908848.000000,,75266667.000000,94807175515.000000,,,,,4028123484.000000,98835298999.000000,598100104377.000000,,3007574445200.000000,418102998910.000000,-161063766697.000000,,,-161063766697.000000,-46435845.000000,-142294731327.000000,3122272510241.000000,3720372614618.000000,30075744452.000000
12M 2012,,,69984000000.000000,,53557000000.000000,93490000000.000000,93490000000.000000,,93490000000.000000,57525000000.000000,1043720000000.000000,1318276000000.000000,,7670000000.000000,50053000000.000000,,1329944000000.000000,835000000.000000,1319571000000.000000,,,290416000000.000000,6212000000.000000,156180000000.000000,3160881000000.000000,4479157000000.000000,,,629471000000.000000,20000000000.000000,,,93105000000.000000,47044000000.000000,140149000000.000000,,,,,93990000000.000000,119364000000.000000,,,,39825000000.000000,,203000000.000000,215608000000.000000,255636000000.000000,332000000.000000,629471000000.000000,125970000000.000000,,118721000000.000000,,173000000.000000,118894000000.000000,,,,,7076000000.000000,125970000000.000000,755441000000.000000,,3521852000000.000000,649528000000.000000,-152346000000.000000,,,-152346000000.000000,-92000000.000000,-295226000000.000000,3723716000000.000000,4479157000000.000000,35218521254.000000
12M 2013,,,42555033.000000,6782293.000000,26098993.000000,33262762.000000,32946355.000000,316407.000000,33262762.000000,4448375.000000,17134398.000000,130281854.000000,,,6321113.000000,,102944153.000000,377032065.000000,48650839.000000,436812629.000000,,18882731.000000,,218763030.000000,1209406560.000000,1339688414.000000,,,264114725.000000,104784370.000000,,,4407667.000000,3759999.000000,8167666.000000,,9641118.000000,36467.000000,9677585.000000,18785362.000000,37605325.000000,,,,65514498.000000,19579919.000000,,,85094417.000000,,264114725.000000,600032345.000000,,461995571.000000,79459602.000000,55086243.000000,596541416.000000,,2872187.000000,,,618742.000000,600032345.000000,864147070.000000,,372946242.000000,76310819.000000,38238115.000000,,,38238115.000000,9710578.000000,-21664410.000000,475541344.000000,1339688414.000000,36508170014.000000
12M 2014,,,7979495.000000,4389665.000000,79621325.000000,33975537.000000,33967333.000000,8204.000000,33975537.000000,4143823.000000,118960231.000000,249070076.000000,,,5339462.000000,,,371328734.000000,48650839.000000,406880317.000000,95249984.000000,32355124.000000,3627012.000000,216305303.000000,1179736775.000000,1428806851.000000,,,364332412.000000,141170420.000000,,,22915062.000000,,22915062.000000,,4447560.000000,243884.000000,4691444.000000,17987642.000000,36043547.000000,,,,56454000.000000,,82135557.000000,,138589557.000000,2934740.000000,364332412.000000,574474478.000000,,471202998.000000,,40727471.000000,511930469.000000,57092024.000000,4372624.000000,,,1079361.000000,574474478.000000,938806890.000000,,372946242.000000,76310819.000000,30470021.000000,553167.000000,29916854.000000,30470021.000000,5959770.000000,4313109.000000,489999961.000000,1428806851.000000,36508170014.000000
12M 2015,,,345050.000000,,816440.000000,31669171.000000,31496478.000000,172693.000000,31669171.000000,3190285.000000,112296436.000000,148317382.000000,,,3303244.000000,,999103998.000000,14660460.000000,48650839.000000,,95753210.000000,30494465.000000,,97186557.000000,1289152773.000000,1437470155.000000,,,617814250.000000,84030344.000000,,,28734323.000000,,28734323.000000,,1766226.000000,342643.000000,2108869.000000,15829036.000000,78961108.000000,,,,303945277.000000,,104205293.000000,,408150570.000000,,617814250.000000,397227255.000000,,58625243.000000,,336173711.000000,394798954.000000,,1449176.000000,,,979125.000000,397227255.000000,1015041505.000000,,372946242.000000,85848758.000000,-38336636.000000,814933.000000,-39151569.000000,-38336636.000000,309078.000000,1661208.000000,422428650.000000,1437470155.000000,36508170014.000000
12M 2016,,,977911.000000,,437826.000000,1997304.000000,1841007.000000,156297.000000,1997304.000000,2855170.000000,20262001.000000,26530212.000000,,,3083137.000000,,895060924.000000,15072134.000000,48650839.000000,,92841454.000000,27862125.000000,,169532186.000000,1252102799.000000,1278633011.000000,,,506388460.000000,37902882.000000,,,31833820.000000,,31833820.000000,,6429805.000000,661336.000000,7091141.000000,8108188.000000,74031665.000000,,,,322442569.000000,,,24978195.000000,347420764.000000,,506388460.000000,474892605.000000,,,,346224794.000000,346224794.000000,,1397094.000000,126397874.000000,,872843.000000,474892605.000000,981281065.000000,,372946242.000000,85987610.000000,-165529841.000000,814933.000000,-166344774.000000,-165529841.000000,4633760.000000,-685825.000000,297351946.000000,1278633011.000000,36508170014.000000
12M 2017,,,10746491.000000,,170236.000000,18665274.000000,9454655.000000,9210619.000000,18665274.000000,,33437721.000000,63019722.000000,,,1248036.000000,,997013429.000000,14995181.000000,,,88286745.000000,,,153389029.000000,1254932420.000000,1317952142.000000,,,446995769.000000,32492179.000000,,,10379774.000000,,10379774.000000,,1813428.000000,325991.000000,2139419.000000,535447.000000,36938822.000000,,,,265080853.000000,,,99429275.000000,364510128.000000,,446995769.000000,524936071.000000,,,,421201286.000000,421201286.000000,,,103544000.000000,,190785.000000,524936071.000000,971931840.000000,,386453778.000000,95630285.000000,-126864643.000000,814933.000000,-127679576.000000,-126864643.000000,-5737167.000000,-3461951.000000,346020302.000000,1317952142.000000,40158987014.000000
