Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Aktivitas Lainnya,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Penghasilan Bunga,Pembayaran Bunga,Beban Usaha,Pengembalian Pajak,Pembayaran Beban Pajak,Pajak Penghasilan Badan,Pembayaran Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penghasilan Bunga,Penerimaan Dividen,Pembayaran Dividen,Penambahan Aset Minyak Dan Gas Bumi,Penempatan Uang Muka Investasi,Pengembalian Uang Muka Investasi,Penempatan Pada Teknologi Finansial,Investasi Jangka Pendek :,Pencairan,Penempatan,Total Investasi Jangka Pendek :,Penempatan Investasi Tersedia Untuk Dijual,Penambahan Aset Eksplorasi Dan Evaluasi,Uang Muka Investasi,Penerimaan Dari Penjualan Entitas Anak,Perolehan Entitas Anak,Penerimaan Uang Muka Divestasi Anak,Penyertaan Saham Pada Entitas Asosiasi,Pencairan (Penempatan) Rekening Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penjualan Investasi Saham,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Lain-Lain,Penambahan Kas Yang Dibatasi Penggunaannya,Penurunan Kas Yang Dibatasi Penggunaannya,Penambahan Properti Pertambangan,Hasil Penjualan Blok Lemang,Perolehan Saham Afiliasi Dan Anak Perusahaan,Klaim Dari Kontraktor,Pembayaran Piutang Jangka Pendek,Penerimaan Piutang Jangka Panjang,Penerimaan Penjualan Piutang,Arus Kas Masuk Neto Atas Pelepasan Aset Keuangan Lainnya,Arus Kas Keluar Bersih Atas Akuisisi Entitas Anak,Arus Kas Masuk Bersih Atas Pelepasan Entitas Anak,Arus Kas Masuk Bersih Atas Pelepasan Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perubahan Utang Pada Entitas Pengendali Bersama,Pembayaran Liabilitas Sewa Pembiayaan,Penerbitan Saham,(Pembayaran) Penerimaan Dari Wesel Bayar,Pembayaran Piutang Jangka Pendek,Peningkatan Modal Saham Dan Disetor,Penerimaan Kas Dari Utang Lain-Lain Pihak Ketiga,Penerimaan Penerbitan Instrumen Ekutias,Kenaikan Utang Pihak Berelasi,Penambahan Piutang Jangka Panjang,Penerimaan (Pembayaran) Pinjaman Jangka Panjang Lainnya,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Kas Dari Pihak Berelasi,Pengeluaran,Penerimaan,Total Penerimaan (Pembayaran) Kas Dari Pihak Berelasi,Penerimaan (Pembayaran) Kas Dari Utang Lain-Lain,Kenaikan (Penurunan) Utang Lain-Lain Jangka Panjang,Pembayaran Utang Konversi,Pembayaran Dividen,Pendirian Entitas Anak,Pembayaran Utang Leasing,Penerimaan (Pembayaran) Utang Kepada Ventura Bersama,Pembayaran Utang Kepada Ventura Bersama,Penerimaan (Pengeluaran) Kas Untuk Piutang Lain-Lain,Penerimaan (Pengeluaran) Kas Untuk Piutang Kepada Pihak Yang Berelasi,Kenaikan Piutang Pihak Hubungan Istimewa,Pembayaran Pinjaman Jangka Panjang,Penerimaan Utang Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Penerimaan Utang Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Atas Akuisisi Entitas Anak,Kas Dan Setara Kas Atas Pelepasan Entitas Anak,Konsolidasi Entitas Anak,Dekonsolidasi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,,97625000.000000,,-88000000.000000,,,-88000000.000000,,,,,,,-9625000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10687125435.000000,,,,,,,,,,,,,,,,,,,,,,,,-10687125435.000000,,,,,,,250000000.000000,,,,,,250000000.000000
12M 2009,-83343633782.000000,103134140532.000000,,-180753087853.000000,,,-180753087853.000000,,,-1854090479.000000,,,,-3870595982.000000,-83343633782.000000,23793299642.000000,502564914.000000,,,,,,,,,,,,,,,-49767267772.000000,,,,-146997500.000000,,,342000000.000000,,,,,72863000000.000000,,,,,,,,,,23793299642.000000,104303408695.000000,,,,108455977440.000000,,,,,22412385992.000000,,,,,,,,,,,,,,,,,,,-26564954737.000000,,,,,104303408695.000000,44753074555.000000,250000000.000000,,,,,,45003074555.000000
12M 2010,27342046668.000000,238398431306.000000,,-170575980417.000000,,,-170575980417.000000,135244322239.000000,,-23834066333.000000,,,-4020888939.000000,-147869771188.000000,27342046668.000000,-2529729326606.000000,,,,,,,,,,-1582589632610.000000,-1582589632610.000000,,,,,-20896764007.000000,,-909808328607.000000,-16126387578.000000,-308213804.000000,,,,,,,,,,,,,,,,,,-2529729326606.000000,2543600896657.000000,,,1568102987995.000000,602768496560.000000,,,265143768221.000000,,,,215754812030.000000,,,,,32109266782.000000,32109266782.000000,,-402256094.000000,,,,,,,-85141802970.000000,-54734375867.000000,,,,,,2543600896657.000000,41213616719.000000,21999949155.000000,,,,,,63213565874.000000
12M 2011,56494638293.000000,317564080147.000000,,-110828873969.000000,,,-110828873969.000000,,,,,,-5237784338.000000,-145002783547.000000,56494638293.000000,819235878836.000000,107877244906.000000,,,-71595168603.000000,-107130244605.000000,,,,1450682397848.000000,,1450682397848.000000,-300300030030.000000,,,977375000000.000000,-1246730070203.000000,,,9056749523.000000,,,,,,,,,,,,,,,,,,,819235878836.000000,-768763415746.000000,,,,-602768496560.000000,,56115.000000,,,,,-16918988813.000000,,-182099624713.000000,33023638225.000000,,,33023638225.000000,,,,,,,,,,,,,,,,-768763415746.000000,106967101383.000000,63213565874.000000,2683726406.000000,-603222633.000000,,,,172261171030.000000
12M 2012,22959000000.000000,368719000000.000000,,-202374000000.000000,,,-202374000000.000000,,,,,,,-143386000000.000000,22959000000.000000,-803166000000.000000,8629000000.000000,,,-36545000000.000000,-918960000000.000000,,,,131907000000.000000,,131907000000.000000,,,,,,,,11894000000.000000,-91000000.000000,,,,,,,,,,,,,,,,,,-803166000000.000000,678786000000.000000,,,,,,745703000000.000000,71236000000.000000,,,,-30521000000.000000,,-108172000000.000000,540000000.000000,,,540000000.000000,,,,,,,,,,,,,,,,678786000000.000000,-101421000000.000000,172261000000.000000,,,,,-856000000.000000,69984000000.000000
12M 2013,121259646.000000,173502598.000000,,-42348817.000000,,,-42348817.000000,,,,,-9894135.000000,,,121259646.000000,-49069113.000000,262434.000000,488087.000000,,-3241064.000000,,,,,,,,28000000.000000,,,,,,,12043122.000000,-18181131.000000,,,,,,,,,,,,,104537380.000000,,-215591223.000000,938186.000000,41675096.000000,-49069113.000000,-36872758.000000,19577959.000000,-46498.000000,19299687.000000,,,,,,,,-44563988.000000,,49864148.000000,,,,,,2831345.000000,,,,,,,,,,,,,-83835411.000000,-36872758.000000,35317775.000000,7237258.000000,,,,,,42555033.000000
12M 2014,99219903.000000,208396960.000000,,,-6861955.000000,-79574067.000000,-86436022.000000,,,,,-22741035.000000,,,99219903.000000,-102449345.000000,1528005.000000,,,-15645881.000000,-107933273.000000,,,,,,,,,,,,,,2392628.000000,-7099893.000000,,,,,,,,,,5813162.000000,,,,,-75528032.000000,,94023939.000000,-102449345.000000,-31346096.000000,23822145.000000,-38150.000000,,,,,,,,18130605.000000,-448266.000000,,-83390293.000000,,,,,,,,,-100.000000,,,,,,12007112.000000,,,-1429149.000000,,-31346096.000000,-34575538.000000,42555033.000000,,,,,,7979495.000000
12M 2015,-8211399.000000,11542402.000000,,-2900333.000000,,,-2900333.000000,,-16853468.000000,,,,,,-8211399.000000,1834969.000000,14147.000000,,,,,,,,,,,,,,1226377.000000,,,,677161.000000,-82716.000000,,,,,,,,,,,,,,,,,,1834969.000000,6525845.000000,10150000.000000,,,,,,,,,,,,,,,,,,,,-2934740.000000,,,,,,,,-3278000.000000,,-2006632.000000,4595217.000000,6525845.000000,-858955.000000,1204005.000000,,,,,,345050.000000
12M 2016,-13362673.000000,2681223.000000,,-5918629.000000,,,-5918629.000000,,-10125267.000000,,,,,,-13362673.000000,4159055.000000,6527.000000,,,,,,,,,,,,,,4309706.000000,,,,22587.000000,-89637.000000,,,,,,,-113260.000000,,,,,,,23132.000000,,,,4159055.000000,9836479.000000,10360000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-832828.000000,,-1024636.000000,1333943.000000,9836479.000000,632861.000000,345050.000000,,,,,,977911.000000
12M 2017,-72836265.000000,5316033.000000,,-4720853.000000,,,-4720853.000000,,-73431445.000000,,,,,,-72836265.000000,3172549.000000,10463.000000,,,,,,,,,,,,,,2931667.000000,,,,345469.000000,-95918.000000,,,,,,,-19132.000000,,,,,,,,,,,3172549.000000,79684367.000000,137965667.000000,,,,,,,23150211.000000,,,,,,,,,,,,,,,,,,,,,-75953326.000000,,-8704369.000000,3226184.000000,79684367.000000,10020651.000000,977911.000000,,,,-252071.000000,,10746491.000000
