Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,186648558988.000000,-104103112153.000000,82545446835.000000,-13942081814.000000,-13942081814.000000,-13942081814.000000,68603365021.000000,-8223014071.000000,641281169.000000,,,-2825062206.000000,,-6039233034.000000,-8223014071.000000,60380350950.000000,-2619280330.000000,,-2619280330.000000,57761070620.000000,,57761070620.000000,57761070620.000000,57743194078.000000,17876542.000000,57761070620.000000,57761070620.000000,57743194078.000000,17876542.000000,57761070620.000000
12M 2012,221012769878.000000,-125978527061.000000,95034242817.000000,-22990897171.000000,-22990897171.000000,-22990897171.000000,72043345646.000000,-7692906931.000000,1401588497.000000,,,-4574835404.000000,,-4519660024.000000,-7692906931.000000,64350438715.000000,-4470808458.000000,,-4470808458.000000,59879630257.000000,,59879630257.000000,59879630257.000000,59813752028.000000,65878229.000000,59879630257.000000,59879630257.000000,59813752028.000000,65878229.000000,59879630257.000000
12M 2013,206024940837.000000,-128937226323.000000,77087714514.000000,-26600738481.000000,-26600738481.000000,-26600738481.000000,50486976033.000000,-17460728025.000000,3380771062.000000,,,-5191769611.000000,,-15649729476.000000,-17460728025.000000,33026248008.000000,-3537747677.000000,,-3537747677.000000,29488500331.000000,,29488500331.000000,29488500331.000000,29444521735.000000,43978596.000000,29488500331.000000,29488500331.000000,29444521735.000000,43978596.000000,29488500331.000000
12M 2014,219324820166.000000,-158280552904.000000,61044267262.000000,-27121109473.000000,-27121109473.000000,-27121109473.000000,33923157789.000000,-8367998602.000000,2763526205.000000,,,-6995485395.000000,,-4136039412.000000,-8367998602.000000,25555159187.000000,-2191812907.000000,,-2191812907.000000,23363346280.000000,,23363346280.000000,23363346280.000000,23391157671.000000,-27811391.000000,23363346280.000000,23363346280.000000,23391157671.000000,-27811391.000000,23363346280.000000
12M 2015,192721688228.000000,-128885242575.000000,63836445653.000000,-25636044354.000000,-25636044354.000000,-25636044354.000000,38200401299.000000,-7311040267.000000,1441124432.000000,,,-4747457883.000000,,-4004706816.000000,-7311040267.000000,30889361032.000000,-2433126265.000000,,-2433126265.000000,28456234767.000000,2141256857.000000,30597491624.000000,28456234767.000000,28422052950.000000,34181817.000000,28456234767.000000,30597491624.000000,30557145251.000000,40346373.000000,30597491624.000000
12M 2016,160609018764.000000,-116757531020.000000,43851487744.000000,-24366944680.000000,-24366944680.000000,-24366944680.000000,19484543064.000000,-4867388296.000000,2435876066.000000,,,-3565770193.000000,-1489554385.000000,-2247939784.000000,-4867388296.000000,14617154768.000000,-695060764.000000,,-695060764.000000,13922094004.000000,2125962359.000000,16048056363.000000,13922094004.000000,13908536290.000000,13557714.000000,13922094004.000000,16048056363.000000,16042918075.000000,5138288.000000,16048056363.000000
12M 2017,176879872407.000000,-122360831751.000000,54519040656.000000,-27629322684.000000,-27629322684.000000,-27629322684.000000,26889717972.000000,-1490912805.000000,1727096904.000000,,,-1702882584.000000,-1663974158.000000,148847033.000000,-1490912805.000000,25398805167.000000,-1128311047.000000,,-1128311047.000000,24270494120.000000,-123051599.000000,24147442521.000000,24270494120.000000,24247184090.000000,23310030.000000,24270494120.000000,24147442521.000000,24126776339.000000,20666182.000000,24147442521.000000
12M 2018,236020877647.000000,-154144486292.000000,81876391355.000000,-25919236625.000000,-25919236625.000000,-25919236625.000000,55957154730.000000,-1016954715.000000,1927950131.000000,,,-651560869.000000,-2300526923.000000,7182946.000000,-1016954715.000000,54940200015.000000,-2187533280.000000,,-2187533280.000000,52752666735.000000,-419948491.000000,52332718244.000000,52752666735.000000,52706695105.000000,45971630.000000,52752666735.000000,52332718244.000000,52278146807.000000,54571437.000000,52332718244.000000
12M 2019,250170826551.000000,-166376407183.000000,83794419368.000000,-26245408318.000000,-26245408318.000000,-26245408318.000000,57549011050.000000,-3581784293.000000,1500569493.000000,,,-2976547227.000000,-2473180461.000000,367373902.000000,-3581784293.000000,53967226757.000000,-1623074790.000000,,-1623074790.000000,52344151967.000000,1577371936.000000,53921523903.000000,52344151967.000000,52308257677.000000,35894290.000000,52344151967.000000,53921523903.000000,53885829593.000000,35694310.000000,53921523903.000000
12M 2020,230662117776.000000,-154964629524.000000,75697488252.000000,-22739074071.000000,-22739074071.000000,-22739074071.000000,52958414181.000000,-7672986474.000000,1954222023.000000,,,-5475410836.000000,-2278008110.000000,-1873789551.000000,-7672986474.000000,45285427707.000000,-1341366169.000000,,-1341366169.000000,43944061538.000000,999135077.000000,44943196615.000000,43944061538.000000,43908458385.000000,35603153.000000,43944061538.000000,44943196615.000000,44900726358.000000,42470257.000000,44943196615.000000
12M 2021,199312722588.000000,-129737163929.000000,69575558659.000000,-18609375079.000000,-18609375079.000000,-18609375079.000000,50966183580.000000,2188700541.000000,2896076038.000000,,,-2516454280.000000,-2072519429.000000,3881598212.000000,2188700541.000000,53154884121.000000,-1747646452.000000,,-1747646452.000000,51407237669.000000,515902242.000000,51923139911.000000,51407237669.000000,51377147797.000000,30089872.000000,51407237669.000000,51923139911.000000,51891854342.000000,31285569.000000,51923139911.000000
12M 2022,309603262557.000000,-156433356491.000000,153169906066.000000,-22617908898.000000,-22617908898.000000,-22617908898.000000,130551997168.000000,-2338032579.000000,1402304359.000000,,,-1937921783.000000,-3128142720.000000,1325727565.000000,-2338032579.000000,128213964589.000000,-1822078806.000000,,-1822078806.000000,126391885783.000000,727615357.000000,127119501140.000000,126391885783.000000,126339890729.000000,51995054.000000,126391885783.000000,127119501140.000000,127064231546.000000,55269594.000000,127119501140.000000
12M 2023,522351078947.000000,-238940784518.000000,283410294429.000000,-27544823062.000000,-27544823062.000000,-27544823062.000000,255865471367.000000,-23590916801.000000,1133195790.000000,,,-3849649971.000000,-5337056198.000000,-15537406422.000000,-23590916801.000000,232274554566.000000,-3289285141.000000,,-3289285141.000000,228985269425.000000,-270037866.000000,228715231559.000000,228985269425.000000,228900264854.000000,85004571.000000,228985269425.000000,228715231559.000000,228630015958.000000,85215601.000000,228715231559.000000
12M 2024,490338038801.000000,-207265896764.000000,283072142037.000000,-30708566933.000000,-30708566933.000000,-30708566933.000000,252363575104.000000,-8607007491.000000,1975134911.000000,,,-6353824366.000000,-5342127926.000000,1113809890.000000,-8607007491.000000,243756567613.000000,-2901593039.000000,,-2901593039.000000,240854974574.000000,68353089.000000,240923327663.000000,240854974574.000000,240751863816.000000,103110758.000000,240854974574.000000,240923327663.000000,240818557831.000000,104769832.000000,240923327663.000000
