Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Pajak Penghasilan,Pembayaran Kepada Karyawan,Penerimaan Dari Pengembalian Tagihan Pajak,Penerimaan Klaim Asuransi,Pembayaran Bunga,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penempatan Investasi Jangka Pendek,Investasi Dalam Saham,Setoran Modal,Uang Muka Untuk Perolehan Aset Tetap,Pendapatan Dividen,Hasil Pelepasan Investasi Saham,Pembayaran Utang Aset Tetap Tahun Lalu,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Jangka Panjang,Penerimaan,Pembayaran,Total Utang Jangka Panjang,Utang Jangka Pendek,Penerimaan,Total Utang Jangka Pendek,Pembayaran Utang Sewa Pembiayaan,Perolehan Penawaran Umum Saham Perdana,Pembayaran Biaya Emisi Saham,Pembayaran Utang Dividen,Pembayaran Dividen,Pencairan (Penempatan) Pada Dana Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,83606287157.000000,183465273382.000000,-70389997519.000000,-4007467262.000000,-23293224353.000000,15483946.000000,,-2565298206.000000,381517169.000000,,83606287157.000000,-83605182347.000000,-70630416338.000000,360909091.000000,,,,,,,-13335675100.000000,-83605182347.000000,12050375481.000000,,52619080000.000000,-22068704519.000000,30550375481.000000,,,,,,,-12000000000.000000,-6500000000.000000,,12050375481.000000,12051480291.000000,-11171128.000000,,10650041360.000000,22690350523.000000
12M 2012,66363697169.000000,202243472558.000000,-89835800270.000000,-2046827314.000000,-41138586261.000000,,,-4260150041.000000,1401588497.000000,,66363697169.000000,-77498084628.000000,-73880890107.000000,1139125779.000000,,,,,,,-4756320300.000000,-77498084628.000000,64874531030.000000,,69557496000.000000,-27422837719.000000,42134658281.000000,,,,,58800000000.000000,-2560127251.000000,-6500000000.000000,-27000000000.000000,,64874531030.000000,53740143571.000000,-54537565.000000,,22690350523.000000,76375956529.000000
12M 2013,68670500488.000000,201137529832.000000,-86508997953.000000,-4200770218.000000,-46068039456.000000,,5904298971.000000,-4974291749.000000,3380771061.000000,,68670500488.000000,-59830532537.000000,-37421441628.000000,1090909091.000000,-23500000000.000000,,,,,,,-59830532537.000000,-47373336260.000000,,14880000000.000000,-41103336260.000000,-26223336260.000000,,,,,,,,-21150000000.000000,,-47373336260.000000,-38533368309.000000,297476543.000000,,76375956529.000000,38140064763.000000
12M 2014,64550630341.000000,218841193705.000000,-103609005707.000000,-3627607814.000000,-46706405279.000000,,3615076500.000000,-6726147269.000000,2763526205.000000,,64550630341.000000,-53167622562.000000,-79998622562.000000,3331000000.000000,23500000000.000000,,,,,,,-53167622562.000000,-16136224251.000000,,49960000000.000000,-56696224251.000000,-6736224251.000000,,,,,,,,-9400000000.000000,,-16136224251.000000,-4753216472.000000,147460195.000000,,38140064763.000000,33534308486.000000
12M 2015,63229016055.000000,194830103197.000000,-76660831128.000000,-5683874222.000000,-46895843886.000000,,2415487024.000000,-6217149362.000000,1441124432.000000,,63229016055.000000,-14478725678.000000,-15576491928.000000,1097766250.000000,,,,,,,,-14478725678.000000,-48241607935.000000,,,-41191607935.000000,-41191607935.000000,,,,,,,,-7050000000.000000,,-48241607935.000000,508682442.000000,193908694.000000,,33534308486.000000,34236899622.000000
12M 2016,64038372677.000000,167503218174.000000,-66714070075.000000,-2342825303.000000,-38269944740.000000,,5056318984.000000,-3630200428.000000,2435876065.000000,,64038372677.000000,-23722009923.000000,-10757424550.000000,677272727.000000,-13651661600.000000,,,,,9803500.000000,,-23722009923.000000,-30601355653.000000,,7000000000.000000,-28201355653.000000,-21201355653.000000,,,,,,,,-9400000000.000000,,-30601355653.000000,9715007101.000000,-28207882.000000,,34236899622.000000,43923698841.000000
12M 2017,46689475865.000000,175129604699.000000,-88340473365.000000,-1257115217.000000,-38849461416.000000,,,-1720175740.000000,1727096904.000000,,46689475865.000000,-27495285403.000000,-31585068915.000000,4500000000.000000,-458679208.000000,,,,12074820.000000,36387900.000000,,-27495285403.000000,-20977170030.000000,,500000000.000000,-14427170030.000000,-13927170030.000000,,,,,,,,-7050000000.000000,,-20977170030.000000,-1782979568.000000,4026678.000000,,43923698841.000000,42144745951.000000
12M 2018,53227499699.000000,221086775726.000000,-131312618947.000000,-3367151300.000000,-40511239138.000000,,6055344096.000000,-651560869.000000,1927950131.000000,,53227499699.000000,-50050229254.000000,-72422505368.000000,18383636363.000000,-18349879606.000000,,75010000.000000,,160872789.000000,22102636568.000000,,-50050229254.000000,-1196950058.000000,,23220430445.000000,-10317380503.000000,12903049942.000000,,,,,,,,-14100000000.000000,,-1196950058.000000,1980320387.000000,267257273.000000,,42144745951.000000,44392323611.000000
12M 2019,89278938587.000000,262364634484.000000,-125227185277.000000,-5082529052.000000,-42994461760.000000,,1592091396.000000,-2824374397.000000,1450763193.000000,,89278938587.000000,-87857644413.000000,-91334495030.000000,2642954544.000000,-2523486900.000000,,,,159632590.000000,3197750383.000000,,-87857644413.000000,5662290043.000000,,34841144555.000000,-13903854512.000000,20937290043.000000,,,,,,,,-15275000000.000000,,5662290043.000000,7083584217.000000,405958820.000000,,44392323611.000000,51881866648.000000
12M 2020,76826370335.000000,238539512469.000000,-113422856626.000000,-3512817360.000000,-41298711168.000000,,,-5397652085.000000,1918895105.000000,,76826370335.000000,-56940164450.000000,-62921015428.000000,5258474795.000000,-7717699983.000000,,,,165758959.000000,8274317207.000000,,-56940164450.000000,1216936312.000000,,17456000000.000000,-8014063688.000000,9441936312.000000,,,,,,,,-8225000000.000000,,1216936312.000000,21103142197.000000,15755104.000000,,51881866648.000000,73000763949.000000
