Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Pihak Berelasi,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,22690350523.000000,17809316095.000000,5768190080.000000,12041126015.000000,17809316095.000000,5350383051.000000,279555555.000000,5070827496.000000,5350383051.000000,,11687287147.000000,57537336816.000000,,246783731840.000000,389747889.000000,101667279.000000,247275147008.000000,304812483824.000000,,,41253739097.000000,,,6177097337.000000,4239189812.000000,10416287149.000000,,,,659290279.000000,585232063.000000,,,21295273706.000000,21295273706.000000,8297655900.000000,41253739097.000000,36039888282.000000,,30835144399.000000,30835144399.000000,,,5204743883.000000,36039888282.000000,77293627379.000000,,80000000000.000000,,149374521443.000000,,,149374521443.000000,,140041437.000000,-1995706435.000000,227518856445.000000,304812483824.000000,160000000.000000
12M 2012,,,76375956529.000000,26770394915.000000,5290307873.000000,21480087042.000000,26770394915.000000,,,,,8737860259.000000,25763794724.000000,137648006427.000000,,293637151409.000000,492337392.000000,94667279.000000,294224156080.000000,431872162507.000000,,,44830925914.000000,,,594637564.000000,3640734261.000000,4235371825.000000,,1035000000.000000,,3404565314.000000,475892004.000000,,,34775159371.000000,34775159371.000000,904937400.000000,44830925914.000000,70402877142.000000,,64049616827.000000,64049616827.000000,,,6353260315.000000,70402877142.000000,115233803056.000000,,235000000000.000000,21239872749.000000,62188273471.000000,,,62188273471.000000,,205919666.000000,-1995706435.000000,316638359451.000000,431872162507.000000,2350000000.000000
12M 2013,,,38140064763.000000,39699595317.000000,9513800002.000000,30185795315.000000,39699595317.000000,,,,,17880635602.000000,36747185707.000000,132467481389.000000,,301911619041.000000,611442210.000000,94667279.000000,302617728530.000000,435085209919.000000,,,57426700751.000000,,,576770518.000000,7006592538.000000,7583363056.000000,,1009530934.000000,,2691999240.000000,519141318.000000,,,44954779758.000000,44954779758.000000,667886445.000000,57426700751.000000,52681649386.000000,,44933350694.000000,44933350694.000000,,,7748298692.000000,52681649386.000000,110108350137.000000,,235000000000.000000,19244166314.000000,70482795206.000000,,,70482795206.000000,,249898262.000000,,324976859782.000000,435085209919.000000,2350000000.000000
12M 2014,,,33534308486.000000,37433932188.000000,13354653842.000000,24079278346.000000,37433932188.000000,,,,,13699597437.000000,11570727558.000000,96238565669.000000,,345763473086.000000,706608939.000000,94667279.000000,346564749304.000000,442803314973.000000,,,52967173989.000000,,,788159502.000000,6360776489.000000,7148935991.000000,,685000000.000000,,2048610831.000000,1118092519.000000,,,40958682795.000000,40958682795.000000,1007851853.000000,52967173989.000000,50895934922.000000,,41760105753.000000,41760105753.000000,,,9135829169.000000,50895934922.000000,103863108911.000000,,235000000000.000000,19244166314.000000,84473952877.000000,,,84473952877.000000,,222086871.000000,,338940206062.000000,442803314973.000000,2350000000.000000
12M 2015,,,34236899622.000000,35505543072.000000,13839365323.000000,21666177749.000000,35505543072.000000,,,,,11404708206.000000,11289758171.000000,92436909071.000000,,329046919897.000000,652731130.000000,94667279.000000,329794318306.000000,422231227377.000000,,,29217872661.000000,,,941648040.000000,2366890570.000000,3308538610.000000,,335000000.000000,,1326108636.000000,2122781202.000000,,,21384268500.000000,21384268500.000000,741175713.000000,29217872661.000000,31871365806.000000,,22262550536.000000,22262550536.000000,,,9608815270.000000,31871365806.000000,61089238467.000000,,235000000000.000000,19244166314.000000,106607936566.000000,,,106607936566.000000,,289886030.000000,,361141988910.000000,422231227377.000000,2350000000.000000
12M 2016,,,43923698841.000000,27399569814.000000,9361344727.000000,18038225087.000000,27399569814.000000,,,,,8325612219.000000,23983923448.000000,103632804322.000000,,304897966670.000000,954009087.000000,,305851975757.000000,409484780079.000000,,,22862731874.000000,,,93191351.000000,5056989873.000000,5150181224.000000,,40439500.000000,,1566573809.000000,2178367310.000000,,,13927170031.000000,13927170031.000000,,22862731874.000000,18653327932.000000,,8335380501.000000,8335380501.000000,,,10317947431.000000,18653327932.000000,41516059806.000000,,235000000000.000000,19422841314.000000,110424179268.000000,,,110424179268.000000,,295024318.000000,2826675373.000000,367968720273.000000,409484780079.000000,2350000000.000000
12M 2017,,,42144745951.000000,28290268116.000000,751899461.000000,27538368655.000000,28290268116.000000,,,,,9004334307.000000,31666233965.000000,111105582339.000000,,300461285719.000000,1127441063.000000,3592272839.000000,305180999621.000000,416286581960.000000,,,18400443369.000000,,,122104863.000000,5927170355.000000,6049275218.000000,,40439500.000000,,2957229476.000000,1936118673.000000,,,7317380502.000000,7317380502.000000,100000000.000000,18400443369.000000,12808975797.000000,,1018000000.000000,1018000000.000000,,,11790975797.000000,12808975797.000000,31209419166.000000,,235000000000.000000,19432841314.000000,126788498803.000000,,,126788498803.000000,,316690500.000000,3539132177.000000,385077162794.000000,416286581960.000000,2350000000.000000
12M 2018,,,44392323611.000000,35694113233.000000,,35694113233.000000,35694113233.000000,,,,,16990972339.000000,44966134639.000000,142043543822.000000,,331525743565.000000,776187366.000000,,332301930931.000000,474345474753.000000,,,23526300566.000000,,,,15621550573.000000,15621550573.000000,,,,1932328187.000000,1874189946.000000,,,2891417360.000000,2891417360.000000,1206814500.000000,23526300566.000000,27434283149.000000,,18347013085.000000,18347013085.000000,,,9087270064.000000,27434283149.000000,50960583715.000000,,235000000000.000000,19432841314.000000,165534497251.000000,,,165534497251.000000,,446271937.000000,2971280536.000000,423384891038.000000,474345474753.000000,2350000000.000000
12M 2019,,,51881866648.000000,34302439747.000000,,34302439747.000000,34302439747.000000,,,,,16253368837.000000,31575266245.000000,134012941477.000000,,392627670150.000000,827275111.000000,,393454945261.000000,527467886738.000000,,,23179545509.000000,,,,9647625834.000000,9647625834.000000,,,,2465070180.000000,2338066000.000000,,,8432597020.000000,8432597020.000000,296186475.000000,23179545509.000000,42256926288.000000,,33743123468.000000,33743123468.000000,,,8513802820.000000,42256926288.000000,65436471797.000000,,235000000000.000000,19432841314.000000,202567754928.000000,,,202567754928.000000,,481966247.000000,4548852452.000000,462031414941.000000,527467886738.000000,2350000000.000000
12M 2020,,,73000763949.000000,25408082202.000000,,25408082202.000000,25408082202.000000,,,,,15707419317.000000,32219723095.000000,146335988563.000000,,421189882932.000000,522454719.000000,,421712337651.000000,568048326214.000000,,,21765155172.000000,,,,2886603748.000000,2886603748.000000,,,,2128576897.000000,3243622361.000000,,,12280597020.000000,12280597020.000000,1225755146.000000,21765155172.000000,47533559486.000000,,39337059780.000000,39337059780.000000,,,8196499706.000000,47533559486.000000,69298714658.000000,,235000000000.000000,19432841314.000000,238251213313.000000,,,238251213313.000000,,524436504.000000,5541120425.000000,498749611556.000000,568048326214.000000,2350000000.000000
