Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Karyawan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8404679927000.000000,-4759853494000.000000,3644826433000.000000,-2393813976000.000000,-588678045000.000000,-1805135931000.000000,,-2393813976000.000000,1251012457000.000000,-17459469660000.000000,-308929271000.000000,-526473453000.000000,791208707000.000000,,-492224000.000000,,,-17414783419000.000000,-17459469660000.000000,-16208457203000.000000,-87552885000.000000,-169980614000.000000,82427729000.000000,-87552885000.000000,-16296010088000.000000,-168957768000.000000,-16464967856000.000000,,,,-16464967856000.000000,-16296010088000.000000,-168957768000.000000,-16464967856000.000000,,,,
12M 2009,7631762309000.000000,-3926939104000.000000,3704823205000.000000,-3002838092000.000000,-522815542000.000000,-2480022550000.000000,,-3002838092000.000000,701985113000.000000,-2038368347000.000000,-1091005659000.000000,291887630000.000000,-493827235000.000000,,-2597925000.000000,,,-742825158000.000000,-2038368347000.000000,-1336383234000.000000,-41744267000.000000,-112154608000.000000,70410341000.000000,-41744267000.000000,-1378127501000.000000,-248999186000.000000,-1627126687000.000000,,,,-1627126687000.000000,-1378127501000.000000,-248999186000.000000,-1627126687000.000000,,,,
12M 2010,13109304596000.000000,-8603194428000.000000,4506110168000.000000,-3530250206000.000000,-570237585000.000000,-2960012621000.000000,,-3530250206000.000000,975859962000.000000,-9482519953000.000000,-1518317564000.000000,482522351000.000000,202979299000.000000,,-2768055000.000000,,,-8646935984000.000000,-9482519953000.000000,-8506659991000.000000,1508516178000.000000,-220318632000.000000,1728834810000.000000,1508516178000.000000,-6998143813000.000000,-642774735000.000000,-7640918548000.000000,,,,-7640918548000.000000,-6998143813000.000000,-642774735000.000000,-7640918548000.000000,,,,
12M 2011,16194022641000.000000,-11106553502000.000000,5087469139000.000000,-3327163399000.000000,-541344805000.000000,-2785818594000.000000,,-3327163399000.000000,1760305740000.000000,-1744929784000.000000,-2007850759000.000000,-165825074000.000000,-701808000.000000,39138924000.000000,204614000.000000,,,390104319000.000000,-1744929784000.000000,15375956000.000000,116499559000.000000,-41446913000.000000,157946472000.000000,116499559000.000000,131875515000.000000,,131875515000.000000,940273200000.000000,,1072148715000.000000,131875515000.000000,451887818000.000000,-320012303000.000000,131875515000.000000,1072148715000.000000,1258437491000.000000,-186288776000.000000,1072148715000.000000
12M 2012,15479335198000.000000,-12804910354000.000000,2674424844000.000000,-562179366000.000000,-84345688000.000000,-248100291000.000000,-229733387000.000000,-562179366000.000000,2112245478000.000000,-1574586202000.000000,-1190110255000.000000,-182151009000.000000,,,,,,-202324938000.000000,-1574586202000.000000,537659276000.000000,-182784060000.000000,-85318961000.000000,-97465099000.000000,-182784060000.000000,354875216000.000000,,354875216000.000000,-6742722688000.000000,,-6387847472000.000000,354875216000.000000,127773276000.000000,227101940000.000000,354875216000.000000,-6387847472000.000000,-6602115993000.000000,214268521000.000000,-6387847472000.000000
12M 2013,5212927833000.000000,-3583607121000.000000,1629320712000.000000,-636720782000.000000,-204038120000.000000,-203967115000.000000,-228715547000.000000,-636720782000.000000,992599930000.000000,-11462532109000.000000,-1134714460000.000000,-1028531874000.000000,,,,,,-9299285775000.000000,-11462532109000.000000,-10469932179000.000000,-2253361616000.000000,-128276150000.000000,-2125085466000.000000,-2253361616000.000000,-12723293795000.000000,,-12723293795000.000000,5206192730000.000000,,-7517101065000.000000,-12723293795000.000000,-12726304735000.000000,3010940000.000000,-12723293795000.000000,-7517101065000.000000,-7645822666000.000000,128721601000.000000,-7517101065000.000000
12M 2014,6379643317000.000000,-3856405391000.000000,2523237926000.000000,-862969026000.000000,-246597375000.000000,-329102092000.000000,-287269559000.000000,-862969026000.000000,1660268900000.000000,-1388212160000.000000,-598987903000.000000,-162760918000.000000,,,,,,-626463339000.000000,-1388212160000.000000,272056740000.000000,-122531076000.000000,-151002321000.000000,28471245000.000000,-122531076000.000000,149525664000.000000,,149525664000.000000,2640979000.000000,,152166643000.000000,149525664000.000000,152873746000.000000,-3348082000.000000,149525664000.000000,152166643000.000000,133754751000.000000,18411892000.000000,152166643000.000000
12M 2015,4661923517000.000000,-2711114210000.000000,1950809307000.000000,-678378408000.000000,-118257783000.000000,-306271662000.000000,-253848963000.000000,-678378408000.000000,1272430899000.000000,-2919840459000.000000,-543537809000.000000,-722172482000.000000,,,,,,-1654130168000.000000,-2919840459000.000000,-1647409560000.000000,-71959611000.000000,-74557509000.000000,2597898000.000000,-71959611000.000000,-1719369171000.000000,,-1719369171000.000000,-30011953000.000000,,-1749381124000.000000,-1719369171000.000000,-1745116392000.000000,25747221000.000000,-1719369171000.000000,-1749381124000.000000,-1702312926000.000000,-47068198000.000000,-1749381124000.000000
12M 2016,2075909000000.000000,-1979810000000.000000,96099000000.000000,-540043000000.000000,-44807000000.000000,-271818000000.000000,-223418000000.000000,-540043000000.000000,-443944000000.000000,-3146424000000.000000,-268591000000.000000,212006000000.000000,-1523168000000.000000,,,,,-1566671000000.000000,-3146424000000.000000,-3590368000000.000000,-71250000000.000000,-8183000000.000000,-63067000000.000000,-71250000000.000000,-3661618000000.000000,,-3661618000000.000000,238439000000.000000,,-3423179000000.000000,-3661618000000.000000,-3598601000000.000000,-63017000000.000000,-3661618000000.000000,-3423179000000.000000,-3414783000000.000000,-8396000000.000000,-3423179000000.000000
12M 2017,2459736000000.000000,-2045392000000.000000,414344000000.000000,-514329000000.000000,-99461000000.000000,-164732000000.000000,-250136000000.000000,-514329000000.000000,-99985000000.000000,-1085183000000.000000,-434027000000.000000,-54009000000.000000,137874000000.000000,,,,,-735021000000.000000,-1085183000000.000000,-1185168000000.000000,-13826000000.000000,-33374000000.000000,19548000000.000000,-13826000000.000000,-1198994000000.000000,,-1198994000000.000000,-10264000000.000000,,-1209258000000.000000,-1198994000000.000000,-1205434000000.000000,6440000000.000000,-1198994000000.000000,-1209258000000.000000,-1214624000000.000000,5366000000.000000,-1209258000000.000000
12M 2018,3340451000000.000000,-2664887000000.000000,675564000000.000000,-591417000000.000000,-107784000000.000000,-220796000000.000000,-262837000000.000000,-591417000000.000000,84147000000.000000,-1294832000000.000000,,-708617000000.000000,173213000000.000000,,,,,-759428000000.000000,-1294832000000.000000,-1210685000000.000000,-39528000000.000000,-55869000000.000000,16341000000.000000,-39528000000.000000,-1250213000000.000000,,-1250213000000.000000,-73450000000.000000,,-1323663000000.000000,-1250213000000.000000,-1260970000000.000000,10757000000.000000,-1250213000000.000000,-1323663000000.000000,-1332439000000.000000,8776000000.000000,-1323663000000.000000
12M 2019,3235677000000.000000,-2557420000000.000000,678257000000.000000,-540588000000.000000,-121718000000.000000,-157081000000.000000,-261789000000.000000,-540588000000.000000,137669000000.000000,743855000000.000000,,90130000000.000000,758870000000.000000,34124000000.000000,1747000000.000000,,,-141016000000.000000,743855000000.000000,881524000000.000000,-18254000000.000000,-58427000000.000000,40173000000.000000,-18254000000.000000,863270000000.000000,,863270000000.000000,-77565000000.000000,,785705000000.000000,863270000000.000000,852956000000.000000,10314000000.000000,863270000000.000000,785705000000.000000,768378000000.000000,17327000000.000000,785705000000.000000
12M 2020,2454947000000.000000,-2209020000000.000000,245927000000.000000,-525031000000.000000,-111990000000.000000,-168905000000.000000,-244136000000.000000,-525031000000.000000,-279104000000.000000,-648202000000.000000,,-29731000000.000000,,13995000000.000000,28582000000.000000,,,-661048000000.000000,-648202000000.000000,-927306000000.000000,-3019000000.000000,-14277000000.000000,11258000000.000000,-3019000000.000000,-930325000000.000000,,-930325000000.000000,146231000000.000000,,-784094000000.000000,-930325000000.000000,-929465000000.000000,-860000000.000000,-930325000000.000000,-784094000000.000000,-779012000000.000000,-5082000000.000000,-784094000000.000000
12M 2021,2393477000000.000000,-1971882000000.000000,421595000000.000000,-400901000000.000000,-77040000000.000000,-123467000000.000000,-200394000000.000000,-400901000000.000000,20694000000.000000,95209000000.000000,-145615000000.000000,216912000000.000000,,5140000000.000000,-50000000.000000,6732000000.000000,,12090000000.000000,95209000000.000000,115903000000.000000,-29123000000.000000,-16933000000.000000,-12190000000.000000,-29123000000.000000,86780000000.000000,,86780000000.000000,63812000000.000000,,150592000000.000000,86780000000.000000,63678000000.000000,23102000000.000000,86780000000.000000,150592000000.000000,119813000000.000000,30779000000.000000,150592000000.000000
12M 2022,3626696000000.000000,-2910526000000.000000,716170000000.000000,-484245000000.000000,-105789000000.000000,-162697000000.000000,-215759000000.000000,-484245000000.000000,231925000000.000000,121795000000.000000,-154437000000.000000,-154559000000.000000,,4867000000.000000,203036000000.000000,159970000000.000000,,62918000000.000000,121795000000.000000,353720000000.000000,-47559000000.000000,-48415000000.000000,856000000.000000,-47559000000.000000,306161000000.000000,,306161000000.000000,-74754000000.000000,,231407000000.000000,306161000000.000000,266134000000.000000,40027000000.000000,306161000000.000000,231407000000.000000,167933000000.000000,63474000000.000000,231407000000.000000
