Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk Pemasok Dan Karyawan,Pembayaran Kas Untuk Karyawan,Adjustment,Penerimaan Dari:,Bunga,Restitusi Pajak,Operasi Lainnya,Total Penerimaan Dari:,Pembayaran Untuk:,Bunga,Pajak,Beban Bagi Hasil Musyarakah,Beban Murabahah,Beban Keuangan Syariah,Total Pembayaran Untuk:,Pembayaran Untuk Aktivitas Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari:,Penjualan Aset Tetap,Pendapatan Deviden,Penjualan Investasi,Investasi Jangka Pendek,Piutang Lain-Lain,Jaminan Lelang Proyek,Uang Muka Pembelian Aset Tetap,Investasi Efek,Penjualan Waran,Pihak Berelasi - Bersih,Dana Dalam Pembatasan,Hasil Penjualan Saham,Biaya Pengembangan Proyek,Dividen,Akuisisi Anak Perusahaan,Tambahan Modal Disetor Entitas Anak,Perolehan Atas Penjualan Saham,Total Penerimaan Dari:,Pembayaran Untuk :,Uang Muka Jangka Panjang,Penambahanaset Tetap,Uang Muka Lain-Lain,Biaya Pengembangan Proyek,Uang Muka Pembelian Tanah,Uang Muka Investasi,Investasi Jangka Pendek,Investasi Jangka Panjang,Piutang Lain-Lain,Dana Dalam Pembatasan,Transaksi Dengan Pihak Berelasi,Uang Muka Untuk Perolehan Aset Tetap,Kas Neto Entitas Anak Yang Didekonsolidasi,Jaminan Lelang Proyek,Akuisisi Anak Perusahaan,"Perolehan Entitas Anak, Neto Kas",Investasi Pada Entitas Asosiasi,Dividen,Penambahan Tanaman Perkebunan,Piutang Plasma,Uang Muka Akuisisi,Penyertaan Saham,Pihak Berelasi - Bersih,Investasi Pada Efek,Biaya Bunga Dan Uang Muka Lain-Lain,Total Pembayaran Untuk :,Penerimaan (Pembayaran) Untuk Aset Lain-Lain,Lancar,Tidak Lancar,Total Penerimaan (Pembayaran) Untuk Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari :,Utang Jangka Panjang,Utang Jangka Pendek,Transaksi Dengan Pihak Berelasi,Dana Dalam Pembatasan,Kas Di Bank Yang Dibatasi Penggunaannya,Piutang Lain-Lain,Penerbitan Wesel Senior,Eksekusi Waran,Penerbitan Waran,Dividen,Sewa,Emisi Saham,Penerbitan Saham Melalui Hmetd,Penerbitan Saham Kepada Kepentingan Nonpengendali,Penerimaan Untuk Aset Lain-Lain,Penambahan Modal Saham,Penerbitan Saham Baru Melalui Penawaran Umum Perdana Saham,Penurunan Neto Utang Pihak Berelasi,Pembiayaan Musyarakah,Total Penerimaan Dari :,Pembayaran Untuk:,Utang Jangka Pendek,Transaksi Dengan Pihak Berelasi,Utang Jangka Panjang,Utang Sewa Pembiayaan,Pembiayaan Musyarakah,Pembiayaan Murabahah,Bunga Dan Beban Keuangan Lainnya,Beban Keuangan Syariah,Dividen,Kas Di Bank Yang Dibatasi Penggunaannya,Penerbitan Wesel Senior,Piutang Lain-Lain,Utang Lain-Lain,Emisi Saham,Piutang Plasma,Dana Dalam Pembatasan,Biaya Penerbitan Saham,Pihak Berelasi,Lain-Lain,Saham Beredar Yang Diperoleh Kembali,Total Pembayaran Untuk:,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Anak Perusahaan Yang Diakuisisi,Kas Dan Setara Kas Anak Perusahaan Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,1317768927000.000000,9112063069000.000000,-6998226791000.000000,,,,220990850000.000000,7060918000.000000,,228051768000.000000,,-607648941000.000000,-237458386000.000000,,,,-845107327000.000000,-179011792000.000000,,1317768927000.000000,-43789218734000.000000,,567645000.000000,,,523301872000.000000,,,,,,,,,,,,,,523869517000.000000,,,,-2716834370000.000000,-333598694000.000000,,,-1048138237000.000000,,-2350819997000.000000,-4838554000.000000,,-221910697000.000000,,,,,-367781944000.000000,,,,,-37262995864000.000000,,,,-44306918357000.000000,,,-6169894000.000000,-6169894000.000000,,-43789218734000.000000,42636991331000.000000,,3277037118000.000000,2567132830000.000000,,,,5845327000.000000,,,121948792000.000000,113188381000.000000,,41468591628000.000000,,,,,,,,47553744076000.000000,,-4048078428000.000000,,-793222861000.000000,-391285000.000000,,,,,-30146591000.000000,,,,,,-20451118000.000000,,-174773351000.000000,198310041000.000000,,-47999152000.000000,-4916752745000.000000,,,42636991331000.000000,165541524000.000000,883975330000.000000,,,,1049516854000.000000
12M 2009,2993006117000.000000,8430727049000.000000,-4620326989000.000000,,,,291954404000.000000,4114935000.000000,,296069339000.000000,,-864942857000.000000,-220231212000.000000,,,,-1085174069000.000000,-28289213000.000000,,2993006117000.000000,-3130394265000.000000,,384129142000.000000,,,550435754000.000000,,,,,,,203684145000.000000,114328802000.000000,,,,,,1252577843000.000000,,,,-2407843757000.000000,-192558375000.000000,,,,-229992657000.000000,-57792266000.000000,,,-124820019000.000000,,,,,-1301864360000.000000,,,,,,,,,-4314871434000.000000,,,-68100674000.000000,-68100674000.000000,,-3130394265000.000000,438092756000.000000,,141318996000.000000,2145105345000.000000,,,,,,,,,,,,,,,,,,2286424341000.000000,,-643302718000.000000,,-452002169000.000000,-662773459000.000000,,,,,-11763843000.000000,,,,,,,,,-78489396000.000000,,,-1848331585000.000000,,,438092756000.000000,300704608000.000000,1049516854000.000000,,,,1350221462000.000000
12M 2010,1493177267000.000000,12826411418000.000000,-10075919578000.000000,,,,108301848000.000000,82044889000.000000,,190346737000.000000,,-1145633790000.000000,-213494882000.000000,,,,-1359128672000.000000,-88532638000.000000,,1493177267000.000000,-9599194392000.000000,,155018000.000000,,367258042000.000000,,,,,,,,,,,,,,,367413060000.000000,,,,-1931628881000.000000,-83638916000.000000,,,,,157077000.000000,,,-106966942000.000000,,,-2881059742000.000000,,-3648356819000.000000,,-483793109000.000000,-48061712000.000000,,,,-783258408000.000000,,-9966607452000.000000,,,,,,-9599194392000.000000,7808073099000.000000,,1982460956000.000000,4082497327000.000000,,,,-41390666000.000000,2254750000000.000000,,,,,,4994843068000.000000,,,,,,,13273160685000.000000,,-1427157657000.000000,,-2060997162000.000000,-434428676000.000000,,,,,-50259061000.000000,,-82793862000.000000,,,-100875703000.000000,,-261512104000.000000,,-1047063361000.000000,,,-5465087586000.000000,,,7808073099000.000000,-297944026000.000000,1350221462000.000000,,19768591000.000000,-329768431000.000000,742277596000.000000
12M 2011,620879410000.000000,13217768656000.000000,-11452671036000.000000,,,,25589016000.000000,25452688000.000000,,51041704000.000000,,-899942802000.000000,-144802120000.000000,,,,-1044744922000.000000,-150514992000.000000,,620879410000.000000,-2932591662000.000000,,363574000.000000,2160000000.000000,,1585032994000.000000,,5000000000.000000,,,,,,,,,,,,1592556568000.000000,,,,-1641923489000.000000,-90140788000.000000,,,-2559479559000.000000,,,,,-43378580000.000000,-162322646000.000000,,-19093905000.000000,,,-11560144000.000000,,,,,,,,-4527899111000.000000,,-721915000.000000,3472796000.000000,2750881000.000000,,-2932591662000.000000,2040602402000.000000,,142868509000.000000,6248781111000.000000,295046112000.000000,,,,1260718940000.000000,55000.000000,,,,,,,,,,,,7947414727000.000000,,-1667179000000.000000,-179417754000.000000,-2100952176000.000000,-677528369000.000000,,,-1025147591000.000000,,,-177219228000.000000,-71525539000.000000,-7842668000.000000,,,,,,,,,-5906812325000.000000,,,2040602402000.000000,-271109850000.000000,742277600000.000000,15437018000.000000,,,486604768000.000000
12M 2012,368816039000.000000,10098597522000.000000,-9585042068000.000000,,,,1414410000.000000,54218398000.000000,,55632808000.000000,,-133488074000.000000,-65728722000.000000,,,,-199216796000.000000,-1155427000.000000,,368816039000.000000,2039673902000.000000,,17621103000.000000,2988000000.000000,,3924628219000.000000,,,,,,,,,,,,,,3945237322000.000000,,,,-245721499000.000000,-99204915000.000000,,,-1386822339000.000000,,,,,-77999912000.000000,-62113506000.000000,-4632668000.000000,,,,,,,,,,,,-1876494839000.000000,,,-29068581000.000000,-29068581000.000000,,2039673902000.000000,-2714844869000.000000,,1373597006000.000000,548950657000.000000,243866866000.000000,,69265949000.000000,785203000.000000,,,,,,,,,,,,,,2236465681000.000000,,-4731988180000.000000,-167412072000.000000,-2000000000.000000,-7150605000.000000,,,-39876284000.000000,,-2883409000.000000,,,,,,,,,,,,-4951310550000.000000,,,-2714844869000.000000,-306354928000.000000,486604768000.000000,-16298895000.000000,,,163950945000.000000
12M 2013,318085830000.000000,4200930100000.000000,-3665922728000.000000,,,,7686855000.000000,4748091000.000000,,12434946000.000000,,-165924131000.000000,-63654157000.000000,,,,-229578288000.000000,221800000.000000,,318085830000.000000,-108726986000.000000,,176539094000.000000,2258788000.000000,,1658320000.000000,,,,,,,,,,,,,,180456202000.000000,,,,-284100968000.000000,-8187586000.000000,,,-3323416000.000000,,,,,,,-1607469000.000000,,,,,,,,,,,,-297219439000.000000,,,8036251000.000000,8036251000.000000,,-108726986000.000000,-216732921000.000000,,111837183000.000000,156541382000.000000,49794052000.000000,,-46515250000.000000,,,,,,,,,,,,,,,271657367000.000000,,-168412420000.000000,-289197126000.000000,-26267810000.000000,200112000.000000,,,-4713044000.000000,,,,,,,,,,,,,,-488390288000.000000,,,-216732921000.000000,-7374077000.000000,15449642000.000000,163950945000.000000,,,172026510000.000000
12M 2014,860169014000.000000,6303046705000.000000,-5165790678000.000000,,,,8697507000.000000,4963560000.000000,,13661067000.000000,,-91479561000.000000,-188593899000.000000,,,,-280073460000.000000,-10674620000.000000,,860169014000.000000,-337941464000.000000,,619159000.000000,,14000000.000000,,,6890123000.000000,,,,,,,,,,,,7523282000.000000,,,,-325929918000.000000,-5635684000.000000,,,-1507400000.000000,,,,,,-6642809000.000000,,,,,,,,,,,,,-339715811000.000000,,,-5748935000.000000,-5748935000.000000,,-337941464000.000000,-421336151000.000000,,175761552000.000000,186425272000.000000,359170974000.000000,,-415421084000.000000,,,,,,,,,,,,,,,305936714000.000000,,-402298025000.000000,-218245130000.000000,-97922860000.000000,-5749211000.000000,,,-3057639000.000000,,,,,,,,,,,,,,-727272865000.000000,,,-421336151000.000000,100891399000.000000,6258889000.000000,172026509000.000000,,,279176797000.000000
12M 2015,-415172030000.000000,2773352732000.000000,-2916879985000.000000,,,,10962690000.000000,,,10962690000.000000,,-53741646000.000000,-210821356000.000000,,,,-264563002000.000000,-18044465000.000000,,-415172030000.000000,75299010000.000000,,53771616000.000000,,555050000000.000000,,,,,,,,,,,,,,,608821616000.000000,,,,-122095037000.000000,-830616000.000000,,-50000000000.000000,-356804162000.000000,,,,,,-253567000.000000,,,,,,,,,,,,,-529983382000.000000,,,-3539224000.000000,-3539224000.000000,,75299010000.000000,449307702000.000000,,87419237000.000000,183633726000.000000,27975499000.000000,,438005954000.000000,,,,,,,,,,,,,,,737034416000.000000,,-197110070000.000000,-1424281000.000000,-87650912000.000000,-1541451000.000000,,,,,,,,,,,,,,,,,-287726714000.000000,,,449307702000.000000,109434682000.000000,29488493000.000000,279176797000.000000,,,418099972000.000000
12M 2016,-204593000000.000000,2134144000000.000000,-2155804000000.000000,,,,7618000000.000000,7827000000.000000,,15445000000.000000,,-70816000000.000000,-137936000000.000000,,,,-208752000000.000000,10374000000.000000,,-204593000000.000000,-99584000000.000000,,395000000.000000,,,,,,,,,,,,,,,,,395000000.000000,,,,-80347000000.000000,-7441000000.000000,,,-11267000000.000000,,,,,,-357000000.000000,,,,,,,,,,,,,-99412000000.000000,,,-567000000.000000,-567000000.000000,,-99584000000.000000,40756000000.000000,,16890000000.000000,298446000000.000000,253000000.000000,,59951000000.000000,,,,,,,,,,,,,,,375540000000.000000,,-270987000000.000000,-2584000000.000000,-59147000000.000000,-2066000000.000000,,,,,,,,,,,,,,,,,-334784000000.000000,,,40756000000.000000,-263421000000.000000,-8916000000.000000,418100000000.000000,,,145763000000.000000
12M 2017,123043000000.000000,2573964000000.000000,-2366599000000.000000,,,,2780000000.000000,50868000000.000000,,53648000000.000000,,-50667000000.000000,-87336000000.000000,,,,-138003000000.000000,33000000.000000,,123043000000.000000,-75754000000.000000,,1071000000.000000,,,35352000000.000000,,,,,,,,,,,,,,36423000000.000000,,,,-78601000000.000000,-8808000000.000000,,,,,,,,,,,,,,,,,,,-24768000000.000000,,,-112177000000.000000,,,,,,-75754000000.000000,-72301000000.000000,,41570000000.000000,373231000000.000000,,,64705000000.000000,,,,,,,,,,,,,,,479506000000.000000,,-478153000000.000000,-2191000000.000000,-69101000000.000000,-2362000000.000000,,,,,,,,,,,,,,,,,-551807000000.000000,,,-72301000000.000000,-25012000000.000000,3597000000.000000,145763000000.000000,,,124348000000.000000
