Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Piutang Usaha,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Murabahah,Utang Transaksi Syariah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Murabahah,Utang Transaksi Syariah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Senior Notes,Others,Total Senior Notes,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1049516854000.000000,1140545414000.000000,,,1140545414000.000000,1110724650000.000000,1064645886000.000000,46078764000.000000,1110724650000.000000,88988144000.000000,88988144000.000000,,88988144000.000000,600956160000.000000,,902453903000.000000,4893185125000.000000,,284134096000.000000,6080857309000.000000,1713804599000.000000,8705939825000.000000,313527317000.000000,,512585252000.000000,2169808154000.000000,19780656552000.000000,24673841677000.000000,,,9496394670000.000000,5885378686000.000000,,,,5885378686000.000000,,1067766795000.000000,3325544000.000000,1071092339000.000000,,103358595000.000000,1444188799000.000000,1547547394000.000000,320269073000.000000,123451468000.000000,,,189689026000.000000,1056650000.000000,,,,190745676000.000000,357910034000.000000,9496394670000.000000,4419217641000.000000,,296025092000.000000,24856565000.000000,,1650019679000.000000,6309287000.000000,,,1656328966000.000000,,2323977805000.000000,2323977805000.000000,118029213000.000000,4419217641000.000000,13915612311000.000000,,21514997088000.000000,24533082182000.000000,-18370130407000.000000,4019109228000.000000,,-20938828725000.000000,10758229366000.000000,24673841677000.000000,13485139200.000000
12M 2009,,,1350221462000.000000,588544017000.000000,,,588544017000.000000,925489571000.000000,610080021000.000000,315409550000.000000,925489571000.000000,146780410000.000000,146780410000.000000,,146780410000.000000,515554730000.000000,,789165022000.000000,4315755212000.000000,,445440040000.000000,6111117186000.000000,1106226921000.000000,12865937019000.000000,429164152000.000000,,485800123000.000000,1622316414000.000000,23066001855000.000000,27381757067000.000000,,,6803459004000.000000,2637390349000.000000,,,,2637390349000.000000,,1837391802000.000000,2105678000.000000,1839497480000.000000,,72357146000.000000,33930007000.000000,106287153000.000000,1103196601000.000000,130904107000.000000,,,314879887000.000000,294641655000.000000,,,,609521542000.000000,376661772000.000000,6803459004000.000000,11408594422000.000000,,329972769000.000000,107673113000.000000,,6426812231000.000000,2342524050000.000000,,,8769336281000.000000,,2102414715000.000000,2102414715000.000000,99197544000.000000,11408594422000.000000,18212053426000.000000,,21514997088000.000000,24533082182000.000000,-19997257094000.000000,4161723000000.000000,,-21042841535000.000000,9169703641000.000000,27381757067000.000000,13485139200.000000
12M 2010,,,742277596000.000000,8043576979000.000000,,,8043576979000.000000,1069460039000.000000,444249082000.000000,625210957000.000000,1069460039000.000000,3548947792000.000000,3548947792000.000000,,3548947792000.000000,455485672000.000000,,1015284769000.000000,14875032847000.000000,,139251471000.000000,273506452000.000000,13486500000.000000,11767646342000.000000,2316256134000.000000,,2693049000.000000,2380156580000.000000,16892996528000.000000,31768029375000.000000,,,6346001214000.000000,2177252404000.000000,,,,2177252404000.000000,,1956760149000.000000,2880530000.000000,1959640679000.000000,,65517100000.000000,10531873000.000000,76048973000.000000,1491966781000.000000,64869974000.000000,,,45400176000.000000,407399926000.000000,,,,452800102000.000000,123422301000.000000,6346001214000.000000,11774769918000.000000,1049044097000.000000,397152307000.000000,44163345000.000000,,5302935433000.000000,1970977760000.000000,,,7273913193000.000000,,2820560757000.000000,2820560757000.000000,189936219000.000000,11774769918000.000000,18120771132000.000000,,21514997088000.000000,24533082182000.000000,-27746281913000.000000,2955186667000.000000,,-7609725781000.000000,13647258243000.000000,31768029375000.000000,13485139200.000000
12M 2011,,,486604768000.000000,4960405501000.000000,,,4960405501000.000000,5249998829000.000000,4235454130000.000000,1014544699000.000000,5249998829000.000000,139174604000.000000,139174604000.000000,,139174604000.000000,492062460000.000000,,348430628000.000000,11676676790000.000000,,36952367000.000000,7967468990000.000000,119256788000.000000,2552840203000.000000,2248632145000.000000,,4686090000.000000,606137293000.000000,13535973876000.000000,25212650666000.000000,,,11592898680000.000000,7237716683000.000000,,,,7237716683000.000000,,800081744000.000000,4723006000.000000,804804750000.000000,,57124692000.000000,15559882000.000000,72684574000.000000,945611275000.000000,83427632000.000000,,,2330674389000.000000,5849387000.000000,,,,2336523776000.000000,112129990000.000000,11592898680000.000000,1453135472000.000000,,123014887000.000000,94410733000.000000,,1133217348000.000000,2505106000.000000,,,1135722454000.000000,,,,99987398000.000000,1453135472000.000000,13046034152000.000000,,12263548350000.000000,61727871000.000000,370211477000.000000,216107392000.000000,,-744978576000.000000,12166616514000.000000,25212650666000.000000,13485139200.000000
12M 2012,,,163950945000.000000,2929722016000.000000,,,2929722016000.000000,3341431490000.000000,3255471503000.000000,85959987000.000000,3341431490000.000000,138389401000.000000,138389401000.000000,,138389401000.000000,503686748000.000000,,312570910000.000000,7389751510000.000000,,62435849000.000000,509493469000.000000,,2663456283000.000000,2145546587000.000000,,3763367000.000000,2883139595000.000000,8267835150000.000000,15657586660000.000000,,,4934418793000.000000,3639853843000.000000,,,,3639853843000.000000,,503063476000.000000,24955127000.000000,528018603000.000000,,62651900000.000000,25438943000.000000,88090843000.000000,406900776000.000000,113537944000.000000,,,94823520000.000000,166722000.000000,,,,94990242000.000000,63026542000.000000,4934418793000.000000,5263826233000.000000,2143372162000.000000,116929279000.000000,178554305000.000000,,2703458249000.000000,1037166000.000000,,,2704495415000.000000,,,,120475072000.000000,5263826233000.000000,10198245026000.000000,,12263548350000.000000,,497984753000.000000,76718246000.000000,,-7378909715000.000000,5459341634000.000000,15657586660000.000000,13485139200.000000
12M 2013,,,172026509000.000000,2967439102000.000000,,,2967439102000.000000,2755011104000.000000,2690089903000.000000,64921201000.000000,2755011104000.000000,223410547000.000000,223410547000.000000,,223410547000.000000,885790293000.000000,,299980364000.000000,7303657919000.000000,,340727078000.000000,994786616000.000000,,2578292713000.000000,29044912000.000000,,3763367000.000000,616387808000.000000,4563002494000.000000,11866660413000.000000,,,10046164302000.000000,4279299954000.000000,,,,4279299954000.000000,,1003772460000.000000,24110230000.000000,1027882690000.000000,,71624986000.000000,14790466000.000000,86415452000.000000,1453315180000.000000,193604326000.000000,2774157407000.000000,,159133318000.000000,689742000.000000,,,,159823060000.000000,71666233000.000000,10046164302000.000000,3844617687000.000000,,140311778000.000000,231595060000.000000,,3339288836000.000000,3388884000.000000,,,3342677720000.000000,,,,130033129000.000000,3844617687000.000000,13890781989000.000000,,12263548350000.000000,,-12228319982000.000000,205439847000.000000,,-2264789791000.000000,-2024121576000.000000,11866660413000.000000,93721717528.000000
12M 2014,,,279176797000.000000,2588926554000.000000,,,2588926554000.000000,1579936354000.000000,1535955042000.000000,43981312000.000000,1579936354000.000000,51047506000.000000,51047506000.000000,,51047506000.000000,911627233000.000000,,176549674000.000000,5587264118000.000000,,365655147000.000000,1637506575000.000000,,2569316640000.000000,58197724000.000000,,3763367000.000000,1074344883000.000000,5708784336000.000000,11296048454000.000000,,,11813217335000.000000,3543151697000.000000,,,,3543151697000.000000,,1027176508000.000000,2682865000.000000,1029859373000.000000,,88554558000.000000,8456268000.000000,97010826000.000000,1000455000000.000000,160326010000.000000,3383980473000.000000,,2305365218000.000000,2153420000.000000,,,,2307518638000.000000,290915318000.000000,11813217335000.000000,1572613458000.000000,,147392434000.000000,128969653000.000000,,1143914068000.000000,1927589000.000000,,,1145841657000.000000,,,,150409714000.000000,1572613458000.000000,13385830793000.000000,,12263548350000.000000,,-12075446236000.000000,22022221000.000000,,-2299906674000.000000,-2089782339000.000000,11296048454000.000000,93721717528.000000
12M 2015,,,418099972000.000000,438680465000.000000,,,438680465000.000000,1161637021000.000000,1128861171000.000000,32775850000.000000,1161637021000.000000,309753825000.000000,309753825000.000000,,309753825000.000000,629595019000.000000,,259311498000.000000,3217077800000.000000,,226157503000.000000,2557529834000.000000,,2418723020000.000000,81542288000.000000,,,685361653000.000000,5969314298000.000000,9186392098000.000000,,,11627124832000.000000,2290237001000.000000,,,,2290237001000.000000,,486793803000.000000,2407915000.000000,489201718000.000000,,93321288000.000000,28678360000.000000,121999648000.000000,1468015807000.000000,97195515000.000000,4244382330000.000000,,2880413326000.000000,1807754000.000000,,,,2882221080000.000000,33871733000.000000,11627124832000.000000,1494386267000.000000,,148301727000.000000,204750100000.000000,,870707383000.000000,731804000.000000,,,871439187000.000000,,,,269895253000.000000,1494386267000.000000,13121511099000.000000,,12263548350000.000000,,-13823577069000.000000,-27889637000.000000,,-2347200645000.000000,-3935119001000.000000,9186392098000.000000,93721717528.000000
12M 2016,,,145763000000.000000,556645000000.000000,360360000000.000000,196285000000.000000,556645000000.000000,1046516000000.000000,1032236000000.000000,14280000000.000000,1046516000000.000000,445498000000.000000,445498000000.000000,,445498000000.000000,680133000000.000000,,265508000000.000000,3140063000000.000000,,224062000000.000000,37568000000.000000,,2509218000000.000000,72898000000.000000,,,574629000000.000000,3418375000000.000000,6558438000000.000000,,,11627098000000.000000,1712927000000.000000,,,,1712927000000.000000,,578746000000.000000,16549000000.000000,595295000000.000000,,54991000000.000000,40289000000.000000,95280000000.000000,1193952000000.000000,50842000000.000000,4476613000000.000000,,3438208000000.000000,661000000.000000,,,,3438869000000.000000,63320000000.000000,11627098000000.000000,983361000000.000000,,197905000000.000000,311900000000.000000,,151316000000.000000,1855000000.000000,,,153171000000.000000,,,,320385000000.000000,983361000000.000000,12610459000000.000000,,12428548000000.000000,-2256948000000.000000,-17405708000000.000000,-25206000000.000000,,1207293000000.000000,-6052021000000.000000,6558438000000.000000,97021717528.000000
12M 2017,,,124348000000.000000,509745000000.000000,348558000000.000000,161187000000.000000,509745000000.000000,456367000000.000000,441928000000.000000,14439000000.000000,456367000000.000000,658823000000.000000,658823000000.000000,,658823000000.000000,558791000000.000000,,298437000000.000000,2606511000000.000000,,256538000000.000000,201187000000.000000,468014000000.000000,2535648000000.000000,78378000000.000000,,,458609000000.000000,3998374000000.000000,6604885000000.000000,,,11694680000000.000000,670829000000.000000,,,,670829000000.000000,,541440000000.000000,2276000000.000000,543716000000.000000,,213155000000.000000,21468000000.000000,234623000000.000000,1484343000000.000000,73532000000.000000,5116955000000.000000,,3441447000000.000000,334000000.000000,,,,3441781000000.000000,128901000000.000000,11694680000000.000000,906175000000.000000,,176737000000.000000,199112000000.000000,,137367000000.000000,823000000.000000,,,138190000000.000000,,,,392136000000.000000,906175000000.000000,12600855000000.000000,,13254241000000.000000,-2026305000000.000000,-18611142000000.000000,-25459000000.000000,,1412695000000.000000,-5995970000000.000000,6604885000000.000000,113535564308.000000
