Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,18524154422.000000,77027474113.000000,77027474113.000000,77027474113.000000,7032500000.000000,7000000000.000000,32500000.000000,7032500000.000000,103265183778.000000,11836164993.000000,217685477306.000000,,1358884770.000000,106793530396.000000,56941250.000000,8210680563.000000,116420036979.000000,334105514285.000000,,,144859943775.000000,107491583731.000000,,,14537448839.000000,14537448839.000000,,14024322368.000000,14024322368.000000,3023185830.000000,4440146215.000000,,734031228.000000,609225564.000000,1343256792.000000,,144859943775.000000,20751220219.000000,,3307329000.000000,8520986862.000000,11828315862.000000,100746351.000000,8822158006.000000,20751220219.000000,165611163994.000000,,83901000000.000000,,39060445297.000000,,39060445297.000000,39060445297.000000,8941465480.000000,36591439514.000000,168494350291.000000,334105514285.000000,83901.000000
12M 2022,,,7409980626.000000,79325014914.000000,79325014914.000000,79325014914.000000,250000000.000000,,250000000.000000,250000000.000000,150825578701.000000,4618839320.000000,242429413561.000000,,1261524763.000000,104767758460.000000,3270833.000000,16322398308.000000,122354952364.000000,364784365925.000000,,,158603482545.000000,112647754257.000000,,,21493618335.000000,21493618335.000000,,12266939413.000000,12266939413.000000,3986895565.000000,6247878175.000000,,,1960396800.000000,1960396800.000000,,158603482545.000000,16255187747.000000,,,7219799440.000000,7219799440.000000,359807155.000000,8675581152.000000,16255187747.000000,174858670292.000000,,138901000000.000000,,34087883015.000000,10229716984.000000,23858166031.000000,34087883015.000000,10051096398.000000,6885716220.000000,189925695633.000000,364784365925.000000,2778020000.000000
12M 2023,,,23388177415.000000,102583243883.000000,102583243883.000000,102583243883.000000,195000000.000000,,195000000.000000,195000000.000000,114841517264.000000,27729254546.000000,268737193108.000000,,1260894224.000000,163380770216.000000,,27757190254.000000,192398854694.000000,461136047802.000000,,,139379245987.000000,112561133694.000000,,,17312725662.000000,17312725662.000000,,433898736.000000,433898736.000000,4532250305.000000,4087694404.000000,,,451543186.000000,451543186.000000,,139379245987.000000,17548504748.000000,,,6879831521.000000,6879831521.000000,514868295.000000,10153804932.000000,17548504748.000000,156927750735.000000,,173901445000.000000,,53821884790.000000,11229716984.000000,42592167806.000000,53821884790.000000,10942604253.000000,65542363024.000000,304208297067.000000,461136047802.000000,3478028900.000000
12M 2024,,,38304211801.000000,112189081285.000000,112189081285.000000,112189081285.000000,,,,,118992294532.000000,12140716550.000000,281626304168.000000,,857359221.000000,264177620299.000000,1051121000.000000,14628283426.000000,280714383946.000000,562340688114.000000,,,218334589272.000000,161535515574.000000,,,38141793973.000000,38141793973.000000,,4023686057.000000,4023686057.000000,2645975797.000000,5443395374.000000,,6250000000.000000,294222497.000000,6544222497.000000,,218334589272.000000,22834823580.000000,,6250000000.000000,8298744567.000000,14548744567.000000,612216673.000000,7673862340.000000,22834823580.000000,241169412852.000000,,173902462600.000000,,69559952284.000000,12229716984.000000,57330235300.000000,69559952284.000000,12094952490.000000,65613907888.000000,321171275262.000000,562340688114.000000,3478049252.000000
