Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,506432465665.000000,-420416083167.000000,86016382498.000000,-52166225710.000000,-29117601958.000000,-16774279556.000000,-6274344196.000000,-52166225710.000000,33850156788.000000,-5168857381.000000,62576177.000000,-5231433558.000000,-5168857381.000000,28681299407.000000,-6615523113.000000,-6080160239.000000,-535362874.000000,-6615523113.000000,22065776294.000000,-858337990.000000,21207438304.000000,,20573007352.000000,21207438304.000000,20027437718.000000,1180000586.000000,21207438304.000000,20573007352.000000,19463376434.000000,1109630918.000000,20573007352.000000
12M 2023,515679963404.000000,-429618941705.000000,86061021699.000000,-52781859180.000000,-34494859376.000000,-19993885770.000000,1706885966.000000,-52781859180.000000,33279162519.000000,-6304878508.000000,1077281722.000000,-7382160230.000000,-6304878508.000000,26974284011.000000,-6341649584.000000,-6011687220.000000,-329962364.000000,-6341649584.000000,20632634427.000000,,20632634427.000000,,20014765634.000000,20632634427.000000,19734001775.000000,898632652.000000,20632634427.000000,20014765634.000000,19123257778.000000,891507856.000000,20014765634.000000
12M 2024,592245382192.000000,-490198973165.000000,102046409027.000000,-63214427232.000000,-40821795819.000000,-18800556049.000000,-3592075364.000000,-63214427232.000000,38831981795.000000,-8372133373.000000,127294558.000000,-8499427931.000000,-8372133373.000000,30459848422.000000,-6658707272.000000,-6190222060.000000,-468485212.000000,-6658707272.000000,23801141150.000000,,23801141150.000000,,23916007383.000000,23801141150.000000,22694149482.000000,1106991668.000000,23801141150.000000,23916007383.000000,22763659146.000000,1152348237.000000,23916007383.000000
