Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Usaha,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Kas Yang Dihasilkan (Digunakan Untuk) Operasi,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Uang Muka Aset Tetap,Penurunan Piutang Lain-Lain Dari Pihak Berelasi,Penempatan Investasi Pada Entitas Anak,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Saham,Pembayaran Dividen,Dividen Tunai Yang Dibayarkan Kepada Pemilik Entitas Induk,Dividen Tunai Yang Dibayarkan Kepada Pemilik Entitas Anak,Utang Bank Jangka Panjang,Pembayaran,Penerimaan,Total Utang Bank Jangka Panjang,Kenaikan Tambahan Modal Disetor Dari:,Pelaksanaan Waran Seri I,Penawaran Umum Perdana,Total Kenaikan Tambahan Modal Disetor Dari:,Pembayaran Liabilitas Sewa,Pembayaran Biaya Emisi Saham,Kenaikan (Penurunan) Utang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Perubahan Kurs Mata Uang Asing Cash Dan Bank,Kas Dan Setara Kas Akhir Periode
12M 2022,2872578534.000000,504012360868.000000,-381405949397.000000,-68726764207.000000,-35178833660.000000,,-4504480980.000000,,-6154896709.000000,62576177.000000,-5231433558.000000,2872578534.000000,-41243456380.000000,425000000.000000,-7753402478.000000,7000000000.000000,-30000000000.000000,-10915053902.000000,,-41243456380.000000,27096036098.000000,55000000000.000000,,-25000000000.000000,,,-4041360228.000000,,-4041360228.000000,,,,,-223984200.000000,-870800000.000000,2232180526.000000,27096036098.000000,-11274841748.000000,18524154422.000000,160667952.000000,7409980626.000000
12M 2023,7029182207.000000,492041541229.000000,-357851377058.000000,-81435531478.000000,-24065594987.000000,,-11788680435.000000,,-4085089487.000000,1077281722.000000,-6863367299.000000,7029182207.000000,-83610281322.000000,,-11908211530.000000,,,-71702069792.000000,,-83610281322.000000,92573193704.000000,35000445000.000000,,,,,,,,,,61600890000.000000,61600890000.000000,-1848821533.000000,-1462699200.000000,-716620563.000000,92573193704.000000,15992094589.000000,7409980626.000000,-13897800.000000,23388177415.000000
12M 2024,65872114823.000000,583108737996.000000,-383996185030.000000,-70257993542.000000,-46656201968.000000,,-125852997.000000,,-7828256263.000000,127294558.000000,-8499427931.000000,65872114823.000000,-102389850923.000000,,-7194502257.000000,,,-94375988666.000000,-819360000.000000,-102389850923.000000,51405629083.000000,1017600.000000,-6956081988.000000,,,,,12500000000.000000,12500000000.000000,,2035200.000000,,2035200.000000,-243623609.000000,,46102281880.000000,51405629083.000000,14887892983.000000,23388177415.000000,28141403.000000,38304211801.000000
