Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,441818715627.000000,-221999412572.000000,219819303055.000000,-131231996137.000000,-66632701946.000000,-64599294191.000000,-131231996137.000000,88587306918.000000,21621832380.000000,57940106.000000,,,-758549547.000000,18851366063.000000,-451182665.000000,3922258423.000000,21621832380.000000,110209139298.000000,-10133556617.000000,,,-10133556617.000000,100075582681.000000,,100075582681.000000,-108818994.000000,99966763687.000000,100075582681.000000,60786395366.000000,39289187315.000000,,100075582681.000000,99966763687.000000,60677320285.000000,39289443402.000000,,99966763687.000000
12M 2018,928461683975.000000,-557954958885.000000,370506725090.000000,-138540897152.000000,-41139800485.000000,-97401096667.000000,-138540897152.000000,231965827938.000000,20255229651.000000,-49211358.000000,,,,16637430970.000000,-1363124362.000000,5030134401.000000,20255229651.000000,252221057589.000000,-23150300866.000000,,,-23150300866.000000,229070756723.000000,,229070756723.000000,1316031427.000000,230386788150.000000,229070756723.000000,96221681995.000000,132849074728.000000,,229070756723.000000,230386788150.000000,96850888182.000000,133535899968.000000,,230386788150.000000
12M 2019,684329100722.000000,-360748110162.000000,323580990560.000000,-147673442243.000000,-50235433251.000000,-97438008992.000000,-147673442243.000000,175907548317.000000,23358780649.000000,-13304194.000000,12567805473.000000,54500000.000000,,10261132705.000000,-4035242668.000000,4523889333.000000,23358780649.000000,199266328966.000000,-16645331516.000000,-16874494766.000000,229163250.000000,-16645331516.000000,182620997450.000000,,182620997450.000000,727963467.000000,183348960917.000000,182620997450.000000,68506572042.000000,114114425408.000000,,182620997450.000000,183348960917.000000,68847912120.000000,114501048797.000000,,183348960917.000000
12M 2020,501177068128.000000,-272643735203.000000,228533332925.000000,-133752656006.000000,-10176825419.000000,-123575830587.000000,-133752656006.000000,94780676919.000000,-1342419489.000000,8395590.000000,4030594689.000000,26036397031.000000,,3801993400.000000,-35630532501.000000,410732302.000000,-1342419489.000000,93438257430.000000,-7164375128.000000,-7817719248.000000,653344120.000000,-7164375128.000000,86273882302.000000,,86273882302.000000,1970668888.000000,88244551190.000000,86273882302.000000,30068010055.000000,56205872247.000000,,86273882302.000000,88244551190.000000,31572457682.000000,56672093508.000000,,88244551190.000000
12M 2021,405660306162.000000,-361033136777.000000,44627169385.000000,-108832470654.000000,-4187894069.000000,-104644576585.000000,-108832470654.000000,-64205301269.000000,-66234608214.000000,9285424.000000,8345165125.000000,,,1719749416.000000,-74886306927.000000,-1422501252.000000,-66234608214.000000,-130439909483.000000,-6076601103.000000,-6141268320.000000,64667217.000000,-6076601103.000000,-136516510586.000000,,-136516510586.000000,3103676164.000000,-133412834422.000000,-136516510586.000000,-110597543672.000000,-25918966914.000000,,-136516510586.000000,-133412834422.000000,-108237184012.000000,-25175650410.000000,,-133412834422.000000
12M 2022,339337344812.000000,-245064940213.000000,94272404599.000000,-66316488374.000000,-967140621.000000,-65349347753.000000,-66316488374.000000,27955916225.000000,450873910165.000000,3197250.000000,21019813632.000000,,,2182633723.000000,-52293804033.000000,479962069593.000000,450873910165.000000,478829826390.000000,-10103599547.000000,-10601704613.000000,498105066.000000,-10103599547.000000,468726226843.000000,,468726226843.000000,2585165438.000000,471311392281.000000,468726226741.000000,478408373168.000000,-9682146427.000000,,468726226741.000000,471311392179.000000,480993538606.000000,-9682146427.000000,,471311392179.000000
12M 2023,304471972747.000000,-188716643727.000000,115755329020.000000,-60609005218.000000,-4185001183.000000,-56424004035.000000,-60609005218.000000,55146323802.000000,-35507219367.000000,-27985240.000000,28917524101.000000,,,634045587.000000,-46280526151.000000,-18750277664.000000,-35507219367.000000,19639104435.000000,-7593276210.000000,-7593276210.000000,,-7593276210.000000,12045828225.000000,,12045828225.000000,3692664343.000000,15738492568.000000,12045828225.000000,13914150792.000000,-1868322567.000000,,12045828225.000000,15738492568.000000,15803344677.000000,-64852109.000000,,15738492568.000000
