Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pendapatan Bunga,"Pembayaran Kas Kepada Pemasok, Karyawan, Dan Beban Operasi Lainnya",Pembayaran Beban Bunga Dan Beban Bunga Keuangan Lainnya,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Tanah Untuk Dikembangkan,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Penerimaan Dari Penjualasn Aset Tetap,Penempatan (Pencairan) Deposito Yang Telah Ditentukan Penggunaannya,Penempatan Saham,Pelepasan Investasi Saham,Penempatan Obligasi Konversi,Penambahan Kontruksi Dalam Pengerjaan,Penempatan Uang Jaminan,Penempatan Investasi Pada Obligasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Dari Partispasi Program Amnesti Pajak,Konversi Obligasi Konversi,Penerimaan (Pembayaran) Dari (Ke) Pihak Berelasi,Penerimaan (Pembayaran) Dari (Ke) Pihak Ketiga,Pembayaran Utang Pembiayaan Konsumen,Keuntungan Penjualan Aset Tetap,Penerimaan Utang Bank,Setoran Modal,Tambahan Modal Disetor,Penerimaan Dari Efek Penawaran Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-21002428813.000000,532252851688.000000,18851366063.000000,-534140681185.000000,-451182665.000000,-37514782714.000000,,-21002428813.000000,-514043990793.000000,-10830560.000000,-1044384000.000000,-3009125777.000000,,-15479400012.000000,,100200100.000000,,-494050737044.000000,-549713500.000000,,-514043990793.000000,357147902950.000000,165850000.000000,-23417826000.000000,-4685769786.000000,-59208443631.000000,-488782466.000000,,444782874833.000000,,,,357147902950.000000,-177898516656.000000,401899867935.000000,224001351279.000000
12M 2018,-337082757341.000000,598595302513.000000,16637430970.000000,-872120407881.000000,-1363124362.000000,-78831958581.000000,,-337082757341.000000,-1259276720603.000000,-2700000000.000000,-130000000.000000,-15104996658.000000,,9940527224.000000,,100.000000,,-500604304630.000000,-677946639.000000,-750000000000.000000,-1259276720603.000000,1531736902191.000000,,-2500000000.000000,53953606654.000000,249418626145.000000,-2253158834.000000,,469779421163.000000,,,763338407063.000000,1531736902191.000000,-64622575753.000000,224001351279.000000,159378775526.000000
12M 2019,-6406562614.000000,555945363149.000000,22828938178.000000,-542184640764.000000,-4035242668.000000,-38960980509.000000,,-6406562614.000000,-708064467658.000000,,-745200000.000000,-2180589475.000000,2117000005.000000,-8723695238.000000,,,,-697923217950.000000,-608765000.000000,,-708064467658.000000,661647764451.000000,,,-7693269707.000000,248236307925.000000,-1653316976.000000,,422758043209.000000,,,,661647764451.000000,-52823265821.000000,159378775526.000000,106555509705.000000
12M 2020,-378241182393.000000,757121781664.000000,7840983679.000000,-1083673626914.000000,-35630532501.000000,-23899788321.000000,,-378241182393.000000,5663257876.000000,,-55000000.000000,-240543890.000000,,5892991444.000000,,,,,65810322.000000,,5663257876.000000,298292341560.000000,,,-27448866144.000000,81197613146.000000,-428367159.000000,,244971961717.000000,,,,298292341560.000000,-74285582957.000000,106555509709.000000,32269926752.000000
12M 2021,-332171823040.000000,616269592851.000000,1719749416.000000,-873187623251.000000,-74886306927.000000,-2087235129.000000,,-332171823040.000000,-17079831447.000000,,,-23199893799.000000,182935596.000000,132034566.000000,,,,5789660012.000000,15432178.000000,,-17079831447.000000,338817492563.000000,,,4974727604.000000,326252307777.000000,-202364725.000000,,7792821907.000000,,,,338817492563.000000,-10434161924.000000,26600161708.000000,16165999784.000000
12M 2022,202550606368.000000,337783008674.000000,2199646613.000000,-48763255655.000000,-78565193717.000000,-10103599547.000000,,202550606368.000000,2199283914.000000,,,-1778234052.000000,1526300370.000000,2425889096.000000,,,,,25328500.000000,,2199283914.000000,-178755237691.000000,,,-13538614767.000000,-132104720202.000000,-142961611.000000,,-32968941111.000000,,,,-178755237691.000000,25994652591.000000,16165999784.000000,42160652375.000000
12M 2023,-22955764301.000000,140335603972.000000,634045587.000000,-108887251649.000000,-46325343763.000000,-8712818448.000000,,-22955764301.000000,5194995043.000000,,,-760564986.000000,,5450560029.000000,,,,,505000000.000000,,5194995043.000000,11778112231.000000,,,603342188.000000,48401542067.000000,-76752024.000000,,-37150020000.000000,,,,11778112231.000000,-5982657027.000000,42160652373.000000,36177995346.000000
