Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Investasi Jangka Pendek,Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,298568580011.000000,75611414069.000000,11129044716.000000,64482369353.000000,75611414069.000000,5956527542.000000,,,,488571219808.000000,,117513554187.000000,986221295617.000000,,84394282192.000000,22740015320.000000,61654266872.000000,84394282192.000000,,,18668296987.000000,,59035693100.000000,229859921428.000000,391958193707.000000,1378179489324.000000,,,462037618512.000000,113556689638.000000,,91411073422.000000,,91411073422.000000,,,21098893880.000000,1420229167.000000,,42566000000.000000,3952245675.000000,711673600.000000,47229919275.000000,187320813130.000000,462037618512.000000,50914827428.000000,714576787.000000,,,43396000000.000000,1160583089.000000,,44556583089.000000,5643667552.000000,50914827428.000000,512952445940.000000,,554116500000.000000,190848431875.000000,120995515664.000000,6745021873.000000,114250493791.000000,120995515664.000000,250000000.000000,-983404155.000000,865227043384.000000,1378179489324.000000,5541165006.000000
12M 2009,,,352442392651.000000,72004311807.000000,8204966459.000000,63799345348.000000,72004311807.000000,1131293000.000000,,,,533150489444.000000,,135143745648.000000,1093872232550.000000,,98187597751.000000,39875527644.000000,58312070107.000000,98187597751.000000,,,18668296987.000000,,54433919708.000000,229629003492.000000,400918817938.000000,1494791050488.000000,,,536231467209.000000,165556000000.000000,,138425364000.000000,,138425364000.000000,,,13730936201.000000,2058992490.000000,,43107000000.000000,1160583089.000000,,44267583089.000000,172192591429.000000,536231467209.000000,40830351154.000000,,,,32779000000.000000,,,32779000000.000000,8051351154.000000,40830351154.000000,577061818363.000000,,554116500000.000000,190848431875.000000,172588849405.000000,9786810873.000000,162802038532.000000,172588849405.000000,1277500000.000000,-1102049155.000000,917729232125.000000,1494791050488.000000,5541165005.000000
12M 2010,,,662479405061.000000,212098083313.000000,98207806771.000000,113890276542.000000,212098083313.000000,1291869021.000000,,,,442345060291.000000,550791467.000000,168271605542.000000,1487036814695.000000,,60109269388.000000,3797199281.000000,56312070107.000000,60109269388.000000,,,18668296987.000000,,83385467313.000000,310038249079.000000,472201282767.000000,1959238097462.000000,,,973125988333.000000,245223634202.000000,,312844982076.000000,48750345465.000000,361595327541.000000,,,15626099892.000000,1788668909.000000,,20678000000.000000,3385893276.000000,,24063893276.000000,324828364513.000000,973125988333.000000,14829653791.000000,,,,,4455315642.000000,,4455315642.000000,10374338149.000000,14829653791.000000,987955642124.000000,,554116500000.000000,190848431875.000000,226061177618.000000,13123810873.000000,212937366745.000000,226061177618.000000,1277500000.000000,-1021154155.000000,971282455338.000000,1959238097462.000000,5541165001.000000
12M 2011,,,292245264809.000000,181227403357.000000,60304393877.000000,120923009480.000000,181227403357.000000,4839507147.000000,,,,230163160263.000000,85251291904.000000,258628735345.000000,1052355362825.000000,,5341497191.000000,3797199281.000000,1544297910.000000,5341497191.000000,,191646098794.000000,18431894607.000000,,77453455282.000000,140352604742.000000,433225550616.000000,1485580913441.000000,,,456878311622.000000,88719626553.000000,,55169327937.000000,30780345465.000000,85949673402.000000,,27213862000.000000,7372397633.000000,674243452.000000,,,4085347905.000000,679794590.000000,4765142495.000000,242183366087.000000,456878311622.000000,68860215755.000000,,,,51688473255.000000,2077016070.000000,1696769110.000000,55462258435.000000,13397957320.000000,68860215755.000000,525738527377.000000,,554116500000.000000,190848431875.000000,215670746866.000000,16650810873.000000,199019935993.000000,215670746866.000000,251000000.000000,-1044292677.000000,959842386064.000000,1485580913441.000000,5541165000.000000
12M 2012,,,328303759151.000000,255772275555.000000,10738856146.000000,245033419409.000000,255772275555.000000,6412906268.000000,,,,241828323364.000000,135262641435.000000,238845299064.000000,1206425204837.000000,,5341497191.000000,3797199281.000000,1544297910.000000,5341497191.000000,,211022917285.000000,18431894607.000000,,96563443091.000000,220174461438.000000,551534213612.000000,1757959418449.000000,,,678411239696.000000,96139590497.000000,,51966346035.000000,18150000000.000000,70116346035.000000,,92942249859.000000,9779942023.000000,588125650.000000,,17235880370.000000,1864729238.000000,3026374466.000000,22126984074.000000,386718001558.000000,678411239696.000000,72214416870.000000,,121521.000000,,50000000000.000000,287965835.000000,4170615616.000000,54458581451.000000,17755713898.000000,72214416870.000000,750625656566.000000,,554116500000.000000,190848431875.000000,263138984163.000000,17050995078.000000,246087989085.000000,263138984163.000000,251000000.000000,-1021154155.000000,1007333761883.000000,1757959418449.000000,5541165000.000000
12M 2013,,,535223671941.000000,247599968760.000000,35646946886.000000,211953021874.000000,247599968760.000000,9721361597.000000,,,,310387974085.000000,178798025098.000000,254104746830.000000,1535835748311.000000,,16559297910.000000,15015000000.000000,1544297910.000000,16559297910.000000,737199281.000000,224962802107.000000,18431894607.000000,782657.000000,118985882908.000000,185289061088.000000,564966920558.000000,2100802668869.000000,,,981898069121.000000,211369750978.000000,,81888910901.000000,3061190286.000000,84950101187.000000,,181725724316.000000,10906730959.000000,2070576835.000000,,18781975752.000000,2863680920.000000,3579740824.000000,25225397496.000000,465649787350.000000,981898069121.000000,58616959848.000000,,,,25539815671.000000,4160098347.000000,976605897.000000,30676519915.000000,27940439933.000000,58616959848.000000,1040515028969.000000,,554116500000.000000,190848431875.000000,316092862180.000000,19425563869.000000,296667298311.000000,316092862180.000000,251000000.000000,-1021154155.000000,1060287639900.000000,2100802668869.000000,5541165000.000000
12M 2014,,,281001976346.000000,323109117921.000000,36009130915.000000,287099987006.000000,323109117921.000000,8285117840.000000,,,,452496657295.000000,202335250196.000000,178761671957.000000,1445989791555.000000,,15115000000.000000,15115000000.000000,,15115000000.000000,3237199281.000000,226411855743.000000,28431894607.000000,1927930.000000,112744080289.000000,213362988527.000000,599304946377.000000,2045294737932.000000,,,874264151230.000000,142048907492.000000,,113418077418.000000,2324401465.000000,115742478883.000000,,131800785243.000000,22236648040.000000,608902147.000000,,24540417312.000000,4592214094.000000,971027544.000000,30103658950.000000,431722770475.000000,874264151230.000000,66091027949.000000,,,,20978135455.000000,4976015060.000000,5179455.000000,25959329970.000000,40131697979.000000,66091027949.000000,940355179179.000000,,554116500000.000000,190848431875.000000,360247442685.000000,22730855620.000000,337516587065.000000,360247442685.000000,751000000.000000,-1023815807.000000,1104939558753.000000,2045294737932.000000,5541165000.000000
12M 2015,,,187239084468.000000,346479549449.000000,28136235866.000000,318343313583.000000,346479549449.000000,590914831635.000000,,,,8619684422.000000,142255137071.000000,150800632695.000000,1426308919740.000000,,6212158160.000000,6212158160.000000,,6212158160.000000,3237199281.000000,224863972794.000000,28431894607.000000,,165187243575.000000,240224238924.000000,668156707341.000000,2094465627081.000000,,,911756253397.000000,144802279660.000000,,150302502231.000000,10456176713.000000,160758678944.000000,,131404396443.000000,28541942380.000000,4635567645.000000,,19480872872.000000,8527709846.000000,9605359993.000000,37613942711.000000,403999445614.000000,911756253397.000000,98711658915.000000,,55096.000000,,10538333231.000000,12078968408.000000,17770159594.000000,40387461233.000000,58324142586.000000,98711658915.000000,1010467912312.000000,,554116500000.000000,190848431875.000000,339310902858.000000,25784117625.000000,313526785233.000000,339310902858.000000,751000000.000000,-1029119964.000000,1083997714769.000000,2094465627081.000000,5541165000.000000
12M 2016,,,135384521017.000000,219394791501.000000,,219394791501.000000,219394791501.000000,330015632145.000000,,,,27817754600.000000,,101494789202.000000,814107488465.000000,,9298329600.000000,9298329600.000000,,9298329600.000000,737199281.000000,330655082285.000000,35924847591.000000,7829983.000000,129732765644.000000,234559077188.000000,740915131572.000000,1555022620037.000000,,,681236918009.000000,99186311729.000000,,129926693704.000000,13633466623.000000,143560160327.000000,,14688595900.000000,48155630907.000000,4870659859.000000,,10538333231.000000,7789830237.000000,11868003652.000000,30196167120.000000,340579392167.000000,681236918009.000000,115081212456.000000,,,,,6801499195.000000,10822071220.000000,17623570415.000000,97457642041.000000,115081212456.000000,796318130465.000000,,554116500000.000000,251409834119.000000,-46299862461.000000,26018141827.000000,-72318004288.000000,-46299862461.000000,501000000.000000,-1022982086.000000,758704489572.000000,1555022620037.000000,5541165000.000000
12M 2017,,,174171714491.000000,231272429637.000000,,231272429637.000000,231272429637.000000,427218659218.000000,,,,35525697773.000000,24238084049.000000,77186954038.000000,969613539206.000000,,8721413635.000000,8721413635.000000,,8721413635.000000,129727314.000000,344023778853.000000,35014952571.000000,9741509.000000,190089084619.000000,273196566617.000000,851185265118.000000,1820798804324.000000,,,898961831225.000000,146299269932.000000,,264257215977.000000,,264257215977.000000,28265388042.000000,113931836328.000000,51310691723.000000,45085093110.000000,,,15531139350.000000,10634321943.000000,26165461293.000000,223646874820.000000,898961831225.000000,135439295465.000000,,,,,40487199229.000000,187749271.000000,40674948500.000000,94764346965.000000,135439295465.000000,1034401126690.000000,,554116500000.000000,254198352119.000000,-28047859582.000000,26018141827.000000,-54066001409.000000,-28047859582.000000,476706881.000000,5653978216.000000,786397677634.000000,1820798804324.000000,5541165000.000000
