Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.32,156.10,0.32,156.10,161 B,45 B,206 B,(93 B),524 B
12M 2009,0.53,165.39,0.53,165.39,210 B,33 B,243 B,(110 B),558 B
12M 2010,0.83,175.05,0.83,175.05,269 B,4 B,274 B,(389 B),514 B
12M 2011,0.51,173.18,0.51,173.18,93 B,55 B,149 B,(143 B),595 B
12M 2012,0.79,181.75,0.79,181.75,118 B,54 B,173 B,(156 B),528 B
12M 2013,0.78,191.30,0.78,191.30,237 B,31 B,267 B,(268 B),554 B
12M 2014,0.90,199.27,0.90,199.27,172 B,26 B,198 B,(83 B),572 B
12M 2015,0.43,195.49,0.43,195.49,182 B,40 B,223 B,36 B,515 B
12M 2016,0.40,136.83,0.40,136.83,129 B,18 B,147 B,12 B,133 B
12M 2017,0.41,141.83,0.41,141.83,172 B,41 B,213 B,39 B,71 B
12M 2018,0.42,119.81,0.42,119.81,173 B,43 B,216 B,59 B,158 B
12M 2019,0.41,121.04,0.41,121.04,65 B,32 B,97 B,(32 B),238 B
12M 2020,0.43,116.51,0.43,116.51,36 B,20 B,57 B,(41 B),168 B
12M 2021,1.68,117.41,1.68,117.41,10 B,11 B,20 B,(96 B),170 B
12M 2022,1.19,110.97,1.19,110.97,10 B,1 B,11 B,(32 B),93 B
12M 2023,0.84,113.91,0.84,113.91,47 B,,47 B,21 B,145 B
12M 2024,0.65,123.12,0.65,123.12,113 B,,113 B,5 B,139 B
