Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,141844354783.000000,-128827776877.000000,13016577906.000000,-5902286832.000000,7114291074.000000,60834719.000000,,163939387.000000,-141488138.000000,38383470.000000,60834719.000000,7175125793.000000,-1733902285.000000,-1733902285.000000,,-1733902285.000000,5441223508.000000,,5441223508.000000,-1911856.000000,5439311652.000000,5441223508.000000,5441223508.000000,,5441223508.000000,5439311652.000000,5439311652.000000,,5439311652.000000
12M 2021,128448601376.000000,-104799957624.000000,23648643752.000000,-6248885462.000000,17399758290.000000,-107225077.000000,-31459069.000000,457997227.000000,-654328532.000000,120565297.000000,-107225077.000000,17292533213.000000,-3844694792.000000,-3844694792.000000,,-3844694792.000000,13447838421.000000,,13447838421.000000,-6387741.000000,13441450680.000000,13447838421.000000,13447838421.000000,,13447838421.000000,13441450680.000000,13441450680.000000,,13441450680.000000
12M 2022,64883327124.000000,-49189304674.000000,15694022450.000000,-6239835678.000000,9454186772.000000,-1071099086.000000,-9320598.000000,40035313.000000,-603770060.000000,-498043741.000000,-1071099086.000000,8383087686.000000,-2092100135.000000,-2092100135.000000,,-2092100135.000000,6290987551.000000,,6290987551.000000,-7092682.000000,6283894869.000000,6290987551.000000,6290987551.000000,,6290987551.000000,6283894869.000000,6283894869.000000,,6283894869.000000
12M 2023,42877712935.000000,-31849756062.000000,11027956873.000000,-7917725744.000000,3110231129.000000,-424257675.000000,-4227203.000000,57162605.000000,-506676181.000000,29483104.000000,-424257675.000000,2685973454.000000,-872365221.000000,,,-872365221.000000,1813608233.000000,,1813608233.000000,6583229434.000000,8396837667.000000,1813608233.000000,1813608233.000000,,1813608233.000000,8396837667.000000,8396837667.000000,,8396837667.000000
12M 2024,84913637786.000000,-69776319288.000000,15137318498.000000,-10017204557.000000,5120113941.000000,270249080.000000,-3875224.000000,161600455.000000,-53192647.000000,165716496.000000,270249080.000000,5390363021.000000,-1613756638.000000,,,-1613756638.000000,3776606383.000000,,3776606383.000000,-13548716.000000,3763057667.000000,3776606383.000000,3776606383.000000,,3776606383.000000,3763057667.000000,3763057667.000000,,3763057667.000000
