Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,1.06,1.06,0.36,6.09,0.0,0.0,-1.1,0.06,5.09
12M 2021,2.57,2.57,0.17,1.45,0.0,0.0,-0.38,0.12,0.45
12M 2022,2.19,2.19,0.09,1.44,0.0,0.0,-0.22,0.04,0.44
12M 2023,5.35,5.35,0.01,1.11,0.0,0.0,-0.15,0.01,0.11
12M 2024,13.44,13.44,0.02,1.04,0.0,0.0,-0.07,0.02,0.04
