Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Subkontraktor Dan Aktivitas Operasional Lainnya",Pembayaran Kepada Karyawan,Pembayaran Beban Lain-Lain,Penerimaan Penghasilan Bunga,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Atas Surat Ketetapan Tagihan Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Investasi Pada Perusahaan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Dari Penerbitan Saham,Penerbitan Waran,Penerimaan Dari Setoran Modal,Pembayaran Utang Bank,Pembayaran Biasa Emisi Efek,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Lain,Pembayaran Liabilitas Sewa,Penerimaan (Penempatan) Bank Yang Dibatasi Penggunaannya,Penerimaan Dari Utang Bank,Pembayaran Biaya Transaksi Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,19906756634.000000,95142806851.000000,-69716795817.000000,-2632529051.000000,-1186139535.000000,163939387.000000,-1766395814.000000,-93206345.000000,-4923042.000000,19906756634.000000,-8982252190.000000,-8982252190.000000,,,,,-8982252190.000000,3959365306.000000,,,,-83333333.000000,,-480657757.000000,,-230000004.000000,-119000000.000000,5000000000.000000,-127643600.000000,3959365306.000000,14883869750.000000,1498881376.000000,16382751126.000000
12M 2021,-738578227.000000,171091762023.000000,-163078813324.000000,-2787627081.000000,-2139291682.000000,457997227.000000,-3694387638.000000,-587971532.000000,-246220.000000,-738578227.000000,-2645947002.000000,-2395947002.000000,,,,-250000000.000000,-2645947002.000000,-1711105608.000000,,,,-1000000000.000000,,-481105604.000000,,-230000004.000000,,,,-1711105608.000000,-5095630837.000000,16382751126.000000,11287120289.000000
12M 2022,2585298645.000000,55607746221.000000,-45254731506.000000,-3087712291.000000,-2261087022.000000,40035313.000000,-1444877982.000000,-527202325.000000,-486871763.000000,2585298645.000000,-4674392137.000000,-4674392137.000000,,,,,-4674392137.000000,-1910514228.000000,,,,-1000000000.000000,,-680514224.000000,,-230000004.000000,,,,-1910514228.000000,-3999607720.000000,11287120289.000000,7287512569.000000
12M 2023,326112940.000000,48410034761.000000,-41827193401.000000,-4209988631.000000,,57162605.000000,-1606537073.000000,-497365321.000000,,326112940.000000,-1629922922.000000,-1191418182.000000,,,-438504740.000000,,-1629922922.000000,1406509415.000000,,,6496000000.000000,,-1398947500.000000,-520376415.000000,-200000000.000000,-172500003.000000,119000000.000000,,-2916666667.000000,1406509415.000000,102699433.000000,7287512569.000000,7390212002.000000
12M 2024,-54523707803.000000,73197449008.000000,-121344427726.000000,-4879851816.000000,,161600455.000000,-1618484270.000000,-39993454.000000,,-54523707803.000000,-58074716290.000000,-21545637088.000000,-25267084143.000000,2250000000.000000,-13511995059.000000,,-58074716290.000000,116452008461.000000,120000000000.000000,14839800.000000,,,-3125737870.000000,-437093469.000000,,,,,,116452008461.000000,3853584368.000000,7390212002.000000,11243796370.000000
