Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,16382751126.000000,53911979782.000000,53911979782.000000,,53911979782.000000,12500000.000000,12500000.000000,12500000.000000,678578943.000000,70985809851.000000,,,12362142617.000000,112700758.000000,1705341609.000000,119000000.000000,14299184984.000000,85284994835.000000,,,67278118991.000000,,19674856948.000000,150579000.000000,19825435948.000000,,,,,831581360.000000,45301523851.000000,,196118104.000000,956885098.000000,166574630.000000,1319577832.000000,,67278118991.000000,3992367083.000000,,110553139.000000,3834086851.000000,,3944639990.000000,47727093.000000,3992367083.000000,71270486074.000000,,10500000000.000000,,3516420617.000000,,3516420617.000000,3516420617.000000,,-1911856.000000,14014508761.000000,85284994835.000000,10500.000000
12M 2021,,,11287120289.000000,11268819135.000000,11268819135.000000,,11268819135.000000,,,,270433561.000000,22826372985.000000,,218540931.000000,14868732097.000000,19939394.000000,1715143424.000000,119000000.000000,16941355846.000000,39767728831.000000,,,8895821729.000000,,5053977153.000000,124564000.000000,5178541153.000000,,,,,864910671.000000,1004307641.000000,,680528139.000000,965178722.000000,202355403.000000,1848062264.000000,,8895821729.000000,3415947661.000000,,284987500.000000,2868817450.000000,165560143.000000,3319365093.000000,96582568.000000,3415947661.000000,12311769390.000000,,10500000000.000000,,16964259038.000000,,16964259038.000000,16964259038.000000,,-8299597.000000,27455959441.000000,39767728831.000000,10500.000000
12M 2022,,,7287512569.000000,20544400038.000000,20544400038.000000,,20544400038.000000,,,,267846829.000000,28099759436.000000,,209220333.000000,18458980198.000000,4416667.000000,1726651191.000000,119000000.000000,20518268389.000000,48618027825.000000,,,12841452899.000000,,7083219469.000000,419657100.000000,7502876569.000000,,,200000000.000000,200000000.000000,2833796986.000000,880310166.000000,,285001415.000000,973907620.000000,165560143.000000,1424469178.000000,,12841452899.000000,2036720616.000000,,,1894909834.000000,,1894909834.000000,141810782.000000,2036720616.000000,14878173515.000000,,10500000000.000000,,23255246589.000000,,23255246589.000000,23255246589.000000,,-15392279.000000,33739854310.000000,48618027825.000000,10500.000000
12M 2023,,,7390212002.000000,15012078212.000000,15012078212.000000,,15012078212.000000,,,,4111040511.000000,26513330725.000000,,204993130.000000,25422514287.000000,333898385.000000,1747333076.000000,,27708738878.000000,54222069603.000000,,,4958563584.000000,,2050745957.000000,158437132.000000,2209183089.000000,,,,,187939903.000000,2247607259.000000,,313833333.000000,,,313833333.000000,,4958563584.000000,630814042.000000,,392291667.000000,,,392291667.000000,238522375.000000,630814042.000000,5589377626.000000,,39996000000.000000,,2068854822.000000,100000000.000000,1968854822.000000,2068854822.000000,,6567837155.000000,48632691977.000000,54222069603.000000,4999500000.000000
12M 2024,,,11243796370.000000,26728266990.000000,26728266990.000000,,26728266990.000000,,,,30660554330.000000,68632617690.000000,,201117906.000000,45707896505.000000,12909600592.000000,1791092944.000000,45586276904.000000,106195984851.000000,174828602541.000000,,,5106681377.000000,,2880532972.000000,,2880532972.000000,,,,,242916919.000000,170554306.000000,,1792954959.000000,,,1792954959.000000,19722221.000000,5106681377.000000,1836017090.000000,,1434319822.000000,,,1434319822.000000,401697268.000000,1836017090.000000,6942698467.000000,,49596395728.000000,105889758702.000000,5845461205.000000,100000000.000000,5745461205.000000,5845461205.000000,,6554288439.000000,167885904074.000000,174828602541.000000,6199500000.000000
