Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,0.00,4056.94,0.00,4017.79,114 B,,114 B,(257 B),700 B
12M 2008,0.00,4811.96,-0.00,-807.78,295 B,63 B,358 B,(145 B),"(2,829 B)"
12M 2009,0.00,2742.25,-0.00,-5766.38,"1,383 B",42 B,"1,424 B",728 B,"(3,578 B)"
12M 2010,3.06,1529.69,5.28,885.59,512 B,15 B,526 B,"(2,881 B)","4,317 B"
12M 2011,2.97,1752.17,4.60,1130.93,635 B,146 B,780 B,"(3,640 B)","5,592 B"
12M 2012,3.98,1957.59,5.74,1359.19,622 B,641 B,"1,263 B","(4,221 B)","6,309 B"
12M 2013,4.73,2158.61,6.44,1583.07,"1,137 B","1,383 B","2,520 B","(3,006 B)","6,625 B"
12M 2014,5.43,2414.31,7.72,1696.50,"1,816 B","1,590 B","3,406 B","(3,937 B)","7,373 B"
12M 2015,5.08,2650.49,6.89,1955.53,"1,437 B","1,432 B","2,869 B","(4,788 B)","7,959 B"
12M 2016,5.69,1506.10,7.24,1184.19,"1,168 B",877 B,"2,045 B","(6,327 B)","9,102 B"
12M 2017,5.31,1677.57,6.36,1398.53,"1,400 B",957 B,"2,357 B","(6,440 B)","9,752 B"
12M 2018,5.64,1853.81,6.88,1518.31,"1,393 B",667 B,"2,061 B","(2,666 B)","6,886 B"
12M 2019,5.14,2169.53,6.04,1844.80,654 B,"1,695 B","2,349 B","(6,010 B)","10,069 B"
12M 2020,3.79,2523.63,-4.22,-2266.77,725 B,"30,773 B","31,498 B","21,963 B","11,540 B"
12M 2021,2.99,2905.35,-4.64,-1873.62,838 B,"40,731 B","41,568 B","21,190 B","15,102 B"
12M 2022,3.19,3131.44,-6.11,-1636.11,"1,312 B","44,516 B","45,829 B","30,088 B","21,036 B"
12M 2023,3.03,3494.30,-8.39,-1260.69,568 B,"43,184 B","43,753 B","24,399 B","26,309 B"
12M 2024,2.93,3877.36,-13.13,-866.21,537 B,"44,874 B","45,411 B","20,119 B","33,743 B"
