Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Produksi Dan Usaha,Pembayaran Kepada Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Pajak - Neto,Pembayaran Beban Bunga,Penerimaan Lainnya - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Aset Keuangan Tersedia Untuk Dijual,Uang Muka Untuk Pembelian Aset Tetap,Penambahan Investasi Jangka Pendek,Penambahan Investasi Jangka Panjang,Kas Dan Bank Dari Entitas Anak Yang Didekonsilidasi,Penambahan Investasi Pada Entitas Asosiasi,Akuisisi Entitas Anak Baru,Akuisisi Entitas Anak Anak Dari Kepentingan Non Pengendali,Penyertaan Di Entitas Asosiasi Dan Ventura Bersama,Uang Muka Untuk Pembelian Aset Tetap Penyertaan Di Entitas Asosiasi Dan Ventura Bersama,Pembayaran Investasi Pada Entitas Tahap Iii,Penerimaan Dari Penjualan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Panjang,Penerimaan Dari Utang Bank Jangka Pendek,Penerimaan Dari Utang Jangka Panjang Lainnya,Kontribusi Modal Dari Kepentingan Non-Pengendali,Penerimaan Uang Muka Setoran Modal Dari Kepentingan Nonpengendali,Penerimaan (Pengembalian) Uang Muka Dari Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang Lainnya,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Kepentingan Nonpengendali,Penerimaan Dari Penawaran Umum Perdana Saham - Neto Setelah Dikurang Biaya Penertiban,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Pembayaran Dividen Kas Oleh Anak Perusahaan Kepada Pemegang Saham Minoritas,Pembayaran Dividen Kas Kepada Pemegang Saham Minoritas,Penerimaan (Pengembalian) Modal Bersih Dari (Kepada) Ism,Pembayaran Liabilitas Jangka Pendek Lainnya,Penerimaan Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Transaksi Restrukturisasi,Kas Dan Setara Kas Akhir Periode
12M 2007,326320000000.000000,9268939000000.000000,-7131166000000.000000,-953793000000.000000,-849371000000.000000,10626000000.000000,-156018000000.000000,-19251000000.000000,156354000000.000000,326320000000.000000,-275647000000.000000,4151000000.000000,-300809000000.000000,,,,,,,,,,,,,21011000000.000000,-275647000000.000000,-11534000000.000000,,156159000000.000000,,,,-60336000000.000000,-90457000000.000000,-6667000000.000000,,,,,,,,,,,-10233000000.000000,,,-11534000000.000000,39139000000.000000,39139000000.000000,331855000000.000000,,370994000000.000000
12M 2008,373344000000.000000,11925472000000.000000,-9166488000000.000000,-1270583000000.000000,-910126000000.000000,12594000000.000000,-184304000000.000000,-23191000000.000000,-10030000000.000000,373344000000.000000,-305714000000.000000,1829000000.000000,-307543000000.000000,,,,,,,,,,,,,,-305714000000.000000,52827000000.000000,,72821000000.000000,,,,47089000000.000000,-71685000000.000000,,,,,,,,,,,-1640000000.000000,6242000000.000000,,,52827000000.000000,120457000000.000000,120457000000.000000,370994000000.000000,11542000000.000000,502993000000.000000
12M 2009,1670202000000.000000,16464605000000.000000,-11542067000000.000000,-1602383000000.000000,-1123760000000.000000,20750000000.000000,-574344000000.000000,-68907000000.000000,96308000000.000000,1670202000000.000000,-307630000000.000000,22419000000.000000,-330049000000.000000,,,,,,,,,,,,,,-307630000000.000000,-1169733000000.000000,98447000000.000000,122801000000.000000,,,,-123363000000.000000,-195180000000.000000,-134549000000.000000,,,,,,,,,,-27700000000.000000,-910189000000.000000,,,-1169733000000.000000,192839000000.000000,192839000000.000000,502993000000.000000,,695832000000.000000
12M 2010,2247903000000.000000,17453973000000.000000,-11671069000000.000000,-1784754000000.000000,-1242048000000.000000,57592000000.000000,-91369000000.000000,-509750000000.000000,35328000000.000000,2247903000000.000000,-644937000000.000000,5642000000.000000,-352569000000.000000,,,,,,,,,,,,-298010000000.000000,,-644937000000.000000,1108889000000.000000,,149015000000.000000,,,,,-1083203000000.000000,-36379000000.000000,,-4020000000.000000,,-144355000000.000000,,6086340000000.000000,298010000000.000000,-4117254000000.000000,-39265000000.000000,,,,,1108889000000.000000,,2711855000000.000000,695832000000.000000,,3407687000000.000000
12M 2011,2174427000000.000000,19060925000000.000000,-11996292000000.000000,-2895559000000.000000,-1301679000000.000000,183453000000.000000,-819597000000.000000,-42038000000.000000,-14786000000.000000,2174427000000.000000,-547827000000.000000,3980000000.000000,-476807000000.000000,,,,,,,-75000000000.000000,,,,,,,-547827000000.000000,-548384000000.000000,111320000000.000000,85000000000.000000,,,,,-5000000000.000000,-13458000000.000000,,-9789000000.000000,,-676391000000.000000,-40066000000.000000,,,,,,,,,-548384000000.000000,2252000000.000000,1080468000000.000000,3297325000000.000000,,4377793000000.000000
12M 2012,3041616000000.000000,21680531000000.000000,-12995336000000.000000,-3361251000000.000000,-1573084000000.000000,231842000000.000000,-1006668000000.000000,-50504000000.000000,116086000000.000000,3041616000000.000000,-1492041000000.000000,3599000000.000000,-1355347000000.000000,,,-76593000000.000000,,,,-63700000000.000000,,,,,,,-1492041000000.000000,-592602000000.000000,524000000000.000000,145000000000.000000,,7350000000.000000,,,-245000000000.000000,,,-6385000000.000000,,-985431000000.000000,-32136000000.000000,,,,,,,,,-592602000000.000000,24156000000.000000,981129000000.000000,4377793000000.000000,,5358922000000.000000
12M 2013,1993496000000.000000,24974807000000.000000,-15713047000000.000000,-4309442000000.000000,-2157011000000.000000,284312000000.000000,-916276000000.000000,-102733000000.000000,-67114000000.000000,1993496000000.000000,-2378918000000.000000,9869000000.000000,-1089384000000.000000,,,-854325000000.000000,,,,-441019000000.000000,-4059000000.000000,,,,,,-2378918000000.000000,207792000000.000000,860527000000.000000,175000000000.000000,,117017000000.000000,213150000000.000000,,-40000000000.000000,,,-1422000000.000000,,-1084557000000.000000,-31923000000.000000,,,,,,,,,207792000000.000000,194543000000.000000,16913000000.000000,5361775000000.000000,,5378688000000.000000
12M 2014,3860843000000.000000,29878939000000.000000,-16006379000000.000000,-6584837000000.000000,-2544459000000.000000,398117000000.000000,-1008722000000.000000,-212539000000.000000,-59277000000.000000,3860843000000.000000,-1749908000000.000000,11172000000.000000,-1057364000000.000000,-367756000000.000000,,-117760000000.000000,,,,-88200000000.000000,-130000000000.000000,,,,,,-1749908000000.000000,-286458000000.000000,555768000000.000000,462500000000.000000,,167148000000.000000,,,-185000000000.000000,-147279000000.000000,,-11185000000.000000,,-1107882000000.000000,-20528000000.000000,,,,,,,,,-286458000000.000000,22637000000.000000,1847114000000.000000,5378688000000.000000,,7225802000000.000000
12M 2015,3485533000000.000000,31344307000000.000000,-17963327000000.000000,-5983687000000.000000,-2963777000000.000000,530714000000.000000,-1189923000000.000000,-253872000000.000000,-34902000000.000000,3485533000000.000000,-2047434000000.000000,3810000000.000000,-1007695000000.000000,,,-391922000000.000000,-32569000000.000000,,,-560974000000.000000,-58084000000.000000,,,,,,-2047434000000.000000,-1264853000000.000000,320000000000.000000,607000000000.000000,,97973000000.000000,,,-689500000000.000000,-267407000000.000000,,-12461000000.000000,,-1294472000000.000000,-25986000000.000000,,,,,,,,,-1264853000000.000000,144427000000.000000,317673000000.000000,7225802000000.000000,,7543475000000.000000
12M 2016,4584964000000.000000,34096275000000.000000,-18847795000000.000000,-6268752000000.000000,-3156893000000.000000,503558000000.000000,-1530642000000.000000,-176844000000.000000,-33943000000.000000,4584964000000.000000,-1560132000000.000000,32891000000.000000,-905409000000.000000,,,-159234000000.000000,-559340000000.000000,,,30960000000.000000,,,,,,,-1560132000000.000000,-2159227000000.000000,50000000000.000000,307500000000.000000,,23107000000.000000,83300000000.000000,,-537500000000.000000,-528352000000.000000,,-12890000000.000000,,-1492724000000.000000,-51668000000.000000,,,,,,,,,-2159227000000.000000,-37100000000.000000,828505000000.000000,7543475000000.000000,,8371980000000.000000
