Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,9484735000000.000000,-7957501000000.000000,1527234000000.000000,-1425232000000.000000,-1045031000000.000000,-380201000000.000000,,-1425232000000.000000,102002000000.000000,21815000000.000000,10626000000.000000,-19251000000.000000,,7155000000.000000,23285000000.000000,21815000000.000000,123817000000.000000,-54918000000.000000,-96088000000.000000,41170000000.000000,-54918000000.000000,68899000000.000000,-13033000000.000000,,55866000000.000000,,,,,55866000000.000000,55866000000.000000,,55866000000.000000,,,,
12M 2008,12042862000000.000000,-9929495000000.000000,2113367000000.000000,-1597906000000.000000,-1201761000000.000000,-396145000000.000000,,-1597906000000.000000,515461000000.000000,13980000000.000000,12594000000.000000,-24022000000.000000,,5667000000.000000,19741000000.000000,13980000000.000000,529441000000.000000,-174186000000.000000,-201496000000.000000,27310000000.000000,-174186000000.000000,355255000000.000000,-15916000000.000000,,339339000000.000000,,,,,339339000000.000000,339339000000.000000,,339339000000.000000,,,,
12M 2009,16332607000000.000000,-12419763000000.000000,3912844000000.000000,-2112933000000.000000,-1575045000000.000000,-537888000000.000000,,-2112933000000.000000,1799911000000.000000,-197323000000.000000,20750000000.000000,-77425000000.000000,,36544000000.000000,-177192000000.000000,-197323000000.000000,1602588000000.000000,-430279000000.000000,-521582000000.000000,91303000000.000000,-430279000000.000000,1172309000000.000000,-94090000000.000000,,1078219000000.000000,,,,,1078219000000.000000,1078219000000.000000,,1078219000000.000000,,,,
12M 2010,17960120000000.000000,-12993217000000.000000,4966903000000.000000,-2322011000000.000000,-1793743000000.000000,-528268000000.000000,,-2322011000000.000000,2644892000000.000000,-125750000000.000000,57592000000.000000,-83541000000.000000,,31842000000.000000,-131643000000.000000,-125750000000.000000,2519142000000.000000,-666913000000.000000,-734012000000.000000,67099000000.000000,-666913000000.000000,1852229000000.000000,-123862000000.000000,-24320000000.000000,1704047000000.000000,,,,,1704047000000.000000,1704047000000.000000,,1704047000000.000000,,,,
12M 2011,19367155000000.000000,-14335896000000.000000,5031259000000.000000,-2422511000000.000000,-1798508000000.000000,-592140000000.000000,-31863000000.000000,-2422511000000.000000,2608748000000.000000,136162000000.000000,183453000000.000000,-46544000000.000000,-747000000.000000,,,136162000000.000000,2744910000000.000000,-678545000000.000000,-736287000000.000000,57742000000.000000,-678545000000.000000,2066365000000.000000,,,2066365000000.000000,-2316000000.000000,-2316000000.000000,-2316000000.000000,2064049000000.000000,2066365000000.000000,1975345000000.000000,91020000000.000000,2066365000000.000000,2064049000000.000000,1973683000000.000000,90366000000.000000,2064049000000.000000
12M 2012,21574792000000.000000,-15796183000000.000000,5778609000000.000000,-2936549000000.000000,-2073497000000.000000,-867432000000.000000,4380000000.000000,-2936549000000.000000,2842060000000.000000,185130000000.000000,234211000000.000000,-53675000000.000000,4594000000.000000,,,185130000000.000000,3027190000000.000000,-744819000000.000000,,,-744819000000.000000,2282371000000.000000,,,2282371000000.000000,4871000000.000000,4871000000.000000,4871000000.000000,2287242000000.000000,2282371000000.000000,2179592000000.000000,102779000000.000000,2282371000000.000000,2287242000000.000000,2183205000000.000000,104037000000.000000,2287242000000.000000
12M 2013,25094681000000.000000,-18668990000000.000000,6425691000000.000000,-3653767000000.000000,-2551509000000.000000,-1139810000000.000000,37552000000.000000,-3653767000000.000000,2771924000000.000000,195066000000.000000,371573000000.000000,-165225000000.000000,-11282000000.000000,,,195066000000.000000,2966990000000.000000,-733699000000.000000,,,-733699000000.000000,2233291000000.000000,,1749000000.000000,2235040000000.000000,51599000000.000000,51599000000.000000,51599000000.000000,2286639000000.000000,2235040000000.000000,2225272000000.000000,9768000000.000000,2235040000000.000000,2286639000000.000000,2260929000000.000000,25710000000.000000,2286639000000.000000
12M 2014,30022463000000.000000,-21962609000000.000000,8059854000000.000000,-4931161000000.000000,-3658363000000.000000,-1338555000000.000000,65757000000.000000,-4931161000000.000000,3128693000000.000000,260032000000.000000,481766000000.000000,-221040000000.000000,-694000000.000000,,,260032000000.000000,3388725000000.000000,-857044000000.000000,,,-857044000000.000000,2531681000000.000000,,,2531681000000.000000,-9353000000.000000,-9353000000.000000,-9353000000.000000,2522328000000.000000,2531681000000.000000,2604239000000.000000,-72558000000.000000,2531681000000.000000,2522328000000.000000,2598808000000.000000,-76480000000.000000,2522328000000.000000
12M 2015,31741094000000.000000,-22121957000000.000000,9619137000000.000000,-5627005000000.000000,-4172116000000.000000,-1539230000000.000000,84341000000.000000,-5627005000000.000000,3992132000000.000000,17502000000.000000,425580000000.000000,-314025000000.000000,-94053000000.000000,,,17502000000.000000,4009634000000.000000,-1086486000000.000000,,,-1086486000000.000000,2923148000000.000000,,,2923148000000.000000,101947000000.000000,101947000000.000000,101947000000.000000,3025095000000.000000,2923148000000.000000,3000713000000.000000,-77565000000.000000,2923148000000.000000,3025095000000.000000,3093809000000.000000,-68714000000.000000,3025095000000.000000
12M 2016,34466069000000.000000,-23606755000000.000000,10859314000000.000000,-5995146000000.000000,-4269595000000.000000,-1653564000000.000000,-71987000000.000000,-5995146000000.000000,4864168000000.000000,125086000000.000000,503559000000.000000,-178970000000.000000,-99238000000.000000,,-100265000000.000000,125086000000.000000,4989254000000.000000,-1357953000000.000000,,,-1357953000000.000000,3631301000000.000000,,,3631301000000.000000,3915000000.000000,3915000000.000000,3915000000.000000,3635216000000.000000,3631301000000.000000,3600351000000.000000,30950000000.000000,3631301000000.000000,3635216000000.000000,3601819000000.000000,33397000000.000000,3635216000000.000000
