Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Investasi Jangka Pendek,Tagihan Bruto Kepada Pemberi Kerja,Pihak Ketiga,Pihak Berelasi,Total Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,65667068698.000000,33600806609.000000,29813979310.000000,3786827299.000000,33600806609.000000,83051873024.000000,188939099263.000000,178315136524.000000,10623962739.000000,188939099263.000000,504281390178.000000,196262519913.000000,1071802757685.000000,,145802084911.000000,23313857552.000000,122488227359.000000,145802084911.000000,994806895.000000,165755457277.000000,294583035.000000,1461106522.000000,314308038640.000000,1386110796325.000000,,,127537760749.000000,,50250270605.000000,19124918529.000000,69375189134.000000,,818567313.000000,4408044037.000000,5226611350.000000,28672300821.000000,7674982321.000000,,1142217806.000000,,1925534447.000000,,3067752253.000000,13520924870.000000,127537760749.000000,588322310669.000000,,575602336025.000000,110000000.000000,,,5486174720.000000,581198510745.000000,7123799924.000000,588322310669.000000,715860071418.000000,,200000000000.000000,33715457773.000000,434341947900.000000,,,434341947900.000000,2306312921.000000,-112993687.000000,670250724907.000000,1386110796325.000000,2000000000.000000
12M 2022,,,278196355133.000000,91356223473.000000,23029451615.000000,68326771858.000000,91356223473.000000,52967636.000000,163568707649.000000,155544967046.000000,8023740603.000000,163568707649.000000,598317891575.000000,18694997871.000000,1150187143337.000000,,151918866488.000000,22151013165.000000,129767853323.000000,151918866488.000000,1015663359.000000,300192229889.000000,14572173.000000,1686315301.000000,454827647210.000000,1605014790547.000000,,,143887637583.000000,,46001505916.000000,22059575038.000000,68061080954.000000,,321972890.000000,4169228.000000,326142118.000000,49617952998.000000,8014519571.000000,,1440768525.000000,,2458338220.000000,,3899106745.000000,13968835197.000000,143887637583.000000,596043182668.000000,,580901285262.000000,125000000.000000,,,6599391066.000000,587625676328.000000,8417506340.000000,596043182668.000000,739930820251.000000,,284126283800.000000,115971965098.000000,460395290671.000000,,,460395290671.000000,2324135449.000000,2266295278.000000,865083970296.000000,1605014790547.000000,2841262838.000000
12M 2023,,,412086791230.000000,37176330289.000000,32385935086.000000,4790395203.000000,37176330289.000000,118000000000.000000,266945764025.000000,258239895681.000000,8705868344.000000,266945764025.000000,733408191085.000000,18397729339.000000,1586014805968.000000,,154507329762.000000,20158468826.000000,134348860936.000000,154507329762.000000,996588690.000000,432907168975.000000,289743306.000000,364230508.000000,589065061241.000000,2175079867209.000000,,,567318977269.000000,,45085525828.000000,26079079044.000000,71164604872.000000,,459536072.000000,12411557.000000,471947629.000000,24082627938.000000,9812121180.000000,,564583721.000000,28500000000.000000,2285057116.000000,415000000000.000000,446349640837.000000,15438034813.000000,567318977269.000000,665231767380.000000,,167442859286.000000,,65104733651.000000,415000000000.000000,6247416287.000000,653795009224.000000,11436758156.000000,665231767380.000000,1232550744649.000000,,284126283800.000000,116134958433.000000,537909012046.000000,,,537909012046.000000,2162170670.000000,2196697611.000000,942529122560.000000,2175079867209.000000,2841262838.000000
12M 2024,,,99159080980.000000,73648921681.000000,56456845116.000000,17192076565.000000,73648921681.000000,,319791518994.000000,308481139642.000000,11310379352.000000,319791518994.000000,785111019869.000000,12376804201.000000,1290087345725.000000,,154833207609.000000,18327135623.000000,136506071986.000000,154833207609.000000,1311758580.000000,624220623104.000000,241481810.000000,360103636.000000,780967174739.000000,2071054520464.000000,,,265811940723.000000,,74959766545.000000,13451337342.000000,88411103887.000000,,,,,53152080675.000000,20766642467.000000,,235999998.000000,34396422705.000000,2137208265.000000,,36769630968.000000,66712482726.000000,265811940723.000000,776144990779.000000,,167725058036.000000,,92337820421.000000,499985605000.000000,4110206731.000000,764158690188.000000,11986300591.000000,776144990779.000000,1041956931502.000000,,284126283800.000000,116134958433.000000,622796141827.000000,,,622796141827.000000,2163565613.000000,3876639289.000000,1029097588962.000000,2071054520464.000000,2841262838.000000
