Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,110 B,(92 B),17 B,8.59
12M 2022,(55 B),(145 B),(200 B),-70.49
12M 2023,(81 B),(130 B),(211 B),-74.19
12M 2024,121 B,(3 B),118 B,41.64
