Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,448905913317.000000,-193874941286.000000,255030972031.000000,-66186379136.000000,-65924559223.000000,-261819913.000000,-66186379136.000000,188844592895.000000,-73933996618.000000,-48734658376.000000,-2357596351.000000,286631519.000000,-14674595062.000000,-8453778348.000000,-73933996618.000000,114910596277.000000,-179857106.000000,-179857106.000000,,-179857106.000000,114730739171.000000,161023528.000000,161023528.000000,161023528.000000,114891762699.000000,114730739171.000000,114693715999.000000,37023172.000000,114730739171.000000,114891762699.000000,114854711903.000000,37050796.000000,114891762699.000000
12M 2022,353133853101.000000,-162606165789.000000,190527687312.000000,-67562540081.000000,-67166876688.000000,-395663393.000000,-67562540081.000000,122965147231.000000,-55190430376.000000,-44127449697.000000,4984614924.000000,20856464.000000,-10512705824.000000,-5555746243.000000,-55190430376.000000,67774716855.000000,-197535114.000000,-197535114.000000,,-197535114.000000,67577181741.000000,2379556323.000000,2379556323.000000,2379556323.000000,69956738064.000000,67577181741.000000,67559626571.000000,17555170.000000,67577181741.000000,69956738064.000000,69938915536.000000,17822528.000000,69956738064.000000
12M 2023,390516818350.000000,-157518017541.000000,232998800809.000000,-78663910530.000000,-78114167994.000000,-549742536.000000,-78663910530.000000,154334890279.000000,-76471448254.000000,-51602117140.000000,-15702024700.000000,-19074669.000000,-11710661578.000000,2562429833.000000,-76471448254.000000,77863442025.000000,-348692641.000000,-348692641.000000,,-348692641.000000,77514749384.000000,-69597120.000000,-69597120.000000,-69597120.000000,77445152264.000000,77514749384.000000,77513721375.000000,1028009.000000,77514749384.000000,77445152264.000000,77445151717.000000,547.000000,77445152264.000000
12M 2024,556385363865.000000,-274180110681.000000,282205253184.000000,-93277717557.000000,-93277717557.000000,,-93277717557.000000,188927535627.000000,-104039012622.000000,-65221902844.000000,-18383122983.000000,315169874.000000,-16778543903.000000,-3970612766.000000,-104039012622.000000,84888523005.000000,,,,,84888523005.000000,1679943397.000000,1679943397.000000,1679943397.000000,86568466402.000000,84888523005.000000,84887129781.000000,1393224.000000,84888523005.000000,86568466402.000000,86568464683.000000,1719.000000,86568466402.000000
