Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Bunga Dan Beban Keuangan,Pendapatan Keuangan,Penerimaan (Pengeluaran) Lainnya Dari Aktivitas Operasi,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Aset Dalam Penyelesaian,Perolehan Aset Dalam Penyelesaian,Penambahan Piutang Lain-Lain,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Penambahan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Penerimaan Dari Penerbitan Saham Melalui Ipo,Penerimaan Pinjaman Lain-Lain,Pembayaran Pinjaman Lain-Lain,Pembayaran Utang Lain-Lain,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Pinjaman Lembaga Keuangan Non-Bank,Pembayaran Pinjaman Lembaga Keuangan Non-Bank,Penambahan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penerimaan Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,109560945995.000000,385843119734.000000,-184446141435.000000,-42910347648.000000,-39020873648.000000,15644024328.000000,,-25548835336.000000,109560945995.000000,-346042507946.000000,-92376871424.000000,,,,,-5613763498.000000,,,-165000000000.000000,,-83051873024.000000,,,-346042507946.000000,285301234094.000000,,583000000000.000000,,,,,,42033169300.000000,-336886069706.000000,,,,,-1643875795.000000,-1201989705.000000,,285301234094.000000,,48819672143.000000,-2357596351.000000,19204992906.000000,65667068698.000000
12M 2022,-54802996733.000000,347730514983.000000,-292125689246.000000,-40045179991.000000,-43949408134.000000,9308314121.000000,,-35721548466.000000,-54802996733.000000,145787515880.000000,-145469799440.000000,,2710000000.000000,,,-355984680.000000,-96700000.000000,41000000000.000000,-24600000000.000000,189600000000.000000,-253000000000.000000,336000000000.000000,,145787515880.000000,121418273573.000000,,,,124876507325.000000,,,,,,,,,,-2243720639.000000,-1214513113.000000,,121418273573.000000,,212402792720.000000,126493715.000000,65667068698.000000,278196355133.000000
12M 2023,-81180506526.000000,336242861212.000000,-348806928420.000000,-45036721069.000000,-2407788284.000000,11502675673.000000,89733110.000000,-32764338748.000000,-81180506526.000000,-249286778694.000000,-129603799408.000000,,77700000.000000,,,,,,-4760679286.000000,,-115000000000.000000,,,-249286778694.000000,464108823274.000000,,,,,415000000000.000000,,-509177500.000000,93604733651.000000,,-39432755931.000000,,,,-3113208421.000000,-1440768525.000000,,464108823274.000000,,133641538054.000000,248898043.000000,278196355133.000000,412086791230.000000
12M 2024,121268769089.000000,515224440743.000000,-318939930580.000000,-51817611498.000000,-675887656.000000,3663760885.000000,1364887000.000000,-27550889805.000000,121268769089.000000,-57043219500.000000,-2954858832.000000,,,,-172057330668.000000,,,,-31030000.000000,,,118000000000.000000,,-57043219500.000000,-377428245262.000000,,,-415000000000.000000,,138125960522.000000,-53140355522.000000,-4500000000.000000,164501649642.000000,-131372140167.000000,-71884655168.000000,,,,-2280104569.000000,-1878600000.000000,,-377428245262.000000,,-313202695673.000000,274985423.000000,412086791230.000000,99159080980.000000
