Period,Aset,Aset Lancar,Kas Dan Setara Kas,Portofolio Efek,Pihak Ketiga,Pihak Berelasi,Total Portofolio Efek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Lain-Lain,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Lain-Lain,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,13176061621.000000,,,,,45538208970.000000,43913827346.000000,1624381624.000000,45538208970.000000,1063962675.000000,,,1063962675.000000,74911746277.000000,11723644054.000000,146413623597.000000,,1027786899.000000,46569387240.000000,17507258344.000000,,446853567.000000,65551286050.000000,211964909647.000000,,,95905860523.000000,63497604455.000000,,20004792297.000000,3450549516.000000,23455341813.000000,1039490468.000000,,,1039490468.000000,4898282404.000000,2578873347.000000,,,401904462.000000,,,401904462.000000,,34363574.000000,95905860523.000000,4732724388.000000,,,663611488.000000,,,663611488.000000,133373804.000000,3935739096.000000,4732724388.000000,100638584911.000000,,35000000000.000000,,1535547596.000000,1000000000.000000,535547596.000000,1535547596.000000,19802551556.000000,54988225584.000000,111326324736.000000,211964909647.000000,35000.000000
12M 2011,,,7670934960.000000,,,,,36816936646.000000,36434628635.000000,382308011.000000,36816936646.000000,1973544771.000000,,,1973544771.000000,64905940203.000000,6102820834.000000,117470177414.000000,,89326351.000000,29912331578.000000,16494747171.000000,,1279165459.000000,47775570559.000000,165245747973.000000,,,76958097863.000000,56490946831.000000,,14244114905.000000,2294014747.000000,16538129652.000000,548999047.000000,,,548999047.000000,890932269.000000,1410705597.000000,,594444444.000000,140157953.000000,,,734602397.000000,,343782070.000000,76958097863.000000,3966323811.000000,,2350000000.000000,236174048.000000,,,2586174048.000000,199507095.000000,1180642668.000000,3966323811.000000,80924421674.000000,,70000000000.000000,,7746434442.000000,1000000000.000000,6746434442.000000,7746434442.000000,2432545781.000000,4142346076.000000,84321326299.000000,165245747973.000000,700000000.000000
12M 2012,,,56089462390.000000,,,,,93449995855.000000,90864195696.000000,2585800159.000000,93449995855.000000,638428248.000000,638428248.000000,,638428248.000000,110011958638.000000,26336917327.000000,286526762458.000000,,427243299.000000,71267277531.000000,5657249658.000000,,2369739014.000000,79721509502.000000,366248271960.000000,,,114554270248.000000,57517475405.000000,,29094556799.000000,5721362553.000000,34815919352.000000,,3423386185.000000,354467830.000000,3777854015.000000,10049317063.000000,3267306418.000000,,2783284973.000000,1539514756.000000,330794068.000000,,4653593797.000000,,472804198.000000,114554270248.000000,9137530563.000000,,5847831632.000000,1286390510.000000,413492487.000000,,7547714629.000000,336872937.000000,1252942997.000000,9137530563.000000,123691800811.000000,,100000000000.000000,54410000000.000000,29461966479.000000,1000000000.000000,28461966479.000000,29461966479.000000,53033144315.000000,5651360355.000000,242556471149.000000,366248271960.000000,1000000000.000000
12M 2013,,,62205793466.000000,,,,,105591453960.000000,103169285312.000000,2422168648.000000,105591453960.000000,3746508993.000000,3685642493.000000,60866500.000000,3746508993.000000,130879633541.000000,42403093564.000000,344826483524.000000,,596433742.000000,93497280508.000000,5494810391.000000,,4593813095.000000,104182337736.000000,449008821260.000000,,,149727675228.000000,68599752763.000000,,38028306161.000000,6221856842.000000,44250163003.000000,,5617748679.000000,175584705.000000,5793333384.000000,11552798326.000000,6348993008.000000,,7803907666.000000,1708248374.000000,416964613.000000,811787400.000000,10740908053.000000,,2441726691.000000,149727675228.000000,16974678141.000000,,12819588440.000000,635600265.000000,104241171.000000,1691223750.000000,15250653626.000000,389775688.000000,1334248827.000000,16974678141.000000,166702353369.000000,,100259800000.000000,60580960355.000000,52629916951.000000,1000000000.000000,51629916951.000000,52629916951.000000,68835790587.000000,,282306467893.000000,449008821262.000000,1002598000.000000
12M 2014,,,48493081818.000000,,,,,136017529682.000000,134041594829.000000,1975934853.000000,136017529682.000000,5927786472.000000,5865594972.000000,62191500.000000,5927786472.000000,167719631272.000000,29694566992.000000,387852596236.000000,,3542978854.000000,117375191424.000000,5331066123.000000,,9798809968.000000,136048046369.000000,523900642605.000000,,,193749649372.000000,104015820678.000000,,32595992659.000000,6939404444.000000,39535397103.000000,,10260802132.000000,7667515155.000000,17928317287.000000,7874105133.000000,7872148461.000000,,9320734793.000000,637591023.000000,106387740.000000,4522476590.000000,14587190146.000000,,1936670564.000000,193749649372.000000,20640577850.000000,,8347687864.000000,859891091.000000,,9593595721.000000,18801174676.000000,454364527.000000,1385038647.000000,20640577850.000000,214390227222.000000,,104376302500.000000,61324761684.000000,66388835166.000000,1000000000.000000,65388835166.000000,66388835166.000000,77149077417.000000,271438616.000000,309510415383.000000,523900642605.000000,1043763025.000000
12M 2015,,,65662441715.000000,,,,,131397352760.000000,127873007148.000000,3524345612.000000,131397352760.000000,4706183989.000000,4636908989.000000,69275000.000000,4706183989.000000,194554840234.000000,31956516216.000000,428277334914.000000,,7064997947.000000,121530925217.000000,5167321855.000000,,12305853142.000000,146069098161.000000,574346433075.000000,,,226897001062.000000,99873073884.000000,,45038104230.000000,17571140398.000000,62609244628.000000,,12244083125.000000,10648250146.000000,22892333271.000000,11525595717.000000,14062418361.000000,,6884139808.000000,650190614.000000,,8204292763.000000,15738623185.000000,,195712016.000000,226897001062.000000,18241355108.000000,,2342418590.000000,337157641.000000,,11823279822.000000,14502856053.000000,554308577.000000,3184190478.000000,18241355108.000000,245138356170.000000,,104544632500.000000,61661421684.000000,77544101020.000000,4000000000.000000,73544101020.000000,77544101020.000000,84641913057.000000,816008644.000000,329208076905.000000,574346433075.000000,1045446325.000000
12M 2016,,,88543233204.000000,,,,,137088565674.000000,135516545657.000000,1572020017.000000,137088565674.000000,4589231556.000000,4589231556.000000,,4589231556.000000,187917258688.000000,44439815636.000000,462578104758.000000,,4241382937.000000,132953556301.000000,288728004.000000,,39639392511.000000,177123059753.000000,639701164511.000000,,,281765921952.000000,189844149214.000000,,32748003105.000000,7958618720.000000,40706621825.000000,,12807171094.000000,175566343.000000,12982737437.000000,13062208418.000000,14779724148.000000,,4700315876.000000,321419622.000000,,4924336190.000000,9946071688.000000,,444409222.000000,281765921952.000000,11308062082.000000,,2687200000.000000,15735288.000000,,1476918306.000000,4179853594.000000,1110681094.000000,6017527394.000000,11308062082.000000,293073984034.000000,,104553152500.000000,68200373250.000000,53076016907.000000,4500000000.000000,48576016907.000000,53076016907.000000,120775310784.000000,22327036.000000,346627180477.000000,639701164511.000000,1045446325.000000
12M 2017,,,32621683434.000000,,,,,102611537784.000000,100679480586.000000,1932057198.000000,102611537784.000000,4020316912.000000,4020316912.000000,,4020316912.000000,189713973747.000000,27878981548.000000,356846493425.000000,,6797985292.000000,126623972147.000000,254578736.000000,,54445290387.000000,188121826562.000000,544968319987.000000,,,185606885071.000000,129423494754.000000,,25209137125.000000,2272811769.000000,27481948894.000000,,12743422860.000000,1315106610.000000,14058529470.000000,4079167038.000000,8036147623.000000,,2438640000.000000,,,,2438640000.000000,,88957292.000000,185606885071.000000,3129848133.000000,,270960000.000000,,,,270960000.000000,,2858888133.000000,3129848133.000000,188736733204.000000,,104758780200.000000,42875084310.000000,94707791504.000000,4600000000.000000,90107791504.000000,94707791504.000000,112472859173.000000,1417071596.000000,356231586783.000000,544968319987.000000,1047587802.000000
12M 2018,,,49425151764.000000,,,,,113727708764.000000,111878634950.000000,1849073814.000000,113727708764.000000,3963796150.000000,3963796150.000000,,3963796150.000000,246097364838.000000,26611781625.000000,439825803141.000000,,15349730499.000000,121891794614.000000,220429468.000000,,55726523603.000000,193188478184.000000,633014281325.000000,,,273186011900.000000,181795823944.000000,,59780497997.000000,3214756079.000000,62995254076.000000,,3735553026.000000,6236747373.000000,9972300399.000000,5424364696.000000,9811797974.000000,,289620000.000000,,,,289620000.000000,,2896850811.000000,273186011900.000000,3603425447.000000,,,,,,,,3603425447.000000,3603425447.000000,276789437347.000000,,104758780200.000000,42875084310.000000,94016626152.000000,4700000000.000000,89316626152.000000,94016626152.000000,112235596623.000000,2338756693.000000,356224843978.000000,633014281325.000000,1047587802.000000
12M 2019,,,83507005470.000000,72110000.000000,,,72110000.000000,199211405363.000000,177720219968.000000,21491185395.000000,199211405363.000000,5504865809.000000,4735332477.000000,769533332.000000,5504865809.000000,409728129634.000000,59534910198.000000,757558426474.000000,,24785266680.000000,310112750524.000000,186280200.000000,,54603587453.000000,389687884857.000000,1147246311331.000000,,,416684073265.000000,267923224989.000000,,82247930691.000000,608855730.000000,82856786421.000000,,15787585061.000000,10160957305.000000,25948542366.000000,10973060713.000000,11183524806.000000,,15297886444.000000,182546804.000000,,,15480433248.000000,,2318500722.000000,416684073265.000000,69948587486.000000,,51954042593.000000,242795449.000000,,,52196838042.000000,,17751749444.000000,69948587486.000000,486632660751.000000,,314144380600.000000,38428943032.000000,89753149676.000000,4800000000.000000,84953149676.000000,89753149676.000000,216171696848.000000,2115480424.000000,660613650580.000000,1147246311331.000000,3141443806.000000
12M 2020,,,106826878359.000000,7332110000.000000,,,7332110000.000000,174481174284.000000,156407295114.000000,18073879170.000000,174481174284.000000,6233691129.000000,4408359938.000000,1825331191.000000,6233691129.000000,353273722219.000000,35859643512.000000,684007219503.000000,,19571598811.000000,311330074281.000000,152130932.000000,,53879677003.000000,384933481027.000000,1068940700530.000000,,,362127923921.000000,260200813070.000000,,36990088057.000000,503222897.000000,37493310954.000000,,6780483318.000000,8604847810.000000,15385331128.000000,4620296213.000000,7754069570.000000,,16568274421.000000,286607742.000000,,4629001676.000000,21483883839.000000,,15190219147.000000,362127923921.000000,62116267189.000000,,42317952139.000000,527458065.000000,,1818217910.000000,44663628114.000000,,17452639075.000000,62116267189.000000,424244191110.000000,,314144380600.000000,38428943032.000000,76249204475.000000,4900000000.000000,71349204475.000000,76249204475.000000,216787745681.000000,-913764368.000000,644696509420.000000,1068940700530.000000,3141443806.000000
12M 2021,,,92012064446.000000,7664378000.000000,,,7664378000.000000,228040650600.000000,195846727884.000000,32193922716.000000,228040650600.000000,8098072254.000000,6213840291.000000,1884231963.000000,8098072254.000000,334604544483.000000,36637172469.000000,707056882252.000000,,12237311765.000000,287462003804.000000,,,53986544823.000000,353685860392.000000,1060742742644.000000,,,344961850615.000000,184059732414.000000,,98653064888.000000,301726400.000000,98954791288.000000,,3369608492.000000,4764675436.000000,8134283928.000000,7121239590.000000,10265367212.000000,,13320638618.000000,199258025.000000,,1825543419.000000,15345440062.000000,,21080996121.000000,344961850615.000000,57140924876.000000,,35083643341.000000,391346410.000000,,1702135904.000000,37177125655.000000,,19963799221.000000,57140924876.000000,402102775491.000000,,314144380600.000000,38567731432.000000,79780113822.000000,4900000000.000000,74880113822.000000,79780113822.000000,227001046956.000000,-853305657.000000,658639967153.000000,1060742742644.000000,3141443806.000000
12M 2022,,,102658753215.000000,7121426000.000000,74750000.000000,7046676000.000000,7121426000.000000,275452628590.000000,260670410345.000000,14782218245.000000,275452628590.000000,4600729954.000000,2752444927.000000,1848285027.000000,4600729954.000000,395217330115.000000,31604042430.000000,816654910304.000000,,5746169838.000000,298801605600.000000,,,56604913756.000000,361152689194.000000,1177807599498.000000,,,409727696458.000000,194254061439.000000,,124823794825.000000,871231064.000000,125695025889.000000,,7586505252.000000,659207491.000000,8245712743.000000,16505128322.000000,25689183695.000000,,13695138363.000000,96295878.000000,,5599092577.000000,19390526818.000000,,19948057552.000000,409727696458.000000,56055873514.000000,,28484942736.000000,336854626.000000,,8391764495.000000,37213561857.000000,,18842311657.000000,56055873514.000000,465783569972.000000,,314144383100.000000,38567738932.000000,108391095664.000000,4900000000.000000,103491095664.000000,108391095664.000000,251056407379.000000,-135595549.000000,712024029526.000000,1177807599498.000000,3141443831.000000
12M 2023,,,110643536616.000000,9251809466.000000,3780832071.000000,5470977395.000000,9251809466.000000,261681806493.000000,217258888032.000000,44422918461.000000,261681806493.000000,11331540182.000000,11248570182.000000,82970000.000000,11331540182.000000,372574591553.000000,40399717015.000000,805883001325.000000,,5606765951.000000,298586580402.000000,,,59507926744.000000,363701273097.000000,1169584274422.000000,,,384506833615.000000,178117461588.000000,,102377392338.000000,2481502662.000000,104858895000.000000,,5336504953.000000,519501100.000000,5856006053.000000,11686723147.000000,31114360523.000000,,19839383310.000000,212627470.000000,,5707623148.000000,25759633928.000000,,27113753376.000000,384506833615.000000,60342130441.000000,,28622619498.000000,349601400.000000,,9578714558.000000,38550935456.000000,,21791194985.000000,60342130441.000000,444848964056.000000,,314144383100.000000,39122499542.000000,117465028265.000000,5000000000.000000,112465028265.000000,117465028265.000000,258256691659.000000,-4253292200.000000,724735310366.000000,1169584274422.000000,3141443831.000000
12M 2024,,,150853127251.000000,19515256593.000000,10445822193.000000,9069434400.000000,19515256593.000000,269895575483.000000,246428532539.000000,23467042944.000000,269895575483.000000,6108714419.000000,6025084419.000000,83630000.000000,6108714419.000000,394039759215.000000,32070411992.000000,872482844953.000000,,2716497842.000000,330591321429.000000,,,53555854491.000000,386863673762.000000,1259346518715.000000,,,439495131220.000000,187639479042.000000,,126591728915.000000,204794307.000000,126796523222.000000,,11796800056.000000,1056665494.000000,12853465550.000000,12763095591.000000,34809733064.000000,,32508517290.000000,499429652.000000,,5352242097.000000,38360189039.000000,,26272645712.000000,439495131220.000000,49269100716.000000,,28571641164.000000,147479985.000000,,5987698002.000000,34706819151.000000,,14562281565.000000,49269100716.000000,488764231936.000000,,314144383100.000000,39126860455.000000,145528010665.000000,5100000000.000000,140428010665.000000,145528010665.000000,276318713680.000000,-4535681121.000000,770582286779.000000,1259346518715.000000,3141443831.000000
