Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan Dari:,Pendapatan Bunga,Pendapatan Lain-Lain,Aktivitas Operasi Lainnya,Restitusi Pajak,Total Penerimaan Dari:,Pembayaran Untuk:,Pajak Penghasilan,Beban Keuangan,Aktivitas Operasi Lainnya,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Dari Pinjaman Pihak Berelasi,Penempatan Deposito Jangka Panjang,Penerimaan Dari Penjualan Properti Investasi,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Pembelian Portofolio Efek,Pembelian Saham Entitas Anak,Perolehan Aset Tak Berwujud,Penerimaan Dari Piutang Pihak Berelasi,Pencairan Portofolio Efek,Uang Muka Investasi,Perolehan Efek Tersedia Untuk Dijual,Penyertaan Saham Pada Tdb,Penurunan (Kenaikan) Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Likuidasi Entitas Anak,Pembelian Aset Keuangan Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Penjualan Aset Keuangan Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Akuisisi Entitas Anak Dari Entitas Sepengendali,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Penawaran Umum Perdana,Penambahan Setoran Modal Saham,Entitas Anak,Perusahaan,Kepentingan Nonpengendali,Total Penambahan Setoran Modal Saham,Tambahan Modal Disetor – Agio Saham,Hasil Pelaksanaan Waran Seri 1,Hutang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Hutang Bank Jangka Panjang,Hutang Lain-Lain - Jangka Panjang,Penerimaan,Pembayaran,Total Hutang Lain-Lain - Jangka Panjang,Penerimaan Dari Piutang Pihak Berelasi,Penerimaan (Pembayaran) Dari Pinjaman Pihak Berelasi,Pembayaran Hutang Pembiayaan Konsumen,Pemberian Pinjaman Kepada Pihak Berelasi Oleh Entitas Anak,Penerimaan (Pembayaran) Sewa Pembiayaan,Pembayaran Dividen Tunai,Penurunan Hutang Bank Jangka Pendek,Penerimaan Hutang Bank Jangka Pendek,Bagian Pemegang Saham Nonpengendali Atas Dividen Tunai Entitas Anak,Penambahan Modal Saham Kepentingan Nonpengendali Pada Entitas Anak,Bagian Kepentingan Non Pengendali Atas Peningkatan (Penurunan) Modal Entitas Anak,Bagian Kepentingan Non Pengendali Atas Likuidasi Saham Pada Entitas Anak,Akuisisi Entitas Anak Dari Entitas Sepengendali Oleh Pemegang Saham Nonpengendali,Penerimaan Dari Penerbitan Saham,Pembayaran Beban Emisi Saham,Penerimaan Dari Penjualan (Pembelian) Saham Treasuri,Pengampunan Pajak,Pembayaran Pokok Liabilitas Sewa,Pembelian Saham Treasuri,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktifitas Pendanaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,14371976952.000000,467666838369.000000,-370383783060.000000,-70332287637.000000,,,199279638.000000,1389445480.000000,,,1588725118.000000,,-6514757339.000000,-3889971783.000000,-3762786716.000000,-14167515838.000000,14371976952.000000,-41459785365.000000,3229015158.000000,-8370450523.000000,,,,,,,,,,,,,,,,,,-36318350000.000000,,-41459785365.000000,31109545065.000000,,,13500000000.000000,35000000000.000000,,48500000000.000000,,,,3000000000.000000,-55555556.000000,2944444444.000000,,,,,,,-1110233049.000000,,,,-3810428020.000000,,-14811000000.000000,,,,,,-603238310.000000,,,,,,,31109545065.000000,4021736652.000000,13176061621.000000,17197798273.000000
12M 2012,3685573499.000000,516113460293.000000,-356077142835.000000,-115103792793.000000,,,1144364902.000000,2794094382.000000,,,3938459284.000000,,-12039723213.000000,-4037047268.000000,-29108639969.000000,-45185410450.000000,3685573499.000000,-61381939778.000000,959557000.000000,-20041496778.000000,,,,,,,,,,,,,-15300000000.000000,,,,,-27000000000.000000,,-61381939778.000000,96588030396.000000,90000000000.000000,,14700000000.000000,,,14700000000.000000,,,,6377364749.000000,-666666660.000000,5710698089.000000,,744286556.000000,,744286556.000000,,,-1136241529.000000,,,-2000000000.000000,-2169701030.000000,,-4274250000.000000,,,,,,-4986761690.000000,,,,,,,96588030396.000000,38891664117.000000,17197798273.000000,56089462390.000000
12M 2013,22942969215.000000,660029454260.000000,-437728389269.000000,-127515841370.000000,,,1238116115.000000,,,,1238116115.000000,,-17550819123.000000,-4181245416.000000,-51348305982.000000,-73080370521.000000,22942969215.000000,-29827239776.000000,2887208348.000000,-32714448124.000000,,,,,,,,,,,,,,,,,,,,-29827239776.000000,13000601637.000000,779400000.000000,,4900000000.000000,,,4900000000.000000,,,,13672011252.000000,-1679631751.000000,11992379501.000000,,,-223080771.000000,-223080771.000000,,,-1218687627.000000,,-187046100.000000,-9004640723.000000,,11082277358.000000,-5120000001.000000,,,,,,,,,,,,,13000601637.000000,6116331076.000000,56089462390.000000,62205793466.000000
12M 2014,51371394.000000,725513699995.000000,-535885687477.000000,-153279222882.000000,,,1051027979.000000,,,,1051027979.000000,,-21224951361.000000,-6248812681.000000,-9874682179.000000,-37348446221.000000,51371394.000000,-45316809868.000000,13476375056.000000,-35843184924.000000,,,,,,,,,,,,,,,,,,-22950000000.000000,,-45316809868.000000,23624870770.000000,,,,,,,,12349507500.000000,,33518825338.000000,-2955073449.000000,30563751889.000000,,,-414818044.000000,-414818044.000000,,,-846366522.000000,,-2001882977.000000,-9843309576.000000,,,-6182011500.000000,,,,,,,,,,,,,23624870770.000000,-21640567704.000000,70133649522.000000,48493081818.000000
12M 2015,61186196427.000000,862533733978.000000,-561469110414.000000,-212232310558.000000,,,595736563.000000,,,,595736563.000000,,-16198187923.000000,-12431474856.000000,387809637.000000,-28241853142.000000,61186196427.000000,-16108497248.000000,9691879359.000000,-25800376607.000000,,,,,,,,,,,,,,,,,,,,-16108497248.000000,-27908339282.000000,,,,,,,,504990000.000000,,1857253206.000000,-8441864259.000000,-6584611053.000000,,,,,,,-741483859.000000,,-3561015449.000000,-9930732141.000000,,,-7595486780.000000,,,,,,,,,,,,,-27908339282.000000,17169359897.000000,48493081818.000000,65662441715.000000
12M 2016,13169891854.000000,896450225815.000000,-622426912385.000000,-221955408604.000000,-6735670223.000000,,937310353.000000,,,,937310353.000000,,-20051389227.000000,-13048263875.000000,,-33099653102.000000,13169891854.000000,-56555778996.000000,29423033265.000000,-47039112261.000000,,,,,-2965500000.000000,,,,,,-30000000000.000000,,,,,,,-3300000000.000000,-2674200000.000000,-56555778996.000000,66095157049.000000,345180000.000000,,,,,,,,,,,,,,,,,,-650193345.000000,,-13626318089.000000,-8363570600.000000,-9054992522.000000,97187025330.000000,258026275.000000,,,,,,,,,,,,,66095157049.000000,22709269907.000000,65833963297.000000,88543233204.000000
12M 2017,44384663571.000000,805583342461.000000,-507841969282.000000,-200998379119.000000,-9217824634.000000,,856246353.000000,,,,856246353.000000,,-31044707988.000000,-12952044220.000000,,-43996752208.000000,44384663571.000000,-18057228421.000000,352727273.000000,-17345020776.000000,,,,,,,,,,,,,,-1064934918.000000,,,,,,-18057228421.000000,-81216322003.000000,,,,,,,,616883100.000000,,,,,-59646048295.000000,,,-59646048295.000000,,,-337154910.000000,,-6401254496.000000,-5237063126.000000,-4677915876.000000,,-5993000000.000000,,-156000000.000000,,,,,-204768400.000000,820000000.000000,,,,,-81216322003.000000,-54888886853.000000,88285176452.000000,33396289599.000000
12M 2018,21043441800.000000,848145334190.000000,-547972753735.000000,-274315603436.000000,-5978623703.000000,,277965640.000000,,,26904984491.000000,27182950131.000000,,-11516753997.000000,-14501107650.000000,,-26017861647.000000,21043441800.000000,-39461746420.000000,94571534.000000,-17613028571.000000,,,,,-1431911754.000000,,,,,,-21000000000.000000,,,488622371.000000,,,,,,-39461746420.000000,34447166785.000000,,,,,,,,,,,,,51597723025.000000,,,51597723025.000000,,,,,,-5234640010.000000,-2419980000.000000,,-5100000000.000000,,-4395936230.000000,,,,,,,,,,,34447166785.000000,16028862165.000000,33396289599.000000,49425151764.000000
12M 2019,28509352358.000000,1488502258894.000000,-1018377618821.000000,-371084040645.000000,,,615047519.000000,,,863117669.000000,1478165188.000000,,-22602261775.000000,-33185133341.000000,-16222017142.000000,-72009412258.000000,28509352358.000000,-54836599274.000000,1375364900.000000,-48583002953.000000,,,,,-5450569210.000000,,,,,,,,,-2178392011.000000,,,,,,-54836599274.000000,15113477064.000000,,,,,604000000.000000,604000000.000000,2961757104.000000,,,42306045276.000000,,42306045276.000000,,,,,,,,,-144930034.000000,-2093856004.000000,-17841839150.000000,,-8829230000.000000,,,,,,-1848470128.000000,,,,,,,15113477064.000000,-11213769852.000000,94720775322.000000,83507005470.000000
12M 2020,86496760849.000000,1176519366727.000000,-719376800723.000000,-340562001730.000000,,,824093658.000000,,,35208615.000000,859302273.000000,,-10961688527.000000,-33725677671.000000,13744260500.000000,-30943105698.000000,86496760849.000000,-29899123922.000000,844575955.000000,-22787672544.000000,,,,,-1579507278.000000,,,,,,,,,1548979945.000000,,-7925500000.000000,,,,-29899123922.000000,-33277764038.000000,,,,,,,,,,78464585143.000000,-86830287620.000000,-8365702477.000000,,,,,,,-259373798.000000,,,-4711176005.000000,-616420404477.000000,608697992558.000000,-6686386476.000000,,,,,,,,,-5532713363.000000,,,,-33277764038.000000,23319872889.000000,83507005470.000000,106826878359.000000
