Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,2614964.95,0.00,2614964.95,64 B,1 B,65 B,51 B,51 B
12M 2011,0.00,116.98,0.00,116.98,57 B,3 B,60 B,52 B,41 B
12M 2012,1.79,189.52,1.79,189.52,62 B,7 B,69 B,13 B,172 B
12M 2013,1.88,212.92,1.88,212.92,79 B,15 B,94 B,32 B,195 B
12M 2014,1.60,222.62,1.60,222.62,118 B,19 B,137 B,89 B,194 B
12M 2015,1.28,233.93,1.28,233.93,116 B,15 B,130 B,64 B,201 B
12M 2016,1.56,216.03,1.56,216.03,200 B,4 B,204 B,115 B,181 B
12M 2017,1.32,232.69,1.32,232.69,132 B,0 B,132 B,100 B,171 B
12M 2018,0.94,232.91,0.94,232.91,182 B,,182 B,133 B,167 B
12M 2019,1.88,141.48,1.88,141.48,283 B,52 B,336 B,252 B,341 B
12M 2020,1.53,136.21,1.53,136.21,282 B,45 B,326 B,220 B,322 B
12M 2021,1.56,137.40,1.56,137.40,199 B,37 B,237 B,145 B,362 B
12M 2022,1.61,146.74,1.61,146.74,214 B,37 B,251 B,148 B,407 B
12M 2023,1.40,148.49,1.40,148.49,204 B,39 B,242 B,132 B,421 B
12M 2024,1.06,157.34,1.06,157.34,226 B,35 B,261 B,110 B,433 B
