Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Dari Pihak Berelasi,Penerimaan Dari (Pembayaran Kepada) Karyawan,Pembayaran Pajak Final,Pembayaran Beban Operasional,Pembayaran Beban Bunga,Pembayaran Beban Pajak Penghasilan,Penerimaan Pendapatan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Penerimaan Bunga,Penerimaan Atas Pinjaman Pihak Ketiga,Pembayaran Atas Pinjaman Yang Diberikan Kepada Pihak Ketiga,Pembayaran Uang Muka Dan Biaya Dibayar Di Muka,Pembayaran Biaya Perpanjangan Sertifikat Hak Guna Bangunan,Investasi Jangka Pendek,Persediaan,Penerimaan Dari Piutang Lain-Lain,Penambahan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Pembayaran Pinjaman Bank,Pembayaran Surat Utang,Penerimaan Surat Utang,Penerimaan Tambahan Modal Disetor,Peluanasan Utang Kepada Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Sehubungan Dengan Konversi Waran,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Kepada Pihak Ketiga,Pembayaran Bunga,Pembayaran Dividen Kas,Penerimaan Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-69017726651.000000,24452478242.000000,-87963676024.000000,,-2590819356.000000,,-1251344663.000000,-1996408839.000000,,332043989.000000,-69017726651.000000,-14976204321.000000,-2737579321.000000,,,,,,,,,,-12238625000.000000,-14976204321.000000,85125747250.000000,98000000000.000000,-742908591.000000,,1363200000.000000,,-18010593143.000000,,,,4516048984.000000,,,,,85125747250.000000,1131816278.000000,2426624117.000000,3558440395.000000
12M 2020,-5627589741.000000,34361023588.000000,-31115852183.000000,,-5306734193.000000,,-2295196642.000000,-4992380519.000000,,3721550208.000000,-5627589741.000000,-196542495678.000000,-320995678.000000,-152316750000.000000,,,-43904750000.000000,,,,,,,-196542495678.000000,204608416168.000000,43000002120.000000,-5497300828.000000,-2401200000.000000,,172000011130.000000,-2083395971.000000,-409700283.000000,,,,,,,,204608416168.000000,2438330749.000000,3558440395.000000,5996771144.000000
12M 2021,-16919127546.000000,44200525564.000000,-52964066914.000000,,-7077074366.000000,-1078511830.000000,,,,,-16919127546.000000,29340241778.000000,-198664909.000000,,1371271644.000000,45316848877.000000,,-17149213834.000000,,,,,,29340241778.000000,-11486000789.000000,,-1291947981.000000,,,,-2650859869.000000,-490591235.000000,-52610693.000000,175375.000000,,,-4497666349.000000,-2502500037.000000,,-11486000789.000000,935113443.000000,5996771144.000000,6931884587.000000
12M 2022,13397024751.000000,49160582342.000000,-20772551925.000000,,-9044106539.000000,-1061635575.000000,,-4913240748.000000,-15502325.000000,43479521.000000,13397024751.000000,-9740679678.000000,-884660135.000000,-8817025000.000000,,,,,-38994543.000000,,,,,-9740679678.000000,-5019271157.000000,,-3450000000.000000,,,,-23828119.000000,-513685126.000000,-245280476.000000,22750.000000,,,,-786500186.000000,,-5019271157.000000,-1362926084.000000,6931884587.000000,5568958503.000000
12M 2023,20102128965.000000,58082663323.000000,-21495697296.000000,,-11764859005.000000,-1069235153.000000,,-3669820265.000000,-54723975.000000,73801336.000000,20102128965.000000,-175392591.000000,-175392591.000000,,,,,,,,,,,-175392591.000000,-11259895106.000000,,-9000000000.000000,,,,,-954417524.000000,-1305591582.000000,114000.000000,,,,,,-11259895106.000000,8666841268.000000,5568958503.000000,14235799771.000000
12M 2024,1843311674.000000,42681766327.000000,-24838116011.000000,,-13151018164.000000,-419980805.000000,,-2687733423.000000,-22149380.000000,280543130.000000,1843311674.000000,-186960006.000000,-181960006.000000,,,,,,,,,,-5000000.000000,-186960006.000000,-10145134422.000000,,-9000000000.000000,,,,,-772593863.000000,-372540559.000000,,,,,,,-10145134422.000000,-8488782754.000000,14235799771.000000,5747017017.000000
