Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,"Pembayaran Kas Untuk Gaji, Upah Dan Kesejahteraan Karyawan",Pembayaran Kas Untuk Beban Usaha,Pembayaran Kas Untuk Beban Pajak,Penerimaan Kas Untuk Kegiatan Usaha Lainnya - Neto,Penerimaan Kas Untuk Penerimaan Tagihan Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dividen Kas,Penerimaan Dari Pendapatan Keuangan,Penambahan Aset Tidak Berwujud,Penurunan Pada Uang Muka Pembelian Aset Takberwujud,Penerimaan Atas Surat Utang Negara,Perolehan Aset Tetap,Perolehan Surat Utang Pemerintah,Perolehan Aset Guna Usaha,"Hasil Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual, Neto",Perolehan Kepemilikan Entitas Anak,Kenaikan Pada Uang Muka Pembelian Aset Tak Berwujud,Kenaikan Pada Uang Muka Perolehan Aset Hak Guna,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pendapatan Keuangan,Perolehan Kepemilikan Entitas Anak,Pembayaran Kembali Obligasi Wajib Konversi,"Penerbitan Saham - Pencatatan Saham Perdana, Dikurangi Biaya Pendanaan",Penerbitan Saham - Konversi Waran,Penerbitan Saham - Mip,Penurunan (Kenaikan) Piutang Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Beban Keuangan,Pembayaran Dividen Tunai Oleh Anak Usaha,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,2707000000.000000,4897867000000.000000,-3912939000000.000000,-328528000000.000000,-572394000000.000000,-109255000000.000000,21478000000.000000,6478000000.000000,2707000000.000000,-9876000000.000000,18026000000.000000,3680000000.000000,,-2679000000.000000,,,-26645000000.000000,,,,,,,-2258000000.000000,-9876000000.000000,-4194000000.000000,5710000000.000000,,,,,,,,-2565000000.000000,,,-7339000000.000000,-4194000000.000000,-11363000000.000000,274418000000.000000,263055000000.000000
12M 2020,577312000000.000000,6016736000000.000000,-4476548000000.000000,-430456000000.000000,-714218000000.000000,-115934000000.000000,24874000000.000000,272858000000.000000,577312000000.000000,-18725000000.000000,10108000000.000000,,,-3316000000.000000,,,-28875000000.000000,,-17894000000.000000,34671000000.000000,,-1021000000.000000,-7120000000.000000,-5278000000.000000,-18725000000.000000,81929000000.000000,5952000000.000000,,-96929000000.000000,198759000000.000000,22800000000.000000,,,-8000000000.000000,-5452000000.000000,,-21722000000.000000,-13479000000.000000,81929000000.000000,640516000000.000000,263055000000.000000,903571000000.000000
12M 2021,615123000000.000000,7247878000000.000000,-5783182000000.000000,-394757000000.000000,-515895000000.000000,-46703000000.000000,31694000000.000000,76088000000.000000,615123000000.000000,-6384000000.000000,22899000000.000000,7351000000.000000,,-4784000000.000000,,,-21305000000.000000,,,,,-235000000.000000,-2211000000.000000,-8099000000.000000,-6384000000.000000,-559013000000.000000,8016000000.000000,,,,,,,,,-1971000000.000000,-15508000000.000000,-549550000000.000000,-559013000000.000000,49726000000.000000,903571000000.000000,953297000000.000000
12M 2022,368904000000.000000,6990371000000.000000,-5656489000000.000000,-419920000000.000000,-722562000000.000000,-25080000000.000000,3794000000.000000,198790000000.000000,368904000000.000000,-48177000000.000000,1633000000.000000,521000000.000000,,-8948000000.000000,,,-29817000000.000000,,,,,,-7993000000.000000,-3573000000.000000,-48177000000.000000,-147193000000.000000,12903000000.000000,,,,,,,,,,-10334000000.000000,-149762000000.000000,-147193000000.000000,173534000000.000000,953297000000.000000,1126831000000.000000
12M 2023,211129000000.000000,7952799000000.000000,-6834051000000.000000,-393705000000.000000,-728298000000.000000,-37362000000.000000,12805000000.000000,238941000000.000000,211129000000.000000,-232903000000.000000,1167000000.000000,,26425000000.000000,-1275000000.000000,,,-30664000000.000000,-204900000000.000000,,,,-507000000.000000,-15062000000.000000,-8087000000.000000,-232903000000.000000,-416591000000.000000,,,,,,,-1000000000.000000,,,,-15803000000.000000,-399788000000.000000,-416591000000.000000,-438365000000.000000,1126831000000.000000,688466000000.000000
12M 2024,-110461000000.000000,9662283000000.000000,-8442528000000.000000,-413287000000.000000,-1040537000000.000000,-25277000000.000000,8246000000.000000,140639000000.000000,-110461000000.000000,11272000000.000000,916000000.000000,294000000.000000,18817000000.000000,-2084000000.000000,,200000000000.000000,-51821000000.000000,-100350000000.000000,-1223000000.000000,,,-790000000.000000,-49734000000.000000,-2753000000.000000,11272000000.000000,-166831000000.000000,,,,,,,4000000000.000000,,,,-18531000000.000000,-152300000000.000000,-166831000000.000000,-266020000000.000000,688466000000.000000,422446000000.000000
