Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,263055000000.000000,935914000000.000000,935098000000.000000,816000000.000000,935914000000.000000,145689000000.000000,144765000000.000000,924000000.000000,145689000000.000000,910568000000.000000,122545000000.000000,2377771000000.000000,,401396000000.000000,82019000000.000000,30599000000.000000,377300000000.000000,891314000000.000000,3269085000000.000000,,,1833791000000.000000,,1012512000000.000000,,1012512000000.000000,,80994000000.000000,213000000.000000,81207000000.000000,9402000000.000000,181903000000.000000,514212000000.000000,34555000000.000000,1833791000000.000000,121301000000.000000,121301000000.000000,121301000000.000000,1955092000000.000000,,357939000000.000000,165086000000.000000,357981000000.000000,,357981000000.000000,357981000000.000000,1587000000.000000,431400000000.000000,1313993000000.000000,3269085000000.000000,1269168239.000000
12M 2020,,,903571000000.000000,1083117000000.000000,1082275000000.000000,842000000.000000,1083117000000.000000,173791000000.000000,172233000000.000000,1558000000.000000,173791000000.000000,1052894000000.000000,192616000000.000000,3405989000000.000000,,395542000000.000000,107648000000.000000,26581000000.000000,244483000000.000000,774254000000.000000,4180243000000.000000,,,1797440000000.000000,,1495917000000.000000,,1495917000000.000000,,71974000000.000000,,71974000000.000000,58345000000.000000,115021000000.000000,,56183000000.000000,1797440000000.000000,176701000000.000000,176701000000.000000,176701000000.000000,1974141000000.000000,,634584000000.000000,1061098000000.000000,509437000000.000000,,509437000000.000000,509437000000.000000,1666000000.000000,-683000000.000000,2206102000000.000000,4180243000000.000000,1269168239.000000
12M 2021,,,953297000000.000000,911402000000.000000,911402000000.000000,,911402000000.000000,183331000000.000000,182642000000.000000,689000000.000000,183331000000.000000,1118690000000.000000,174451000000.000000,3341171000000.000000,,386072000000.000000,112681000000.000000,25566000000.000000,156429000000.000000,680748000000.000000,4021919000000.000000,,,1654049000000.000000,,1285340000000.000000,,1285340000000.000000,,77641000000.000000,,77641000000.000000,58686000000.000000,186633000000.000000,,45749000000.000000,1654049000000.000000,159579000000.000000,159579000000.000000,159579000000.000000,1813628000000.000000,,634584000000.000000,1061098000000.000000,512680000000.000000,,512680000000.000000,512680000000.000000,612000000.000000,-683000000.000000,2208291000000.000000,4021919000000.000000,1269168239.000000
12M 2022,,,1126831000000.000000,1211152000000.000000,1211152000000.000000,,1211152000000.000000,203994000000.000000,203855000000.000000,139000000.000000,203994000000.000000,1148082000000.000000,183379000000.000000,3873438000000.000000,,383520000000.000000,108322000000.000000,26542000000.000000,82777000000.000000,601161000000.000000,4474599000000.000000,,,1898934000000.000000,,1609973000000.000000,,1609973000000.000000,,78306000000.000000,,78306000000.000000,10776000000.000000,167607000000.000000,,32272000000.000000,1898934000000.000000,148110000000.000000,148110000000.000000,148110000000.000000,2047044000000.000000,,634584000000.000000,1061098000000.000000,735535000000.000000,,735535000000.000000,735535000000.000000,,-3662000000.000000,2427555000000.000000,4474599000000.000000,1269168239.000000
12M 2023,,,688466000000.000000,1456108000000.000000,1456108000000.000000,,1456108000000.000000,237684000000.000000,236975000000.000000,709000000.000000,237684000000.000000,1390854000000.000000,366907000000.000000,4140019000000.000000,,384300000000.000000,117617000000.000000,19724000000.000000,85300000000.000000,606941000000.000000,4746960000000.000000,,,2186112000000.000000,,1907093000000.000000,,1907093000000.000000,,82685000000.000000,,82685000000.000000,11410000000.000000,154883000000.000000,,30041000000.000000,2186112000000.000000,161750000000.000000,161750000000.000000,161750000000.000000,2347862000000.000000,,634584000000.000000,1061098000000.000000,707078000000.000000,126917000000.000000,580161000000.000000,707078000000.000000,,-3662000000.000000,2399098000000.000000,4746960000000.000000,12691682390.000000
12M 2024,,,422446000000.000000,1851763000000.000000,1851763000000.000000,,1851763000000.000000,294105000000.000000,293847000000.000000,258000000.000000,294105000000.000000,1622682000000.000000,558361000000.000000,4749357000000.000000,,402386000000.000000,126798000000.000000,14741000000.000000,118741000000.000000,662666000000.000000,5412023000000.000000,,,2526572000000.000000,,2213493000000.000000,,2213493000000.000000,,77121000000.000000,,77121000000.000000,24893000000.000000,157954000000.000000,,53111000000.000000,2526572000000.000000,170235000000.000000,170235000000.000000,170235000000.000000,2696807000000.000000,,634584000000.000000,1061098000000.000000,971045000000.000000,126917000000.000000,844128000000.000000,971045000000.000000,,48489000000.000000,2715216000000.000000,5412023000000.000000,12691682390.000000
