Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Tagihan Pajak Penghasilan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Perolehan Perangkat Lunak,Hasil Pelepasan Aset Tetap,Pencairan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penambahan Bank Yang Dibatasi Penggunaannya,Pembayaran Uang Muka Pembelian Aset Tetap,Penempatan Investasi Jangka Pendek,Perolehan Aset Tetap,Penambahan Deposito Berjangka Yang Di Batasi Penggunannya,Penambahan Uang Jaminan,Pengembalian Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham Dan Penawaran Umum Saham Perdana,Pembayaran Utang Obligasi Konversi,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Kas Dividen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Sewa,Pembayaran Beban Bunga,Penerimaan Utang Lain Lain Pihak Berelasi,Pembayaran Utang Lain Lain Pihak Berelasi,Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-11237242218.000000,141331232486.000000,,-77181835044.000000,-75381474453.000000,-5165207.000000,-11237242218.000000,-5235113660.000000,,,,,,,,-5235113660.000000,,,,-5235113660.000000,-1678767201.000000,,,,,-1301074605.000000,,,-377692596.000000,,,,-1678767201.000000,-18151123079.000000,27668973216.000000,9517850137.000000
12M 2018,-30037546297.000000,202059671395.000000,,-135336192222.000000,-96761025470.000000,,-30037546297.000000,-6424803750.000000,,,,,,,-4000000000.000000,-2424803750.000000,,,,-6424803750.000000,47730443884.000000,118333325000.000000,-67200000000.000000,,,-2397721986.000000,,,-1005159130.000000,,,,47730443884.000000,11268093837.000000,9517850137.000000,20785943974.000000
12M 2019,37965356837.000000,383204903220.000000,,-231770154838.000000,-112260451505.000000,-1208940040.000000,37965356837.000000,-12082310713.000000,,,,,,,-5987350000.000000,-6129960713.000000,,,35000000.000000,-12082310713.000000,-6750812255.000000,,,,,-4660420084.000000,,,-2090392171.000000,,,,-6750812255.000000,19132233869.000000,20785943974.000000,39918177843.000000
12M 2020,59202048937.000000,440338168293.000000,,-241740468053.000000,-130993769592.000000,-8401881711.000000,59202048937.000000,-22037960566.000000,5410000000.000000,,235000000.000000,,,,-8470000000.000000,-13946460566.000000,-5200000000.000000,,-66500000.000000,-22037960566.000000,-9272989276.000000,,,,,-6975450784.000000,,-4755644781.000000,-2541893711.000000,,,5000000000.000000,-9272989276.000000,27891099095.000000,39918177843.000000,67809276938.000000
12M 2021,38598568443.000000,561349047563.000000,,-250765404234.000000,-261413281895.000000,-10571792991.000000,38598568443.000000,-8707754024.000000,4160000000.000000,,,,,,-11500000000.000000,-6499574024.000000,5200000000.000000,,-68180000.000000,-8707754024.000000,-34197609284.000000,,,,-14999999400.000000,-8562894963.000000,-5000000000.000000,-3387091110.000000,-2247623811.000000,,,,-34197609284.000000,-4306794865.000000,67809276938.000000,63502482073.000000
12M 2022,-6491535363.000000,578983519719.000000,,-263278219579.000000,-311294876488.000000,-10901959015.000000,-6491535363.000000,-15393008948.000000,10264996146.000000,,680000000.000000,,,-18020000000.000000,-1700000000.000000,-6407130094.000000,,,-210875000.000000,-15393008948.000000,910645322.000000,,,,,-8284154512.000000,,-3584733334.000000,-2220466832.000000,17000000000.000000,-2000000000.000000,,910645322.000000,-20973898989.000000,63502482073.000000,42528583084.000000
12M 2023,3721230782.000000,588429326671.000000,6289011566.000000,-253593583579.000000,-329446132654.000000,-7957391222.000000,3721230782.000000,-26032215739.000000,1683000000.000000,,,,,-2665000000.000000,,-7988750339.000000,-17000000000.000000,,-61465400.000000,-26032215739.000000,43034625119.000000,,,,,-5726592503.000000,-106984919102.000000,-5213643863.000000,-4060460816.000000,,-6368136966.000000,171388378369.000000,43034625119.000000,20723640162.000000,42528583084.000000,63252223246.000000
12M 2024,-27758955806.000000,651834962857.000000,,-302383708574.000000,-368362767636.000000,-8847442453.000000,-27758955806.000000,-52348414313.000000,,-609741194.000000,,17000000000.000000,-26000000000.000000,,,-4059493119.000000,-38300000000.000000,,-379180000.000000,-52348414313.000000,36397402248.000000,,,,,-3416407109.000000,-318998625363.000000,-6554931031.000000,-7095937311.000000,,-8131863034.000000,380595166096.000000,36397402248.000000,-43709967871.000000,63252223246.000000,19542255375.000000
