Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,148157471533.000000,-119985587529.000000,28171884004.000000,-46792266941.000000,-46792266941.000000,-46792266941.000000,-18620382937.000000,-1690043747.000000,223453158.000000,,-2083423786.000000,169926881.000000,-1690043747.000000,-20310426684.000000,1716930671.000000,-18593496013.000000,-76714500.000000,-18670210513.000000,-18593496013.000000,-18593496013.000000,,-18593496013.000000,-18670210513.000000,-18670210513.000000,,-18670210513.000000
12M 2018,229821404369.000000,-164406536636.000000,65414867733.000000,-66616456104.000000,-66616456104.000000,-66616456104.000000,-1201588371.000000,-30888878058.000000,341890352.000000,,-2690398653.000000,-28540369757.000000,-30888878058.000000,-32090466429.000000,1021151976.000000,-31069314453.000000,490448250.000000,-30578866203.000000,-31069314453.000000,-31069314453.000000,,-31069314453.000000,-30578866203.000000,-30578866203.000000,,-30578866203.000000
12M 2019,394765940589.000000,-257338953872.000000,137426986717.000000,-99180598145.000000,-99180598145.000000,-99180598145.000000,38246388572.000000,1667247486.000000,1175777296.000000,,-2209500171.000000,2700970361.000000,1667247486.000000,39913636058.000000,-406097666.000000,39507538392.000000,736118500.000000,40243656892.000000,39507538392.000000,39507538392.000000,,39507538392.000000,40243656892.000000,40243656892.000000,,40243656892.000000
12M 2020,451599889844.000000,-286737026322.000000,164862863522.000000,-127145868147.000000,-127145868147.000000,-127145868147.000000,37716995375.000000,3095302381.000000,1992431627.000000,235000000.000000,-2541893711.000000,3409764465.000000,3095302381.000000,40812297756.000000,-9478754597.000000,31333543159.000000,-171253050.000000,31162290109.000000,31333543159.000000,31333543159.000000,,31333543159.000000,31162290109.000000,31162290109.000000,,31162290109.000000
12M 2021,589409749578.000000,-389876560850.000000,199533188728.000000,-150560616613.000000,-150560616613.000000,-150560616613.000000,48972572115.000000,4131248784.000000,1700685791.000000,-88783178.000000,-2247623811.000000,4766969982.000000,4131248784.000000,53103820899.000000,-8353644150.000000,44750176749.000000,177536605.000000,44927713354.000000,44750176749.000000,44750176749.000000,,44750176749.000000,44927713354.000000,44927713354.000000,,44927713354.000000
12M 2022,591902803145.000000,-418995628491.000000,172907174654.000000,-171764861420.000000,-171764861420.000000,-171764861420.000000,1142313234.000000,40039450.000000,706415345.000000,679250000.000000,-2220466832.000000,874840937.000000,40039450.000000,1182352684.000000,-351238571.000000,831114113.000000,594769135.000000,1425883248.000000,831114113.000000,831114113.000000,,831114113.000000,1425883248.000000,1425883248.000000,,1425883248.000000
12M 2023,622181581070.000000,-470678782051.000000,151502799019.000000,-147656335566.000000,-147656335566.000000,-147656335566.000000,3846463453.000000,-2715578684.000000,869351728.000000,,-4060460816.000000,475530404.000000,-2715578684.000000,1130884769.000000,24601600.000000,1155486369.000000,6574390274.000000,7729876643.000000,1155486369.000000,1155486369.000000,,1155486369.000000,7729876643.000000,7729876643.000000,,7729876643.000000
12M 2024,682513129935.000000,-540987410868.000000,141525719067.000000,-133730233055.000000,-133730233055.000000,-133730233055.000000,7795486012.000000,-6493486961.000000,1255591610.000000,,-7095937311.000000,-653141260.000000,-6493486961.000000,1301999051.000000,-319781848.000000,982217203.000000,22319739009.000000,23301956212.000000,982217203.000000,982217203.000000,,982217203.000000,23301956212.000000,23301956212.000000,,23301956212.000000
