Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Administrasi,Pendapatan Sewa Pembiayaan,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Keuangan,Beban Umum Dan Administrasi,Beban Pemasaran,Kerugian Penurunan Nilai Atas Aset Keuangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,258400114500.000000,132444435355.000000,84458546491.000000,5482704187.000000,36014428467.000000,258400114500.000000,-216658735086.000000,-58453039201.000000,-58741713059.000000,-47892862943.000000,-15923163181.000000,-32556193449.000000,-3091763253.000000,-216658735086.000000,41741379414.000000,2387442853.000000,2387442853.000000,,2387442853.000000,44128822267.000000,-10215714980.000000,33913107287.000000,675227186.000000,34588334473.000000,33913107287.000000,33913107287.000000,,33913107287.000000,34588334473.000000,34588334473.000000,,34588334473.000000
12M 2017,352044148683.000000,201645819358.000000,98077455730.000000,5105696758.000000,47215176837.000000,352044148683.000000,-292856948272.000000,-79961837300.000000,-91814027306.000000,-66350941015.000000,-22426159799.000000,-32303982852.000000,,-292856948272.000000,59187200411.000000,3006970754.000000,3006970754.000000,,3006970754.000000,62194171165.000000,-13214737061.000000,48979434104.000000,37315725524.000000,86295159628.000000,48979434104.000000,48979434104.000000,,48979434104.000000,86295159628.000000,86295159628.000000,,86295159628.000000
12M 2018,430246179428.000000,247573158851.000000,106809147385.000000,34419149331.000000,41444723861.000000,430246179428.000000,-346229313551.000000,-91318416935.000000,-120634770167.000000,-76319217085.000000,-16347267119.000000,-41609642245.000000,,-346229313551.000000,84016865877.000000,3228028208.000000,503209717.000000,2724818491.000000,3228028208.000000,87244894085.000000,-19225045841.000000,68019848244.000000,-16991691526.000000,51028156718.000000,68019848244.000000,68019848244.000000,,68019848244.000000,51028156718.000000,51028156718.000000,,51028156718.000000
12M 2019,430926912882.000000,238189540033.000000,111631392477.000000,43404804666.000000,37701175706.000000,430926912882.000000,-333830798998.000000,-98969694164.000000,-107350435575.000000,-81074512566.000000,-19522189600.000000,-26913967093.000000,,-333830798998.000000,97096113884.000000,,,,,97096113884.000000,-22238783555.000000,74857330329.000000,2915520909.000000,77772851238.000000,74857330329.000000,74857330329.000000,,74857330329.000000,77772851238.000000,77772851238.000000,,77772851238.000000
12M 2020,354017584836.000000,196455100510.000000,91859598968.000000,40957378606.000000,24745506752.000000,354017584836.000000,-300463898351.000000,-100347929970.000000,-90846553707.000000,-78712799131.000000,-8888707870.000000,-21667907673.000000,,-300463898351.000000,53553686485.000000,,,,,53553686485.000000,-12291191240.000000,41262495245.000000,-2480398570.000000,38782096675.000000,41262495245.000000,41262495245.000000,,41262495245.000000,38782096675.000000,38782096675.000000,,38782096675.000000
12M 2021,290801343418.000000,159003648633.000000,62984355691.000000,42419103032.000000,26394236062.000000,290801343418.000000,-231448109943.000000,-94621216720.000000,-51156795343.000000,-68653146662.000000,-6826983985.000000,-10189967233.000000,,-231448109943.000000,59353233475.000000,,,,,59353233475.000000,-13432766967.000000,45920466508.000000,14686571234.000000,60607037742.000000,45920466508.000000,45920466508.000000,,45920466508.000000,60607037742.000000,60607037742.000000,,60607037742.000000
12M 2022,276906269894.000000,135813326547.000000,75362982054.000000,46991674220.000000,18738287073.000000,276906269894.000000,-212101072344.000000,-92407783619.000000,-32678868855.000000,-60548142417.000000,-8084631367.000000,-18381646086.000000,,-212101072344.000000,64805197550.000000,,,,,64805197550.000000,-12907262567.000000,51897934983.000000,8340363176.000000,60238298159.000000,51897934983.000000,51897934983.000000,,51897934983.000000,60238298159.000000,60238298159.000000,,60238298159.000000
12M 2023,363277432550.000000,186157465667.000000,118664178421.000000,41962054515.000000,16493733947.000000,363277432550.000000,-256312425471.000000,-106568371180.000000,-42429716244.000000,-62467342720.000000,-17976127322.000000,-26870868005.000000,,-256312425471.000000,106965007079.000000,,,,,106965007079.000000,-20299431317.000000,86665575762.000000,1692545096.000000,88358120858.000000,86665575762.000000,86665575762.000000,,86665575762.000000,88358120858.000000,88358120858.000000,,88358120858.000000
12M 2024,413112938332.000000,237281274901.000000,107248166117.000000,52986725125.000000,15596772189.000000,413112938332.000000,-305968049606.000000,-117776854409.000000,-65227921463.000000,-61091924742.000000,-20212896497.000000,-41658452495.000000,,-305968049606.000000,107144888726.000000,,,,,107144888726.000000,-18956761655.000000,88188127071.000000,2264187680.000000,90452314751.000000,88188127071.000000,88188127071.000000,,88188127071.000000,90452314751.000000,90452314751.000000,,90452314751.000000
