Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Transaksi Pembiayaan,Penerimaan Dari Pendapatan Bunga,Penerimaan Piutang Lain-Lain,Pembayaran Untuk Transaksi Pembiayaan,Pembayaran Beban Operasional,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Pembayaran Beban Penyelesaian Konsumen,Pembayaran Utang Pajak,Pembayaran Piutang Lain-Lain,Pembayaran Utang Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penjualan Aset Tetap,Penambahan Investasi Jangka Pendek,Penerimaan Dari Penjualan Investasi Jangka Pendek,Penerimaan Dari Penjualan Investasi Pada Entitas Asosiasi,Penerimaan Dari Dividen,Perolehan Aset Tetap,Penerimaan Dari Penjualan Portofolio Efek,Penerimaan Dari Penjualan Aset Yang Dimiliki Untuk Dijual,Perolehan Akuisisi Aset Dan Liabilitas,Perolehan Akuisisi Bisnis,Investasi Pada Portofolio Efek,Penempatan Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penerimaan Dari Efek Utang Yang Diterbitkan,Penerimaan Modal Melalui Penawaran Umum Terbatas,Penerimaan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Utang Bank,Pembayaran Surat Pinjaman,Pembayaran Dividen Kas,Pembayaran Efek Utang Yang Diterbitkan,Pembayaran Pokok Liabilitas Sewa,Pembayaran Beban Emisi Efek Utang Yang Diterbitkan,Pembayaran Beban Emisi Penerbitan Saham,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-11949964662.000000,1191063123853.000000,9142123058.000000,602455561.000000,-998582527240.000000,-134456159632.000000,-57539113888.000000,-15340583940.000000,,,-6839282434.000000,,,-11949964662.000000,-9102946289.000000,1546500000.000000,,,,,-10477763863.000000,28661741666.000000,65000000.000000,,,-28598424092.000000,-300000000.000000,-9102946289.000000,22349117422.000000,404708592580.000000,200000000000.000000,,,,,-317330721951.000000,,-30001827555.000000,-230000000000.000000,,-5026925652.000000,,,,22349117422.000000,1296206471.000000,13867991770.000000,15164198241.000000
12M 2017,-392431135612.000000,1221711082755.000000,881090991.000000,1417547375.000000,-1338430250332.000000,-175430433401.000000,-88983906390.000000,-11641736495.000000,,,-1954530115.000000,,,-392431135612.000000,-19866243820.000000,1225500000.000000,,,,,-21091743820.000000,,,,,,,-19866243820.000000,429924869896.000000,932145466266.000000,300000000000.000000,63037208000.000000,258621386.000000,,,-800825482339.000000,,-30001827555.000000,-30000000000.000000,,-3297853738.000000,-1391262124.000000,,,429924869896.000000,17627490464.000000,15164198241.000000,32791688705.000000
12M 2018,44403802374.000000,1646590246719.000000,449191333.000000,2118823171.000000,-1292659275652.000000,-179269122765.000000,-117238233642.000000,-15015460070.000000,,,-572366720.000000,,,44403802374.000000,-89507027371.000000,1305800000.000000,,,27751445083.000000,8273500000.000000,-22501384721.000000,,950000000.000000,-105086387733.000000,,,-200000000.000000,-89507027371.000000,127201340317.000000,332147938088.000000,300000000000.000000,100037237500.000000,2448656967.000000,-67606882.000000,,-432085051738.000000,,,-170000000000.000000,,-3539926500.000000,-1739907118.000000,,,127201340317.000000,82098115320.000000,32791688705.000000,114889804025.000000
12M 2019,20741673929.000000,1820156472571.000000,1112665127.000000,1821961221.000000,-1485709850461.000000,-190660117877.000000,-102248129336.000000,-22850327316.000000,,,-881000000.000000,,,20741673929.000000,-6777648460.000000,1392440000.000000,,,,,-8170088460.000000,,,,,,,-6777648460.000000,-97294031927.000000,297324262635.000000,,,4142729349.000000,-257890770.000000,,-368500905179.000000,,-30002227962.000000,,,,,,,-97294031927.000000,-83330006458.000000,114412500150.000000,31082493692.000000
12M 2020,434322073484.000000,1359196262622.000000,1293064289.000000,1489063462.000000,-648490988786.000000,-172580259233.000000,-91888342286.000000,-13551628037.000000,,,-1145098547.000000,,,434322073484.000000,399939180.000000,2278100000.000000,,,,,-1878160820.000000,,,,,,,399939180.000000,-405711212498.000000,83442295598.000000,200000000000.000000,,1872277516.000000,-858567093.000000,,-288528351121.000000,,,-393500000000.000000,-5401417398.000000,-2737450000.000000,,,,-405711212498.000000,29010800166.000000,31079094847.000000,60089895013.000000
12M 2021,252749044494.000000,1063292429960.000000,963414017.000000,1935152528.000000,-585681570430.000000,-163655825749.000000,-51129322769.000000,-12232702108.000000,,,-742530955.000000,,,252749044494.000000,547751118.000000,4354485352.000000,,,,,-3806734234.000000,,,,,,,547751118.000000,-245134548058.000000,33653916174.000000,,,290307776681.000000,-2595592244.000000,,-155735297621.000000,,,-406500000000.000000,-4265351048.000000,,,,,-245134548058.000000,8162247554.000000,60089895013.000000,68252142567.000000
12M 2022,-99872034608.000000,994605511903.000000,1424689004.000000,1320143168.000000,-906932656782.000000,-143897762676.000000,-13268132841.000000,-32907736384.000000,,,-216090000.000000,,,-99872034608.000000,49033491100.000000,21395367429.000000,,,,,-9378864334.000000,37016988005.000000,,,,,,49033491100.000000,5416575226.000000,125491519456.000000,,,,-73318373515.000000,,-40477794260.000000,,,,-6278776455.000000,,,,,5416575226.000000,-45421968282.000000,68252142567.000000,22830174285.000000
12M 2023,-429581748180.000000,1310589936917.000000,102083331.000000,360625010.000000,-1529196728744.000000,-154198399230.000000,-14849923199.000000,-42214342265.000000,,,-175000000.000000,,,-429581748180.000000,-136320763.000000,1463795091.000000,,,,,-1600115854.000000,,,,,,,-136320763.000000,425952599395.000000,840832282250.000000,,,,-37003214803.000000,,-369112073684.000000,,,,-8764394368.000000,,,,,425952599395.000000,-3765469548.000000,22830174285.000000,19064704737.000000
12M 2024,-79808114487.000000,1924534742446.000000,72916669.000000,267463902.000000,-1733831790152.000000,-174116825689.000000,-23033393589.000000,-63140903606.000000,-10560324468.000000,,,,,-79808114487.000000,-7649598773.000000,778600000.000000,,,,,-8428198773.000000,,,,,,,-7649598773.000000,94386699227.000000,356771568658.000000,,,,-1228208319.000000,,-232633988383.000000,,-25999672729.000000,,-2523000000.000000,,,,,94386699227.000000,6928985967.000000,19064704737.000000,25993690704.000000
