Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Piutang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Total Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Utang Dari Pihak Ketiga,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,15464198241.000000,,,44821863810.000000,,44821863810.000000,,594888593519.000000,15545019495.000000,610433613014.000000,,58763584740.000000,,58763584740.000000,3332748809.000000,29716244880.000000,61941238351.000000,213128711677.000000,1037602203522.000000,,,316839721721.000000,,5643548255.000000,4053473929.000000,1590074326.000000,5643548255.000000,2433685182.000000,,208879815944.000000,533796771102.000000,,136062710000.000000,145574762150.000000,198795288633.000000,250000000.000000,198545288633.000000,198795288633.000000,,23372671637.000000,503805432420.000000,1037602203522.000000,1360627100.000000
12M 2017,,32791688705.000000,300000000.000000,,26340400752.000000,,26340400752.000000,,1147517930364.000000,10070916442.000000,1157588846806.000000,,83189745100.000000,,83189745100.000000,1884386751.000000,32796916875.000000,91049171856.000000,145401916015.000000,1571343072860.000000,,,448064297782.000000,258621386.000000,16612182489.000000,11760551876.000000,4851630613.000000,16612182489.000000,4278872438.000000,,480384388396.000000,949598362491.000000,,158258910000.000000,185024508026.000000,218963690432.000000,250000000.000000,218713690432.000000,218963690432.000000,,59497601911.000000,621744710369.000000,1571343072860.000000,1582589100.000000
12M 2018,,114412500150.000000,500000000.000000,,234945196852.000000,,234945196852.000000,,1130148333169.000000,3860368573.000000,1134008701742.000000,,115542997188.000000,,115542997188.000000,2311004872.000000,,115035209390.000000,110964904528.000000,1827720514722.000000,,,417152157540.000000,2639671469.000000,16976309980.000000,13213276261.000000,3763033719.000000,16976309980.000000,9294036118.000000,,610232371108.000000,1056294546215.000000,,178266357500.000000,263314390908.000000,288989072795.000000,250000000.000000,288739072795.000000,288989072795.000000,,40856147304.000000,771425968507.000000,1827720514722.000000,1782663575.000000
12M 2019,,31082493692.000000,500000000.000000,,281854472303.000000,,281854472303.000000,,1132423264728.000000,,1132423264728.000000,,86222736111.000000,,86222736111.000000,2607009279.000000,,127372646243.000000,159563017618.000000,1821625639974.000000,,,345024383717.000000,6524510048.000000,21704930757.000000,20720412263.000000,984518494.000000,21704930757.000000,10977351751.000000,,618067603069.000000,1002298779342.000000,,178266357500.000000,263314390908.000000,332768048328.000000,250000000.000000,332518048328.000000,332768048328.000000,,44978063896.000000,819326860632.000000,1821625639974.000000,1782663575.000000
12M 2020,,60089895013.000000,500000000.000000,,240898353833.000000,,240898353833.000000,,849060792020.000000,,849060792020.000000,,100017731265.000000,,100017731265.000000,1572990446.000000,,133395447344.000000,87107143021.000000,1472642352942.000000,,,142365662689.000000,7538220471.000000,20128894126.000000,20071148644.000000,57745482.000000,20128894126.000000,8682896121.000000,,434823280044.000000,613538953451.000000,,178266357500.000000,263314390908.000000,374583450926.000000,250000000.000000,374333450926.000000,374583450926.000000,,42939200157.000000,859103399491.000000,1472642352942.000000,1782663575.000000
12M 2021,,68252142567.000000,500000000.000000,,228565109941.000000,40784205151.000000,269349315092.000000,,663247193022.000000,,663247193022.000000,,69455166299.000000,,69455166299.000000,1820473859.000000,,144834356549.000000,80150472370.000000,1297609119758.000000,,,22274338709.000000,295914468227.000000,19119963940.000000,19042249606.000000,77714334.000000,19119963940.000000,9882960980.000000,,30121541057.000000,377313272913.000000,,178266357500.000000,263314390908.000000,422357541530.000000,400000000.000000,421957541530.000000,422357541530.000000,,56357556907.000000,920295846845.000000,1297609119758.000000,1782663575.000000
12M 2022,,22830174285.000000,,,324196226739.000000,,324196226739.000000,,773361398519.000000,,773361398519.000000,,28370974143.000000,,28370974143.000000,,,133345989142.000000,34367565684.000000,1316472328512.000000,,,107170474295.000000,187555854712.000000,22799457579.000000,22799457579.000000,,22799457579.000000,2591615872.000000,3927983808.000000,11892797242.000000,335938183508.000000,,267399536200.000000,174181212208.000000,490272479517.000000,400000000.000000,489872479517.000000,490272479517.000000,,48680917079.000000,980534145004.000000,1316472328512.000000,2673995362.000000
12M 2023,,19064704737.000000,,,300750055655.000000,,300750055655.000000,,1317995920482.000000,,1317995920482.000000,,37879806055.000000,,37879806055.000000,,,128152846568.000000,46560991861.000000,1850404325358.000000,,,578999016195.000000,150790039909.000000,34722928533.000000,34722928533.000000,,34722928533.000000,8992507528.000000,4026735200.000000,14360419125.000000,791891646490.000000,,267399536200.000000,174181212208.000000,567569738444.000000,400000000.000000,567169738444.000000,567569738444.000000,,49362192016.000000,1058512678868.000000,1850404325358.000000,2673995362.000000
12M 2024,,25993690704.000000,,,383913405503.000000,,383913405503.000000,,1426849393821.000000,,1426849393821.000000,,56475083371.000000,,56475083371.000000,2051172881.000000,,122305551065.000000,25350863678.000000,2042939161023.000000,,,704553263136.000000,149561831590.000000,35801619910.000000,35801619910.000000,,35801619910.000000,10793022956.000000,,19264102541.000000,919973840133.000000,,267399536200.000000,174181212208.000000,630267738189.000000,400000000.000000,629867738189.000000,630267738189.000000,,51116834293.000000,1122965320890.000000,2042939161023.000000,2673995362.000000
