Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.91,3947.74,0.91,3947.74,10 B,2 B,12 B,9 B,33 B
12M 2009,0.58,4137.79,0.58,4137.79,13 B,7 B,20 B,17 B,25 B
12M 2010,0.98,4873.47,0.98,4873.47,6 B,4 B,11 B,9 B,31 B
12M 2011,0.84,5958.61,0.84,5958.61,7 B,2 B,9 B,3 B,43 B
12M 2012,1.03,10158.87,1.03,10158.87,2 B,0 B,2 B,(32 B),77 B
12M 2013,0.70,11507.09,0.70,11507.09,4 B,,4 B,(37 B),88 B
12M 2014,0.53,12078.25,0.53,12078.25,4 B,,4 B,(39 B),88 B
12M 2015,0.49,1171.26,0.49,1171.26,,,,(40 B),78 B
12M 2016,0.48,1222.05,0.48,1222.05,6 B,,6 B,(23 B),63 B
12M 2017,0.47,1350.23,0.47,1350.23,3 B,,3 B,(27 B),69 B
12M 2018,0.42,1382.21,0.42,1382.21,,,,(24 B),74 B
12M 2019,0.40,1183.70,0.40,1183.70,4 B,,4 B,(16 B),58 B
12M 2020,0.37,1128.66,0.37,1128.66,5 B,,5 B,(15 B),57 B
12M 2021,0.62,1203.82,0.62,1203.82,5 B,,5 B,(14 B),67 B
12M 2022,0.53,1162.16,0.53,1162.16,,,,(19 B),64 B
12M 2023,0.40,1091.00,0.40,1091.00,,,,(20 B),58 B
12M 2024,0.39,1020.12,0.39,1020.12,,,,(37 B),54 B
