Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Utang Pembelian Aset Tetap,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2948837132.000000,2447608463.000000,13262242055.000000,13262242055.000000,13262242055.000000,28538526699.000000,4058540763.000000,51255755112.000000,,871640667.000000,9185182349.000000,574627285.000000,100600000.000000,10732050301.000000,61987805413.000000,,,18605671564.000000,8896500000.000000,,3954221777.000000,,3954221777.000000,2440951708.000000,,494855710.000000,,1000000000.000000,,1000000000.000000,1819142369.000000,18605671564.000000,5483838753.000000,,,1916666667.000000,,1916666667.000000,3567172086.000000,5483838753.000000,24089510317.000000,,9600000000.000000,164137360.000000,28134157736.000000,210200000.000000,27923957736.000000,28134157736.000000,37898295096.000000,61987805413.000000,9600000.000000
12M 2009,,,2714439392.000000,2150525296.000000,16555049777.000000,16555049777.000000,16555049777.000000,25152295442.000000,126535905.000000,46698845812.000000,,1203542591.000000,24185809936.000000,534265920.000000,208451721.000000,26132070168.000000,72830915980.000000,,,21976444763.000000,10542000000.000000,,6612860593.000000,,6612860593.000000,71808091.000000,,345513935.000000,,2562500000.000000,,2562500000.000000,1841762144.000000,21976444763.000000,11131669087.000000,,,6854166667.000000,,6854166667.000000,4277502420.000000,11131669087.000000,33108113850.000000,,9600000000.000000,164137360.000000,29958664770.000000,240200000.000000,29718464770.000000,29958664770.000000,39722802130.000000,72830915980.000000,9600000.000000
12M 2010,,,1174514059.000000,2967893375.000000,17520758610.000000,17520758610.000000,17520758610.000000,30182118066.000000,1092663336.000000,52937947446.000000,,1285884185.000000,23302198938.000000,493904555.000000,180111721.000000,25262099399.000000,78200046845.000000,,,21656364472.000000,3348650000.000000,,10185933810.000000,929158081.000000,11115091891.000000,1394216347.000000,,355068020.000000,,2791666667.000000,168840000.000000,2960506667.000000,2482831547.000000,21656364472.000000,9758343899.000000,,,4218750000.000000,56280000.000000,4275030000.000000,5483313899.000000,9758343899.000000,31414708371.000000,,9600000000.000000,164137360.000000,37021201114.000000,262200000.000000,36759001114.000000,37021201114.000000,46785338474.000000,78200046845.000000,9600000.000000
12M 2011,,,6217476683.000000,5145630187.000000,27648764831.000000,27648764831.000000,27648764831.000000,33884617486.000000,1407308917.000000,74303798104.000000,,1562378751.000000,20218277600.000000,242168190.000000,1692510003.000000,23715334544.000000,98019132648.000000,,,31552465802.000000,5000000000.000000,,16848764943.000000,,16848764943.000000,1440982131.000000,,294294300.000000,,1875000000.000000,56280000.000000,1931280000.000000,6037144428.000000,31552465802.000000,9263986690.000000,,,2343750000.000000,,2343750000.000000,6920236690.000000,9263986690.000000,40816452492.000000,,9600000000.000000,164137360.000000,47438542796.000000,292200000.000000,47146342796.000000,47438542796.000000,57202680156.000000,98019132648.000000,9600000.000000
12M 2012,,,34442499058.000000,4147445885.000000,28241866692.000000,28241866692.000000,28241866692.000000,34376450775.000000,624662041.000000,101832924451.000000,,1487358853.000000,23737007239.000000,201806825.000000,1288617998.000000,26714790915.000000,128547715366.000000,,,25036281503.000000,,,16035386337.000000,,16035386337.000000,853982470.000000,,481914523.000000,,1875000000.000000,,1875000000.000000,5789998173.000000,25036281503.000000,5986238681.000000,,,468750000.000000,,468750000.000000,5517488681.000000,5986238681.000000,31022520184.000000,,9600000000.000000,164137360.000000,87761057822.000000,332200000.000000,87428857822.000000,87761057822.000000,97525195182.000000,128547715366.000000,9600000.000000
12M 2013,,,41044269806.000000,4283430533.000000,24299962987.000000,24299962987.000000,24299962987.000000,37794300793.000000,8063045406.000000,115485009525.000000,,1412582840.000000,23305792882.000000,161445460.000000,1332767998.000000,26212589180.000000,141697598705.000000,,,27518969110.000000,4000000000.000000,,8571060759.000000,,8571060759.000000,1975065480.000000,,404493320.000000,,468750000.000000,,468750000.000000,12099599551.000000,27518969110.000000,3710535219.000000,,,,,,3710535219.000000,3710535219.000000,31229504329.000000,,9600000000.000000,164137360.000000,100703957016.000000,432200000.000000,100271757016.000000,100703957016.000000,110468094376.000000,141697598705.000000,9600000.000000
12M 2014,,,42978250961.000000,5087871481.000000,24106193844.000000,24106193844.000000,24106193844.000000,31012674869.000000,4594924983.000000,107779916138.000000,,1503885259.000000,29522279223.000000,121084095.000000,988433540.000000,32135682117.000000,139915598255.000000,,,19357303490.000000,4000000000.000000,,7653658367.000000,,7653658367.000000,676186678.000000,,727240660.000000,,,,,6300217785.000000,19357303490.000000,4607084953.000000,,,,,,4607084953.000000,4607084953.000000,23964388443.000000,,9600000000.000000,164137360.000000,106187072452.000000,632200000.000000,105554872452.000000,106187072452.000000,115951209812.000000,139915598255.000000,9600000.000000
12M 2015,,,40332082742.000000,5346566330.000000,20876982285.000000,20876982285.000000,20876982285.000000,22493024478.000000,77453209.000000,89126109044.000000,,2484802294.000000,27799616826.000000,80722730.000000,14291500147.000000,44656641997.000000,133782751041.000000,,,11018274023.000000,,,4285368280.000000,,4285368280.000000,282208910.000000,,392957807.000000,,,,,6057739026.000000,11018274023.000000,10323099874.000000,1566018584.000000,,,,,8757081290.000000,10323099874.000000,21341373897.000000,,9600000000.000000,164137360.000000,102677239784.000000,732200000.000000,101945039784.000000,102677239784.000000,112441377144.000000,133782751041.000000,96000000.000000
12M 2016,,,28812460126.000000,6160809065.000000,19348826694.000000,19348826694.000000,19348826694.000000,42726524501.000000,1226088660.000000,98274709046.000000,,2557124771.000000,61896024068.000000,40361365.000000,59950000.000000,64553460204.000000,162828169250.000000,,,35476763264.000000,4000000000.000000,,16570800363.000000,,16570800363.000000,1709590065.000000,2193750000.000000,840013221.000000,,,,,10162609615.000000,35476763264.000000,10034936864.000000,2246886325.000000,,,,,7788050539.000000,10034936864.000000,45511700128.000000,,9600000000.000000,164137360.000000,107552331762.000000,832200000.000000,106720131762.000000,107552331762.000000,117316469122.000000,162828169250.000000,96000000.000000
12M 2017,,,30189160500.000000,6433212176.000000,17642819503.000000,17642819503.000000,17642819503.000000,35272492728.000000,32338618.000000,89570023525.000000,,2483576153.000000,55856775347.000000,13166201815.000000,86850000.000000,71593403315.000000,161163426840.000000,,,20918453456.000000,3400000000.000000,,4866035778.000000,,4866035778.000000,2644961560.000000,,507501490.000000,,,,,9499954628.000000,20918453456.000000,10622970307.000000,1414924815.000000,,,,,9208045492.000000,10622970307.000000,31541423763.000000,,9600000000.000000,164137360.000000,119857865717.000000,932200000.000000,118925665717.000000,119857865717.000000,129622003077.000000,161163426840.000000,96000000.000000
12M 2018,,,23551292798.000000,6651683278.000000,20218412284.000000,20218412284.000000,20218412284.000000,31710786600.000000,9456089004.000000,91588263964.000000,,2169841103.000000,53554909787.000000,12652815299.000000,61450000.000000,68439016189.000000,160027280153.000000,,,17303304955.000000,,,9370638675.000000,,9370638675.000000,242547764.000000,,343104162.000000,,,,,7347014354.000000,17303304955.000000,10031766908.000000,1414924815.000000,,,,,8616842093.000000,10031766908.000000,27335071863.000000,,9600000000.000000,164137360.000000,122928070930.000000,1032200000.000000,121895870930.000000,122928070930.000000,132692208290.000000,160027280153.000000,96000000.000000
12M 2019,,,19713496376.000000,6919604398.000000,21730722229.000000,21730722229.000000,21730722229.000000,30934265463.000000,543796328.000000,79841884794.000000,,2629833785.000000,51661745091.000000,12139428783.000000,817749000.000000,67248756659.000000,147090641453.000000,,,21455055711.000000,4000000000.000000,,8643260212.000000,,8643260212.000000,156272101.000000,,357504733.000000,,,,,8298018665.000000,21455055711.000000,12000121855.000000,1414924815.000000,,,,,10585197040.000000,12000121855.000000,33455177566.000000,,9600000000.000000,164137360.000000,103871326527.000000,1132200000.000000,102739126527.000000,103871326527.000000,113635463887.000000,147090641453.000000,96000000.000000
12M 2020,,,20495982336.000000,7115034594.000000,14200610089.000000,14200610089.000000,14200610089.000000,37405812986.000000,732073997.000000,79949514002.000000,,1535449930.000000,49572934760.000000,11626042267.000000,802249000.000000,63536675957.000000,143486189959.000000,,,23270556685.000000,5000000000.000000,,12844999256.000000,,12844999256.000000,49379524.000000,,547106209.000000,,,,,4829071696.000000,23270556685.000000,11864188605.000000,1414924815.000000,,,,,10449263790.000000,11864188605.000000,35134745290.000000,,9600000000.000000,164137360.000000,98587307309.000000,1132200000.000000,97455107309.000000,98587307309.000000,108351444669.000000,143486189959.000000,96000000.000000
