Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,163316661433.000000,-141419861596.000000,21896799837.000000,-6069160309.000000,,-4914733857.000000,-1154426452.000000,-6069160309.000000,,-6069160309.000000,15827639528.000000,-1773018856.000000,124628468.000000,-1411446458.000000,-764404154.000000,,278203288.000000,-1773018856.000000,14054620672.000000,-4817439794.000000,-4965518000.000000,148078206.000000,-4817439794.000000,9237180878.000000,,,9237180878.000000,9237180878.000000,,9237180878.000000,,,,
12M 2009,124810716264.000000,-115081907677.000000,9728808587.000000,-5907230082.000000,,-4962449790.000000,-944780292.000000,-5907230082.000000,,-5907230082.000000,3821578505.000000,68499125.000000,128560391.000000,-967602946.000000,714936740.000000,,192604940.000000,68499125.000000,3890077630.000000,-1489570596.000000,-1821472520.000000,331901924.000000,-1489570596.000000,2400507034.000000,,,2400507034.000000,2400507034.000000,,2400507034.000000,,,,
12M 2010,161011674412.000000,-142989208581.000000,18022465831.000000,-6572228083.000000,,-5361539674.000000,-1210688409.000000,-6572228083.000000,,-6572228083.000000,11450237748.000000,-1133970748.000000,81159492.000000,-1563188635.000000,139548078.000000,,208510317.000000,-1133970748.000000,10316267000.000000,-2965730656.000000,-3048072250.000000,82341594.000000,-2965730656.000000,7350536344.000000,,,7350536344.000000,7350536344.000000,,7350536344.000000,,,,
12M 2011,207522581381.000000,-184399550958.000000,23123030423.000000,-7348182538.000000,,-5920918881.000000,-1427263657.000000,-7348182538.000000,,-7348182538.000000,15774847885.000000,-627206769.000000,148806365.000000,-1187722033.000000,7107361.000000,,404601538.000000,-627206769.000000,15147641116.000000,-4250299434.000000,-4526794000.000000,276494566.000000,-4250299434.000000,10897341682.000000,,10897341682.000000,10897341682.000000,10897341682.000000,,10897341682.000000,10897341682.000000,10897341682.000000,,10897341682.000000
12M 2012,223079062667.000000,-201399834325.000000,21679228342.000000,23533281793.000000,,-7831897594.000000,,-7831897594.000000,31365179387.000000,23533281793.000000,45212510135.000000,-141892711.000000,502985650.000000,-644878361.000000,,,,-141892711.000000,45070617424.000000,-3788102398.000000,-3713082500.000000,-75019898.000000,-3788102398.000000,41282515026.000000,,41282515026.000000,41282515026.000000,41282515026.000000,,41282515026.000000,41282515026.000000,41282515026.000000,,41282515026.000000
12M 2013,256210760822.000000,-229518465841.000000,26692294981.000000,-8647166358.000000,,-8777083539.000000,,-8777083539.000000,129917181.000000,-8647166358.000000,18045128623.000000,1392562584.000000,1924169500.000000,-531606916.000000,,,,1392562584.000000,19437691207.000000,-5054792013.000000,-4980016000.000000,-74776013.000000,-5054792013.000000,14382899194.000000,,14382899194.000000,14382899194.000000,14382899194.000000,,14382899194.000000,14382899194.000000,14382899194.000000,,14382899194.000000
12M 2014,249072012369.000000,-231920099123.000000,17151913246.000000,-8521158825.000000,,-10162858230.000000,,-10162858230.000000,1641699405.000000,-8521158825.000000,8630754421.000000,2376041862.000000,2977124922.000000,-601083060.000000,,,,2376041862.000000,11006796283.000000,-3603680847.000000,-3694983266.000000,91302419.000000,-3603680847.000000,7403115436.000000,,7403115436.000000,7403115436.000000,7403115436.000000,,7403115436.000000,7403115436.000000,7403115436.000000,,7403115436.000000
12M 2015,174598965938.000000,-164218627743.000000,10380338195.000000,-8647643722.000000,,-9666105515.000000,,-9666105515.000000,1018461793.000000,-8647643722.000000,1732694473.000000,2074478407.000000,2562585257.000000,-488106850.000000,,,,2074478407.000000,3807172880.000000,-1862729485.000000,-1345554500.000000,-517174985.000000,-1862729485.000000,1944443395.000000,-1136116942.000000,808326453.000000,1944443395.000000,1944443395.000000,,1944443395.000000,808326453.000000,808326453.000000,,808326453.000000
12M 2016,157855084036.000000,-139395429411.000000,18459654625.000000,-10648725559.000000,,-10440410223.000000,,-10440410223.000000,-208315336.000000,-10648725559.000000,7810929066.000000,1613099576.000000,1866761104.000000,-253661528.000000,,,,1613099576.000000,9424028642.000000,-3171213831.000000,-2944295363.000000,-226918468.000000,-3171213831.000000,6252814811.000000,-897722833.000000,5355091978.000000,6252814811.000000,6252814811.000000,,6252814811.000000,5355091978.000000,5355091978.000000,,5355091978.000000
12M 2017,224371164551.000000,-196416750209.000000,27954414342.000000,-10761344133.000000,,-11354188343.000000,,-11354188343.000000,592844210.000000,-10761344133.000000,17193070209.000000,295166140.000000,964064811.000000,-668898671.000000,,,,295166140.000000,17488236349.000000,-4521122499.000000,-4547047250.000000,25924751.000000,-4521122499.000000,12967113850.000000,298420105.000000,13265533955.000000,12967113850.000000,12967113850.000000,,12967113850.000000,13265533955.000000,13265533955.000000,,13265533955.000000
12M 2018,240029648845.000000,-225148051789.000000,14881597056.000000,-10017134602.000000,,-12137370644.000000,,-12137370644.000000,2120236042.000000,-10017134602.000000,4864462454.000000,160098211.000000,898096981.000000,-737998770.000000,,,,160098211.000000,5024560665.000000,-2137833275.000000,-2205257500.000000,67424225.000000,-2137833275.000000,2886727390.000000,1143477823.000000,4030205213.000000,2886727390.000000,2886727390.000000,,2886727390.000000,4030205213.000000,4030205213.000000,,4030205213.000000
12M 2019,177788235456.000000,-184715494367.000000,-6927258911.000000,-12183377066.000000,,-12584679162.000000,,-12584679162.000000,401302096.000000,-12183377066.000000,-19110635977.000000,515468289.000000,713440829.000000,-197972540.000000,,,,515468289.000000,-18595167688.000000,349600333.000000,,349600333.000000,349600333.000000,-18245567355.000000,-331177048.000000,-18576744403.000000,-18245567355.000000,-18245567355.000000,,-18245567355.000000,-18576744403.000000,-18576744403.000000,,-18576744403.000000
12M 2020,124814032661.000000,-122003030380.000000,2811002281.000000,-11624712873.000000,,-11624712873.000000,,-11624712873.000000,,-11624712873.000000,-8813710592.000000,1319465208.000000,558342029.000000,-355555923.000000,,,1116679102.000000,1319465208.000000,-7494245384.000000,-574243308.000000,,,-574243308.000000,-8068488692.000000,2937107677.000000,-5131381015.000000,-8068488692.000000,-8068488692.000000,,-8068488692.000000,-5131381015.000000,-5131381015.000000,,-5131381015.000000
12M 2021,168551904708.000000,-151926155179.000000,16625749529.000000,-11181597227.000000,,-11181597227.000000,,-11181597227.000000,,-11181597227.000000,5444152302.000000,512448707.000000,317152237.000000,-723599105.000000,,,918895575.000000,512448707.000000,5956601009.000000,557689099.000000,,,557689099.000000,6514290108.000000,700564223.000000,7214854331.000000,6514290108.000000,6514290108.000000,,6514290108.000000,7214854331.000000,7214854331.000000,,7214854331.000000
12M 2022,172869763600.000000,-170150266591.000000,2719497009.000000,-9052656126.000000,,-6988580054.000000,-2064076072.000000,-9052656126.000000,,-9052656126.000000,-6333159117.000000,1838902185.000000,288406600.000000,-325884725.000000,,,1876380310.000000,1838902185.000000,-4494256932.000000,-250293051.000000,,,-250293051.000000,-4744549983.000000,745358950.000000,-3999191033.000000,-4744549983.000000,-4744549983.000000,,-4744549983.000000,-3999191033.000000,-3999191033.000000,,-3999191033.000000
12M 2023,112981196085.000000,-109185322830.000000,3795873255.000000,-11250726668.000000,,-9122538532.000000,-2128188136.000000,-11250726668.000000,,-11250726668.000000,-7454853413.000000,1336772625.000000,618536776.000000,-75000000.000000,,,793235849.000000,1336772625.000000,-6118080788.000000,333696607.000000,,,333696607.000000,-5784384181.000000,-1047075058.000000,-6831459239.000000,-5784384181.000000,-5784384181.000000,,-5784384181.000000,-6831459239.000000,-6831459239.000000,,-6831459239.000000
12M 2024,91618268915.000000,-91160058009.000000,458210906.000000,-10578747955.000000,,-8320219556.000000,-2258528399.000000,-10578747955.000000,,-10578747955.000000,-10120537049.000000,2357952689.000000,931998986.000000,,,127500000.000000,1298453703.000000,2357952689.000000,-7762584360.000000,287189088.000000,,,287189088.000000,-7475395272.000000,670832343.000000,-6804562929.000000,-7475395272.000000,-7475395272.000000,,-7475395272.000000,-6804562929.000000,-6804562929.000000,,-6804562929.000000
