Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pengeluaran Kas Untuk:,Bahan Baku,Beban Pabrikasi,Beban Umum Dan Administrasi,Beban Penjualan,Total Pengeluaran Kas Untuk:,Kas Yang Diterima Dari:,Penghasilan Sewa,Penghasilan Bunga,Penghasilan (Beban) Lain-Lain,Penerimaan Restitusi Pajak,Total Kas Yang Diterima Dari:,Kas Yang Dibayarkan Untuk:,Pajak Penghasilan,Beban Bunga,Penghasilan (Beban) Lain-Lain,Total Kas Yang Dibayarkan Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Uang Muka Pemerintah,Penjualan Properti Investasi,Penjualan Aset Tetap,Pencairan (Penempatan) Deposito Berjangka,Perolehan Aset Tetap,Penjualan Aset Tidak Lancar Tersedia Untuk Dijual,Uang Muka Pembelian Mesin,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen Kas,Penerimaan Dari Lain-Lain,Penerimaan Dari Pendapatan Sewa,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembelian Aset,Uang Muka Perolehan Aset Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,4351799510.000000,162576217818.000000,,,,-140106665947.000000,-7453054045.000000,-4393883034.000000,-1088124916.000000,-153041727942.000000,,,124628468.000000,,,124628468.000000,,-4398875808.000000,-1411446458.000000,503003432.000000,-5307318834.000000,4351799510.000000,-1215176954.000000,,,,3214462635.000000,-380134589.000000,,-4049505000.000000,-1215176954.000000,-3506960312.000000,1624470000.000000,-4737470000.000000,-393960312.000000,,,,,,-3506960312.000000,-370337756.000000,3319174888.000000,,2948837132.000000
12M 2009,4064913956.000000,121173518012.000000,,,,-100643909264.000000,-7311977168.000000,-4332306776.000000,-875705345.000000,-113163898553.000000,,,128560391.000000,,,128560391.000000,,-3960269784.000000,-967602946.000000,854606836.000000,-4073265894.000000,4064913956.000000,-11864575796.000000,,,,297083167.000000,-12161658963.000000,,,-11864575796.000000,7565264100.000000,13000000000.000000,-4854500000.000000,-580235900.000000,,,,,,7565264100.000000,-234397740.000000,2948837132.000000,,2714439392.000000
12M 2010,9647718776.000000,160687726557.000000,,,,-133660380977.000000,-8512833716.000000,-4081114693.000000,-1093981379.000000,-147348310765.000000,,,81159492.000000,,,81159492.000000,,-1725663994.000000,-1563188635.000000,-484003879.000000,-3772856508.000000,9647718776.000000,-1042072534.000000,,,26500000.000000,-817368079.000000,-251204455.000000,,,-1042072534.000000,-10145571575.000000,2000000000.000000,-11599600000.000000,-288691575.000000,,,-112560000.000000,,-144720000.000000,-10145571575.000000,-1539925333.000000,2714439392.000000,,1174514059.000000
12M 2011,5100086069.000000,197025464892.000000,,,,-171222254601.000000,-9152619312.000000,-4474205828.000000,-1266999804.000000,-186116079545.000000,,,148806365.000000,,,148806365.000000,,-4395811471.000000,-1187722033.000000,-374572139.000000,-5958105643.000000,5100086069.000000,1719765097.000000,3952600000.000000,438030000.000000,,-2177736812.000000,-493128091.000000,,,1719765097.000000,-1776888542.000000,2000000000.000000,-3140316667.000000,-467731875.000000,,,-168840000.000000,,,-1776888542.000000,5042962624.000000,1174514059.000000,,6217476683.000000
12M 2012,10588729023.000000,224325892611.000000,,,,-189739947401.000000,-10888093642.000000,-5853065622.000000,-1586474906.000000,-208067581571.000000,,,502985650.000000,,,502985650.000000,,-4923550498.000000,-644878361.000000,-604138808.000000,-6172567667.000000,10588729023.000000,25211957017.000000,,,,998184302.000000,-5355422285.000000,29569195000.000000,,25211957017.000000,-7632205450.000000,,-6875000000.000000,-700925450.000000,,,-56280000.000000,,,-7632205450.000000,28168480590.000000,6217476683.000000,56541785.000000,34442499058.000000
12M 2013,13814790256.000000,264166680440.000000,,,,-222836805878.000000,-14101619534.000000,-9360571743.000000,-1712666612.000000,-248011663767.000000,,,1924169500.000000,,,1924169500.000000,,-3858932990.000000,-531606916.000000,126143989.000000,-4264395917.000000,13814790256.000000,-8975089665.000000,,,28000000.000000,-135984648.000000,-1464118646.000000,,-7402986371.000000,-8975089665.000000,1470645465.000000,4000000000.000000,-1406250000.000000,-1123104535.000000,,,,,,1470645465.000000,6310346056.000000,34442499058.000000,291424692.000000,41044269806.000000
12M 2014,9999770412.000000,243846933901.000000,,,,-207814492062.000000,-16183390761.000000,-7409888802.000000,-1882359255.000000,-233290130880.000000,,,2977124922.000000,,172806232.000000,3149931154.000000,,-4769701563.000000,-597583060.000000,1660320860.000000,-3706963763.000000,9999770412.000000,-5832558030.000000,,,,-804440948.000000,-8514515494.000000,,3486398412.000000,-5832558030.000000,-2627055750.000000,46000000000.000000,-46468750000.000000,-2158305750.000000,,,,,,-2627055750.000000,1540156632.000000,41044269806.000000,393824523.000000,42978250961.000000
12M 2015,10910801951.000000,176608401952.000000,,,,-141609704194.000000,-15235008395.000000,-7606691459.000000,-1834446617.000000,-166285850665.000000,,,2562585257.000000,,,2562585257.000000,,-1483827960.000000,-491606850.000000,1100217.000000,-1974334593.000000,10910801951.000000,-9655863652.000000,,,,-258694849.000000,-618352196.000000,,-8778816607.000000,-9655863652.000000,-4801875450.000000,,-4000000000.000000,-801875450.000000,,,,,,-4801875450.000000,-3546937151.000000,42978250961.000000,900768932.000000,40332082742.000000
12M 2016,6871373245.000000,161961010125.000000,,,,-132401457317.000000,-14059345336.000000,-7619960085.000000,-2219726698.000000,-156300489436.000000,,,1866761104.000000,,522567927.000000,2389329031.000000,,-962338826.000000,-253661528.000000,37523879.000000,-1178476475.000000,6871373245.000000,-21581081020.000000,,,,-814242735.000000,-20766838285.000000,,,-21581081020.000000,3432424375.000000,4000000000.000000,,-567575625.000000,,,,,,3432424375.000000,-11277283400.000000,40332082742.000000,-242339216.000000,28812460126.000000
12M 2017,15388660677.000000,228770966698.000000,,,,-181386562320.000000,-16587218693.000000,-9703105570.000000,-2335110734.000000,-210011997317.000000,,,964064811.000000,,,964064811.000000,,-3704152045.000000,-668898671.000000,38677201.000000,-4334373515.000000,15388660677.000000,-10191221064.000000,,,,-272403111.000000,-9918817953.000000,,,-10191221064.000000,-3899656250.000000,,-600000000.000000,-1105906250.000000,,,,-2193750000.000000,,-3899656250.000000,1297783363.000000,28812460126.000000,78917011.000000,30189160500.000000
