Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,3949433893.000000,238008891.000000,238008891.000000,,238008891.000000,3829550676.000000,2181740279.000000,1647810397.000000,3829550676.000000,3818563574.000000,,770794997.000000,12606352031.000000,,2754380078.000000,478086177.000000,,649129630.000000,3881595885.000000,16487947916.000000,,,11913990066.000000,,,,286552019.000000,286552019.000000,,240736555.000000,6916357993.000000,7157094548.000000,744475392.000000,3725868107.000000,,,,,,11913990066.000000,1441576033.000000,,,,1441576033.000000,1441576033.000000,13355566099.000000,,1250000000.000000,,1882381817.000000,,,1882381817.000000,,3132381817.000000,16487947916.000000,1111112000.000000
12M 2011,,,68662206214.000000,164911608886.000000,113276735538.000000,51634873348.000000,164911608886.000000,17078723614.000000,17078723614.000000,,17078723614.000000,467815841605.000000,,133290988041.000000,851759368360.000000,,24005723260.000000,1713323497.000000,564707251.000000,15398413291.000000,41682167299.000000,893441535659.000000,,,708987791756.000000,485056878124.000000,,26828870576.000000,165322971566.000000,192151842142.000000,,586306002.000000,,586306002.000000,3967221000.000000,27225544488.000000,,,,,,708987791756.000000,4830318000.000000,,,,4830318000.000000,4830318000.000000,713818109756.000000,,100000000000.000000,,79535026204.000000,,,79535026204.000000,88399699.000000,179623425903.000000,893441535659.000000,1111112000.000000
12M 2012,,,74256418153.000000,9180906968.000000,8900691828.000000,280215140.000000,9180906968.000000,92059624100.000000,92059624100.000000,,92059624100.000000,517305898874.000000,,281858102893.000000,974660950988.000000,,30453368475.000000,4749340113.000000,564707251.000000,19696239699.000000,55463655538.000000,1030124606526.000000,,,607416365865.000000,475627958557.000000,,52560396341.000000,47427650310.000000,99988046651.000000,,2983026083.000000,,2983026083.000000,6535389044.000000,21855000304.000000,,,,,426945226.000000,607416365865.000000,6880414000.000000,,,,6880414000.000000,6880414000.000000,614296779865.000000,,111111200000.000000,111965340160.000000,192733759325.000000,,,192733759325.000000,17527176.000000,415827826661.000000,1030124606526.000000,1111112000.000000
12M 2013,,,61401592387.000000,92985148955.000000,10391770958.000000,82593377997.000000,92985148955.000000,388221345967.000000,386993547025.000000,1227798942.000000,388221345967.000000,634614170232.000000,,244885350324.000000,1422107607865.000000,,32307467207.000000,13268771434.000000,564707251.000000,20283393324.000000,66424339216.000000,1488531947081.000000,,,1005187905968.000000,469651176287.000000,,76405747121.000000,416453802128.000000,492859549249.000000,,2015056246.000000,,2015056246.000000,3684508923.000000,29631157769.000000,,,,,7346457494.000000,1005187905968.000000,9140757000.000000,,,,9140757000.000000,9140757000.000000,1014328662968.000000,,111111200000.000000,111965340160.000000,251103889778.000000,500000000.000000,250603889778.000000,251103889778.000000,22854175.000000,474203284113.000000,1488531947081.000000,1111112000.000000
12M 2014,,,19404244559.000000,377726821847.000000,25723271929.000000,352003549918.000000,377726821847.000000,638384017968.000000,638384017968.000000,,638384017968.000000,519269869395.000000,,228096339198.000000,1782881292967.000000,,27522057427.000000,19103754972.000000,564707251.000000,21462911606.000000,68653431256.000000,1851534724223.000000,,,1274133300444.000000,493884117028.000000,,15986701412.000000,729211349634.000000,745198051046.000000,,722972958.000000,,722972958.000000,4518230287.000000,16284086941.000000,,,,,13525842184.000000,1274133300444.000000,10754478000.000000,,,,10754478000.000000,10754478000.000000,1284887778444.000000,,111111200000.000000,111965340160.000000,343543577810.000000,1500000000.000000,342043577810.000000,343543577810.000000,26827809.000000,566646945779.000000,1851534724223.000000,1111112000.000000
12M 2015,,,1335044495.000000,15016905378.000000,15016905378.000000,,15016905378.000000,239966054.000000,239966054.000000,,239966054.000000,35403493313.000000,,13807983388.000000,65803392628.000000,,11011229960.000000,2297170183.000000,,44833112161.000000,58141512304.000000,123944904932.000000,,,681942173566.000000,494957211452.000000,,98512053624.000000,53652330606.000000,152164384230.000000,,2551680022.000000,,2551680022.000000,4223176630.000000,22819245052.000000,,,,,5226476180.000000,681942173566.000000,4279737000.000000,,,,4279737000.000000,4279737000.000000,686221910566.000000,,111111200000.000000,111965340160.000000,-785352619208.000000,2500000000.000000,-787852619208.000000,-785352619208.000000,-926586.000000,-562277005634.000000,123944904932.000000,1111112000.000000
12M 2016,,,1832847697.000000,3006453792.000000,3006453792.000000,,3006453792.000000,345674530.000000,345674530.000000,,345674530.000000,25153743964.000000,,10564939924.000000,40903659907.000000,,5887525921.000000,4097346946.000000,,23710733315.000000,33695606182.000000,74599266089.000000,,,257403914084.000000,,,130322672506.000000,101020626214.000000,231343298720.000000,,1060941995.000000,,1060941995.000000,5454604559.000000,14933618630.000000,,,,,4611450180.000000,257403914084.000000,497225633261.000000,494957211452.000000,,,2268421809.000000,497225633261.000000,754629547345.000000,,111111200000.000000,112080440160.000000,-903219844846.000000,2500000000.000000,-905719844846.000000,-903219844846.000000,-2076570.000000,-680030281256.000000,74599266089.000000,1111112000.000000
12M 2017,,,2588245611.000000,1314621872.000000,415933667.000000,898688205.000000,1314621872.000000,222509249.000000,222509249.000000,,222509249.000000,20750233459.000000,,7625257448.000000,32500867639.000000,,4259672661.000000,2092670385.000000,,21958879660.000000,28311222706.000000,60812090345.000000,,,247283351333.000000,,,54864836434.000000,183047559669.000000,237912396103.000000,,816257966.000000,,816257966.000000,5687189180.000000,2867508084.000000,,,,,,247283351333.000000,497560777542.000000,494957211452.000000,,,2603566090.000000,497560777542.000000,744844128875.000000,,111111200000.000000,122642169422.000000,-917783237109.000000,2500000000.000000,-920283237109.000000,-917783237109.000000,-2170843.000000,-684032038530.000000,60812090345.000000,1111112000.000000
12M 2018,,,2540049145.000000,3714568633.000000,3714568633.000000,,3714568633.000000,,,,,5446754499.000000,,10434928592.000000,22136300869.000000,,2809271072.000000,1775599878.000000,,10458956694.000000,15043827644.000000,37180128513.000000,,,258420563998.000000,,,45820108194.000000,194132985140.000000,239953093334.000000,,856121127.000000,,856121127.000000,5901990538.000000,85458999.000000,,11623900000.000000,,11623900000.000000,,258420563998.000000,484071843890.000000,482583311452.000000,153248371.000000,,1335284067.000000,484071843890.000000,742492407888.000000,,111111200000.000000,122642169422.000000,-939063386010.000000,2500000000.000000,-941563386010.000000,-939063386010.000000,-2262787.000000,-705312279375.000000,37180128513.000000,1111112000.000000
12M 2019,,,660335720.000000,888501036.000000,888501036.000000,,888501036.000000,553893063.000000,,,553893063.000000,586633025.000000,,3726086561.000000,6415449405.000000,,1350165824.000000,274713621.000000,,238085542.000000,1862964987.000000,8278414392.000000,,,300809467631.000000,,,17876676150.000000,184696535930.000000,202573212080.000000,48038375452.000000,,,48038375452.000000,3591160591.000000,1035784421.000000,,45570935087.000000,,45570935087.000000,,300809467631.000000,452441152549.000000,447936276365.000000,3406021698.000000,,1098854486.000000,452441152549.000000,753250620180.000000,,111111200000.000000,122642169422.000000,-978723211762.000000,2500000000.000000,-981223211762.000000,-978723211762.000000,-2363448.000000,-744972205788.000000,8278414392.000000,1111112000.000000
