Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,1861273054464.000000,-1615841330461.000000,245431724003.000000,-109581074303.000000,-135242386239.000000,,,25661311936.000000,-109581074303.000000,135850649700.000000,-32312984751.000000,456431102.000000,-32769415853.000000,,,-32312984751.000000,103537664949.000000,-25961595151.000000,-25961595151.000000,,-25961595151.000000,,77576069798.000000,,77576069798.000000,77576069798.000000,77652644387.000000,-76574589.000000,77576069798.000000,77576069798.000000,77652644387.000000,-76574589.000000,77576069798.000000
12M 2012,2963941613778.000000,-2626308760339.000000,337632853439.000000,-137243850031.000000,-188887757359.000000,,,51643907328.000000,-137243850031.000000,200389003408.000000,-48443807413.000000,184260944.000000,-48628068357.000000,,,-48443807413.000000,151945195995.000000,-38817335397.000000,-38817335397.000000,,-38817335397.000000,,113127860598.000000,,113127860598.000000,113127860598.000000,113198733121.000000,-70872523.000000,113127860598.000000,113127860598.000000,113198733121.000000,-70872523.000000,113127860598.000000
12M 2013,3887252590039.000000,-3541475643790.000000,345776946249.000000,-143180120841.000000,-244676968890.000000,,,101496848049.000000,-143180120841.000000,202596825408.000000,-47569279371.000000,266374487.000000,-47835653858.000000,,,-47569279371.000000,155027546037.000000,-39985376585.000000,-39985376585.000000,,-39985376585.000000,,115042169452.000000,,115042169452.000000,115042169452.000000,115036842453.000000,5326999.000000,115042169452.000000,115042169452.000000,115036842453.000000,5326999.000000,115042169452.000000
12M 2014,4037217247921.000000,-3668987969519.000000,368229278402.000000,-189561384398.000000,-234891570634.000000,,,45330186236.000000,-189561384398.000000,178667894004.000000,-53788571627.000000,400530933.000000,-54189102560.000000,,,-53788571627.000000,124879322377.000000,-32751961961.000000,-32751961961.000000,,-32751961961.000000,,92127360416.000000,316301250.000000,92443661666.000000,92127360416.000000,92123417915.000000,3942501.000000,92127360416.000000,92443661666.000000,92439688032.000000,3973634.000000,92443661666.000000
12M 2015,2531562923703.000000,-2422350142987.000000,109212780716.000000,-1165941756903.000000,-103633772708.000000,,-1082927323653.000000,20619339458.000000,-1165941756903.000000,-1056728976187.000000,-56699727437.000000,160916694.000000,-56860644131.000000,,,-56699727437.000000,-1113428703624.000000,-16478750780.000000,,-16478750780.000000,-16478750780.000000,,-1129907454404.000000,983502991.000000,-1128923951413.000000,-1129907454404.000000,-1129879707220.000000,-27747184.000000,-1129907454404.000000,-1128923951413.000000,-1128896197018.000000,-27754395.000000,-1128923951413.000000
12M 2016,562959661885.000000,-530362414983.000000,32597246902.000000,-112875851294.000000,-40698117087.000000,,-79712338365.000000,7534604158.000000,-112875851294.000000,-80278604392.000000,-39759759563.000000,35527488.000000,-39795287051.000000,,,-39759759563.000000,-120038363955.000000,1892629656.000000,,1892629656.000000,1892629656.000000,,-118145734299.000000,277358677.000000,-117868375622.000000,-118145734299.000000,-118144584315.000000,-1149984.000000,-118145734299.000000,-117868375622.000000,-117867225638.000000,-1149984.000000,-117868375622.000000
12M 2017,621534450144.000000,-589822245528.000000,31712204616.000000,-18884438365.000000,-37219545093.000000,,-19503864995.000000,37838971723.000000,-18884438365.000000,12827766251.000000,-25432900015.000000,55544947.000000,-25488444962.000000,,,-25432900015.000000,-12605133764.000000,-2064863021.000000,-95689875.000000,-1969173146.000000,-2064863021.000000,,-14669996785.000000,106510249.000000,-14563486536.000000,-14669996785.000000,-14669902512.000000,-94273.000000,-14669996785.000000,-14563486536.000000,-14563392263.000000,-94273.000000,-14563486536.000000
12M 2018,514434171115.000000,-479607062647.000000,34827108468.000000,-30742268109.000000,-24087854625.000000,,-12622132656.000000,5967719172.000000,-30742268109.000000,4084840359.000000,-25135637627.000000,24916877.000000,-25160554504.000000,,,-25135637627.000000,-21050797268.000000,-334377149.000000,-52284500.000000,-282092649.000000,-334377149.000000,,-21385174417.000000,104933572.000000,-21280240845.000000,-21385174417.000000,-21385082473.000000,-91944.000000,-21385174417.000000,-21280240845.000000,-21280148901.000000,-91944.000000,-21280240845.000000
12M 2019,238615469362.000000,-227423967638.000000,11191501724.000000,-3310346219.000000,-13753763369.000000,,-5491231060.000000,15934648210.000000,-3310346219.000000,7881155505.000000,-45178758070.000000,13622712.000000,-45192380782.000000,,,-45178758070.000000,-37297602565.000000,-2427998895.000000,-949004750.000000,-1478994145.000000,-2427998895.000000,,-39725601460.000000,65675047.000000,-39659926413.000000,-39725601460.000000,-39725499627.000000,-101833.000000,-39725601460.000000,-39659926413.000000,-39659825752.000000,-100661.000000,-39659926413.000000
12M 2020,30671505593.000000,-28603624638.000000,2067880955.000000,-408123514.000000,-3843034228.000000,,-4417158562.000000,7852069276.000000,-408123514.000000,1659757441.000000,-52322507120.000000,68351598.000000,-52390858718.000000,,,-52322507120.000000,-50662749679.000000,54626909.000000,,54626909.000000,54626909.000000,,-50608122770.000000,17460813.000000,-50590661957.000000,-50608122770.000000,-50608081748.000000,-41022.000000,-50608122770.000000,-50590661957.000000,-50590620832.000000,-41125.000000,-50590661957.000000
