Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan, Dan Lainnya",Pemasok,Karyawan,"Total Pembayaran Kas Kepada Pemasok, Karyawan, Dan Lainnya",Penerimaan Bunga,Penerimaan Klaim Pajak Badan Lebih Bayaran,Pembayaran Untuk :,Pajak Penghasilan,Beban Bunga,Total Pembayaran Untuk :,Pendapatan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari Perusahaan Asosiasi,Pencairan Investasi Jangka Pendek Reksadana,Penempatan Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Penerimaan (Pengembalian) Dari Uang Jaminan,Penambahan Investasi Jangka Panjang Lainnya,Pembayaran Uang Muka Dan Jaminan Tanah,Pembayaran Uang Muka Investasi,Penjualan Aset Sewa Pembiayaan,Perolehan Aset Tetap,Perolehan Properti Investasi,Perolehan Aset Sewa Dan Pembiayaan,Pelepasan (Pembelian) Investasi Saham Asosiasi,Pembayaran Untuk Proyek Pembangunan Gedung,Penambahan Uang Muka Proyek Dan Pembelian Tanah,Penempatan Dana Pada Investasi Lain-Lain,Perolehan Penjualan Hak Opsi,Perolehan Penjualan Anak Perusahaan,Pencairan (Penempatan) Aset Keuangan Lainnya,Pencarian Investasi Efek Tersedia Dijual-Saham,Penambahan Beban Tangguhan Atas Tanah,Penambahan Dari Penjualan Aset Sewa Pembiayaan,Pembayaran Uang Muka,Pembayaran Uang Muka Lain-Lain,Pemberian Pinjaman Jangka Panjang,Uang Jaminan,Perolehan Investasi Pada Perusahaan Investasi,Hasil Penjualan Investasi Jangka Pendek,Penurunan (Kenaikan) Uang Muka,Pendapatan Bunga,Biaya Bunga,Penempatan Pada Efek Tersedia Dijual,Penambahan Tanah Untuk Dikembangkan,Akuisisi Kepentingan Non Pengendali,Akusisi Anak Perusahaan - Setelah Dikurangi Kas Masuk,Hasil Penjualan Investasi Pada Entitas Asosiasi,Hasil Penjualan Dan Penghapusan Properti Investasi,Pencairan Piutang Lain-Lain,Penempatan Aset Keuangan Tersedia Untuk Dijual,Penjualan Aset Keuangan Tersedia Untuk Dijual,Penjualan Aset Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Pengurangan (Penambahan) Aset Lainnya,Pengurangan (Penambahan) Aset Tidak Lancar Lainnya,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Penerbitan Modal Saham,Penerimaan Dari Utang Bank,Penerimaan Pendapatan Diterima Dimuka Sehubungan Dengan Pembangunan Gedung,Penambahan (Pembayaran) Utang Bank,Perolehan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Utang Jangka Panjang,Pembayaran Utang Jangka Pendek,Pembayaran Anjak Piutang,Hasil Dari Pelaksanaan Opsi Saham Karyawan,Akuisisi Kepentingan Non-Pengendali,Pembayaran Emisi Saham,Penerimaan Dari Lembaga Pembiayaan,Pembayaran Kepada Bank Dan Lembaga Pembiayaan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Dividen,Perusahaan,Entitas Anak Tidak Langsung,Total Pembayaran Dividen,Penerimaan Dana Syirkah Temporer - Net,Pembayaran Dana Syirkah Temporer - Net,Peneriman Dari Penerbitan Saham,Penerimaan Dari Penerbitan Saham Entitas Anak Tidak Langsung,Pengembalian Kas Yang Dibatasi Penggunaannya,Pembayaran Utang Kepada Pihak-Pihak Berelasi,Penerimaan Uang Muka Setoran Modal,Perusahaan,Entitas Anak,Total Penerimaan Uang Muka Setoran Modal,Penambahan (Pembayaran) Utang Lainnya,Pembayaran (Pelunasan) Dari Pinjaman,Penambahan Rekening Escrow,Pembayaran Obligasi Konversi,Penerimaan Dari Right Issue,Penerimaan Dari Uang Muka Pemesanan Saham,Penerimaan Uang Muka Setoran Modal Perusahaan,Pembayaran Utang Wesel Bayar,Kas Yang Dibatasi Penggunaannya,Penerimaan Setoran Modal,Hasil Penjualan Saham Yang Diperoleh Kembali,Pembayaran Biaya Transaksi Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penurunan Pada Dana Penggatian Furnitur Dan Perlengkapan Hotel,Dampak Konsolidasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,137729438366.000000,42497600138.000000,-60445008803.000000,,,-60445008803.000000,3166209795.000000,,,-6701831402.000000,-3437014942.000000,-10138846344.000000,162649483580.000000,137729438366.000000,-1357739965938.000000,918137593.000000,,,,,,,,,-106908978486.000000,,,,,,,,,,,,,,,-8703415641.000000,,-26322761100.000000,100199475000.000000,,,,-675865404170.000000,,,-769093000000.000000,,,128035980866.000000,,,,,,,,-1357739965938.000000,1225300100898.000000,,,,13829602242.000000,,-422966061.000000,-96911464473.000000,,-11899310700.000000,,,,,,,,,,,,,,,,,,,,,,95288960640.000000,,,1205995000000.000000,18765279250.000000,,,,655000000.000000,,,1225300100898.000000,5289573326.000000,4068076360.000000,,,,9357649686.000000
12M 2009,12038249588.000000,47404868689.000000,-30917855979.000000,,,-30917855979.000000,62256304.000000,,,-4816785866.000000,-5174675936.000000,-9991461802.000000,5480442376.000000,12038249588.000000,-3081861662.000000,3000000000.000000,,,378528900.000000,,,,,,-6460390562.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3081861662.000000,-2536531045.000000,,,,19726385891.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-22262916936.000000,,,,,,,,,,,-2536531045.000000,6419856881.000000,9357649686.000000,,,,15777506567.000000
12M 2010,13167401400.000000,78402929896.000000,-52594740529.000000,,,-52594740529.000000,149192748.000000,,,-5502248931.000000,-7783361995.000000,-13285610926.000000,495630211.000000,13167401400.000000,56049372540.000000,5093911875.000000,,47000000000.000000,38200000.000000,,,,-9514895556.000000,,-691935426.000000,,,14124091647.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56049372540.000000,-25404746136.000000,,,,-14039033809.000000,,-704486894.000000,,,-188798420.000000,,,,,,,-7051779000.000000,,,-7051779000.000000,,,,,,-3420648013.000000,,,,,,,,,,,,,,,,,-25404746136.000000,43812027804.000000,15777506567.000000,,,,59589534371.000000
12M 2011,17365391244.000000,70721836752.000000,-43603036699.000000,,,-43603036699.000000,169156150.000000,,,-9922564959.000000,,-9922564959.000000,,17365391244.000000,-57586793949.000000,4859650188.000000,54008524410.000000,-83000000000.000000,,,,,,,-3449354145.000000,,-950000000.000000,-4635200000.000000,-24565282370.000000,,,,,,7130704875.000000,-9285836907.000000,,,,,,,,,,,,,,,,,2300000000.000000,,,,,,,,-57586793949.000000,-7254112823.000000,,16000000000.000000,,-15913761587.000000,817920000.000000,-400994130.000000,,,-310121472.000000,,,,,,-7447155634.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-7254112823.000000,-47475515528.000000,59589534371.000000,,,,12114018843.000000
12M 2012,109645484665.000000,407756829796.000000,-279868279639.000000,,,-279868279639.000000,2556621037.000000,,,-20799686529.000000,,-20799686529.000000,,109645484665.000000,-219760961540.000000,79455402250.000000,,-99297069670.000000,,,,,,,-114016738402.000000,,652602838.000000,-36113433589.000000,-157691956227.000000,,,,,,73192214875.000000,-68876580050.000000,,,,,,,,,,,,,,,,,102934596435.000000,,,,,,,,-219760961540.000000,139185280581.000000,,178051746500.000000,,-56536096952.000000,2188623829.000000,-589794812.000000,,,-337942413.000000,9472365937.000000,,,,,-22588137940.000000,,,,,,,,,,,,,,,29524516432.000000,,,,,,,,,,,,139185280581.000000,29069803706.000000,12114018843.000000,-23022665303.000000,75940035918.000000,,94101193164.000000
12M 2013,33023081912.000000,618639824726.000000,,-389935346530.000000,-145231201913.000000,-535166548443.000000,7450071306.000000,,,-29931927126.000000,-27968338551.000000,-57900265677.000000,,33023081912.000000,-2533332805208.000000,38202421250.000000,,,99166668.000000,,-1395392000000.000000,,,,-409020109316.000000,,,,-24683239904.000000,,,,,,,,,,,,,,,,,,,,,-803453386597.000000,,,,-19048440009.000000,,,,79962782700.000000,,,-2533332805208.000000,2497502722328.000000,2184795012800.000000,599892724638.000000,,,,-1384582515.000000,,,-279283255.000000,6694201119.000000,,,,-283912315756.000000,,-17344350000.000000,,,-17344350000.000000,,,,,,,,,,,,,,-34751500000.000000,49347666782.000000,,,,,,,-5554851485.000000,2497502722328.000000,-2807000968.000000,94101193154.000000,,1079736603.000000,,92373928789.000000
12M 2014,121201054105.000000,1016236293873.000000,-828444034177.000000,,,-828444034177.000000,3823525469.000000,,,-12406217158.000000,-58008513902.000000,-70414731060.000000,,121201054105.000000,-2050240578926.000000,38796516500.000000,,,267464123.000000,,-150000000000.000000,-796987312657.000000,,,-657648146685.000000,,,-30764608973.000000,,,,,,,,-279252164879.000000,,,,,,,,,,,,-133222573466.000000,,8486450116.000000,,,,13727545549.000000,,,,-50000000000.000000,,-13643748554.000000,-2050240578926.000000,2107384428519.000000,2228565057360.000000,564097535409.000000,,,,,170000000000.000000,,-185848582.000000,20356364588.000000,-956023500000.000000,,,-124900698117.000000,,,-63506969090.000000,-1945718750.000000,-65452687840.000000,,,,,,,,,,,,,,-14121960000.000000,,,,,,,285050165701.000000,,2107384428519.000000,178344903698.000000,92373928789.000000,,,288075419.000000,271006907906.000000
12M 2015,273959729057.000000,1159432671846.000000,-783920259345.000000,,,-783920259345.000000,6807051159.000000,,,-37564367438.000000,-70795367165.000000,-108359734603.000000,,273959729057.000000,-1273848523652.000000,63900161000.000000,,,162500000.000000,,-225000000000.000000,-263935280000.000000,,,-649863919092.000000,,,,,,,,,,,-106804143982.000000,,,,,-79252875000.000000,,,,,690609159935.000000,,,,,,,,214466368876.000000,,,,-918130495389.000000,,,-1273848523652.000000,1055962446120.000000,557051306000.000000,635897921849.000000,,,,,,,-44501675.000000,24550677518.000000,,,,-181975506866.000000,,,-68149527170.000000,-279999401.000000,-68429526571.000000,,,,,,,,,,,,,,-8173165000.000000,,,,,-11519613000.000000,,108604853865.000000,,1055962446120.000000,56073651525.000000,271006907906.000000,,,3025402158.000000,330105961589.000000
12M 2016,98157187625.000000,894816518447.000000,-678629890492.000000,,,-678629890492.000000,31759297412.000000,,,-63244611254.000000,-86544126488.000000,-149788737742.000000,,98157187625.000000,-668256974234.000000,,,,1351149313.000000,,,,,,-1106427212516.000000,,,,,,,,,,,-75416739327.000000,,-118070889975.000000,,,-122449731000.000000,,,,,102541307686.000000,,,-290557796100.000000,,680641500000.000000,,,375134144263.000000,,,,-115002706578.000000,,,-668256974234.000000,433339902059.000000,,911092448082.000000,,,,,,,-737898881.000000,465455238.000000,,,,-426160672131.000000,,,-41346403422.000000,,-41346403422.000000,80000000000.000000,-2666666667.000000,,,,,,,,,,,,-5166079975.000000,,,,,-82140280185.000000,,,,433339902059.000000,-136759884550.000000,330105961589.000000,,,-725344063.000000,192620732976.000000
12M 2017,-145077620868.000000,883862252896.000000,-861696630038.000000,,,-861696630038.000000,6330931159.000000,,,-43639183702.000000,-129934991183.000000,-173574174885.000000,,-145077620868.000000,-809314267786.000000,,,,14517495653.000000,,,,,,-936212178733.000000,,,,,,,,,,,-58344437151.000000,,-126760540500.000000,,,-447358000000.000000,,,,,97120201000.000000,,,-51595000000.000000,,,,,2238852683337.000000,,,-996958168453.000000,-541319608357.000000,,-1256714582.000000,-809314267786.000000,957895502815.000000,,1156649900268.000000,,,,,,,-605470013.000000,,,,,-984559745455.000000,,,,,,,-8000000000.000000,747357930732.000000,,88150026764.000000,,,,,,-19262078053.000000,,,-1459137571.000000,,,,-170000000.000000,-17355923857.000000,-2850000000.000000,,,957895502815.000000,3503614161.000000,192620732976.000000,,,231514486.000000,196355861623.000000
