Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Wesel Bayar,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Obligasi Konversi,Liabilitas Pajak Tangguhan,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,9357649686.000000,14755742032.000000,11335662332.000000,3420079700.000000,14755742032.000000,4472925856.000000,,,4472925856.000000,,,,,437854147604.000000,466440465178.000000,,,,519418941616.000000,,7349706205.000000,,1026023219120.000000,1552791866941.000000,2019232332119.000000,,,45445915924.000000,,,,212401245.000000,1380048891.000000,1592450136.000000,,4698593433.000000,2865441421.000000,7564034854.000000,2164118102.000000,1811439790.000000,,23857312500.000000,478239599.000000,,24335552099.000000,7978320943.000000,45445915924.000000,302651666271.000000,,75326692500.000000,299780589.000000,,75626473089.000000,87891410132.000000,76650000000.000000,,,62483783050.000000,302651666271.000000,348097582195.000000,,1762944750000.000000,-8239901904.000000,-97262323775.000000,,,-97262323775.000000,65523384.000000,13626702219.000000,1671134749924.000000,2019232332119.000000,3525889500.000000
12M 2009,,,15777506567.000000,26077992548.000000,13540417835.000000,12537574713.000000,26077992548.000000,23503789793.000000,,,23503789793.000000,,,,,397254137253.000000,462613426161.000000,,,,528253766929.000000,,,,1097353876144.000000,1625607643073.000000,2088221069234.000000,,,47863646262.000000,,,,283203865.000000,3245558320.000000,3528762185.000000,,5853969368.000000,2311523310.000000,8165492678.000000,2585630577.000000,3404966231.000000,,20621543095.000000,289939025.000000,,20911482120.000000,9267312471.000000,47863646262.000000,213101119289.000000,,57517852796.000000,29611227.000000,,57547464023.000000,77034762500.000000,32900000000.000000,,,45618892766.000000,213101119289.000000,260964765551.000000,,1762944750000.000000,-8239901904.000000,30612236992.000000,,,30612236992.000000,146245161.000000,41792973434.000000,1827256303683.000000,2088221069234.000000,3525889500.000000
12M 2010,,,59589534371.000000,19658542945.000000,9562972175.000000,10095570770.000000,19658542945.000000,301030613776.000000,,,301030613776.000000,,,,,15017058088.000000,395295749180.000000,,,,471401619660.000000,,1453453790.000000,,1223762347873.000000,1696617421323.000000,2091913170503.000000,,,43238505971.000000,,,,123595943.000000,1801113217.000000,1924709160.000000,,1433321355.000000,4685030231.000000,6118351586.000000,4729438223.000000,1821709973.000000,,16332017514.000000,309646703.000000,,16641664217.000000,12002632812.000000,43238505971.000000,95364421224.000000,,45313830249.000000,359162266.000000,,45672992515.000000,,31468500000.000000,,,18222928709.000000,95364421224.000000,138602927195.000000,,1762944750000.000000,-8239901904.000000,198603614442.000000,,,198603614442.000000,1780770.000000,,1953310243308.000000,2091913170503.000000,3525889500.000000
12M 2011,,,12114018843.000000,25454660593.000000,12981307992.000000,12473352601.000000,25454660593.000000,104000085482.000000,,,104000085482.000000,,,,,52021248378.000000,193590013296.000000,,,,486735326576.000000,,2039177351.000000,,1266301606623.000000,1755076110550.000000,1948666123846.000000,,,45056085993.000000,,,,148458772.000000,5220427250.000000,5368886022.000000,,1313150783.000000,2971339071.000000,4284489854.000000,1634090547.000000,1776088440.000000,,20650404369.000000,544092287.000000,,21194496656.000000,10798034474.000000,45056085993.000000,92684328964.000000,,40952258712.000000,541642552.000000,,41493901264.000000,,31738000000.000000,,,19452427700.000000,92684328964.000000,137740414957.000000,,1762944750000.000000,-8239901904.000000,244194525450.000000,,,244194525450.000000,39259204.000000,-188012923861.000000,1810925708889.000000,1948666123846.000000,3525889500.000000
12M 2012,,,94101193154.000000,57751201650.000000,27587260561.000000,30163941089.000000,57751201650.000000,8478413507.000000,,,8478413507.000000,1586011166.000000,,,1586011166.000000,145553794637.000000,307470614114.000000,,1194473580506.000000,,467221864485.000000,750740287061.000000,6556092571.000000,,2344265795.000000,2421336090418.000000,2728806704532.000000,,,169817374918.000000,,,,205177688.000000,11013487952.000000,11218665640.000000,,1110979039.000000,40660844946.000000,41771823985.000000,14887189632.000000,23677955713.000000,,23606872352.000000,1060518059.000000,,24667390411.000000,53594349537.000000,169817374918.000000,347278382193.000000,,273200467617.000000,1624045797.000000,,274824513414.000000,,33845000000.000000,,,38608868779.000000,347278382193.000000,517095757111.000000,,1772105645500.000000,-7928431457.000000,353977928323.000000,,,353977928323.000000,229929933674.000000,-136374128619.000000,2211710947421.000000,2728806704532.000000,3544211291.000000
12M 2013,,,92373928789.000000,69912648732.000000,30389046479.000000,39523602253.000000,69912648732.000000,7710910387.000000,61928423.000000,7648981964.000000,7710910387.000000,630636345794.000000,617121077082.000000,13515268712.000000,630636345794.000000,79171987191.000000,879805820893.000000,,1168416030542.000000,,2954120516091.000000,886946463064.000000,6630787210.000000,1444841650.000000,1464064749698.000000,6481623388255.000000,7361429209148.000000,,,425323273420.000000,2850000000.000000,,,313219534.000000,65081634248.000000,65394853782.000000,,1901803220.000000,70540860860.000000,72442664080.000000,31003552504.000000,44367158284.000000,,115113042572.000000,2086941176.000000,17471790342.000000,134671774090.000000,74593270680.000000,425323273420.000000,838786341274.000000,,682128658042.000000,2102180429.000000,5196628500.000000,689427466971.000000,,,48358604202.000000,1374250000.000000,99626020101.000000,838786341274.000000,1264109614694.000000,,2494800205000.000000,1452654321680.000000,631978749682.000000,1000000000.000000,630978749682.000000,631978749682.000000,1642512032239.000000,-124625714147.000000,6097319594454.000000,7361429209148.000000,4989600410.000000
12M 2014,,,271006907906.000000,93999622170.000000,53729911889.000000,40269710281.000000,93999622170.000000,12960023533.000000,54340866.000000,12905682667.000000,12960023533.000000,942901821627.000000,930251574731.000000,12650246896.000000,942901821627.000000,181459904852.000000,1502328280088.000000,,1259369279649.000000,1324595879934.000000,3125570497288.000000,1479443099894.000000,8282222194.000000,1444841650.000000,1263572092364.000000,8462277912973.000000,9964606193061.000000,,,470302831596.000000,2850000000.000000,,,437586604.000000,77023393589.000000,77460980193.000000,,2470491117.000000,32415063583.000000,34885554700.000000,49474300282.000000,62921706768.000000,,126220333579.000000,3391758612.000000,17603432431.000000,147215524622.000000,95494765031.000000,470302831596.000000,1475432565608.000000,,1113134320412.000000,4144373384.000000,175848089593.000000,1293126783389.000000,,,53677525935.000000,,128628256284.000000,1475432565608.000000,1945735397204.000000,,3235553105000.000000,3109487084692.000000,955046388270.000000,2000000000.000000,953046388270.000000,955046388270.000000,255646267755.000000,463137950140.000000,8018870795857.000000,9964606193061.000000,6471106210.000000
12M 2015,,,330105961589.000000,90838638817.000000,55671988819.000000,35166649998.000000,90838638817.000000,8728696214.000000,87394818.000000,8641301396.000000,8728696214.000000,947762086305.000000,935523465846.000000,12238620459.000000,947762086305.000000,885595147819.000000,2263030530744.000000,,404064462182.000000,1159095835061.000000,3244789078166.000000,1871897477776.000000,10022266739.000000,1444841650.000000,2172969501145.000000,8864283462719.000000,11127313993463.000000,,,633205626460.000000,2850000000.000000,,,1790715792.000000,63370737797.000000,65161453589.000000,,2280763078.000000,38305925057.000000,40586688135.000000,46531947405.000000,72166447346.000000,,262073297975.000000,2366699416.000000,19867502576.000000,284307499967.000000,121601590018.000000,633205626460.000000,1618825482920.000000,,1434018634344.000000,4036815928.000000,6186203598.000000,1444241653870.000000,,,48279476119.000000,,126304352931.000000,1618825482920.000000,2252031109380.000000,,3445233618500.000000,3559242335684.000000,1169004759764.000000,3000000000.000000,1166004759764.000000,1169004759764.000000,250799030726.000000,451003139408.000000,8875282884082.000000,11127313993462.000000,6890467237.000000
12M 2016,,,192620732976.000000,115859518415.000000,85898695474.000000,29960822941.000000,115859518415.000000,8150260778.000000,35063700.000000,8115197078.000000,8150260778.000000,975563616907.000000,961617850707.000000,13945766200.000000,975563616907.000000,4074664647362.000000,5366858776438.000000,,,1300033174374.000000,3526993558084.000000,2543904367621.000000,46093150683.000000,1444841650.000000,1372100240507.000000,8790569332919.000000,14157428109357.000000,,,992516702890.000000,2850000000.000000,,,2896218178.000000,110127296944.000000,113023515122.000000,,81898021182.000000,30991921968.000000,112889943150.000000,32030245257.000000,63725384015.000000,,531845767500.000000,2821322042.000000,19262078053.000000,553929167595.000000,114068447751.000000,992516702890.000000,1901284497809.000000,,1655832467953.000000,785584407.000000,6359521199.000000,1662977573559.000000,,,44035278445.000000,,194271645805.000000,1901284497809.000000,2893801200699.000000,,3445533618500.000000,3562555392552.000000,2898102045408.000000,4000000000.000000,2894102045408.000000,2898102045408.000000,217536758049.000000,1139899094149.000000,11263626908658.000000,14157428109357.000000,6891067237.000000
12M 2017,,,196355861623.000000,108004468778.000000,83821002225.000000,24183466553.000000,108004468778.000000,23140656972.000000,,23140656972.000000,23140656972.000000,1031274621005.000000,1027532737233.000000,3741883772.000000,1031274621005.000000,2514225462471.000000,3873001070849.000000,,,1394147436628.000000,3371710574987.000000,5104728318232.000000,45148866590.000000,1444841650.000000,1536975167807.000000,11454155205894.000000,15327156276743.000000,,,563588908044.000000,,,,8293407064.000000,192200962073.000000,200494369137.000000,,3211360325.000000,32944671485.000000,36156031810.000000,48222013417.000000,50475936804.000000,,192626256539.000000,2057291401.000000,,194683547940.000000,33557008936.000000,563588908044.000000,2399578021898.000000,,2178428312420.000000,2593933021.000000,6519475934.000000,2187541721375.000000,,,13742418767.000000,,198293881756.000000,2399578021898.000000,2963166929942.000000,,3703956139500.000000,4051320802284.000000,4191141491457.000000,5000000000.000000,4186141491457.000000,4191141491457.000000,218389588748.000000,199181324812.000000,12363989346801.000000,15327156276743.000000,7407912279.000000
