Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,46666329984.000000,,46666329984.000000,-64383269303.000000,,,,,-64383269303.000000,-17716939319.000000,-92023552310.000000,3952349151.000000,-5648147753.000000,-31979173449.000000,-65347313336.000000,,6998733077.000000,-92023552310.000000,-109740491629.000000,1904941219.000000,-107835550410.000000,264544610.000000,,-107571005800.000000,,,-107571005800.000000,-107835550410.000000,264544610.000000,,,-107571005800.000000,,,,,
12M 2009,55666363429.000000,,55666363429.000000,-51341898872.000000,,,,,-51341898872.000000,4324464557.000000,123168522412.000000,13053244711.000000,-6868673187.000000,25174745346.000000,92025962767.000000,183795567.000000,-400552792.000000,123168522412.000000,127492986969.000000,-13265821902.000000,114227165067.000000,-5436624.000000,13652832324.000000,127874560767.000000,,,127874560767.000000,114227165067.000000,-5436624.000000,13652832324.000000,,127874560767.000000,,,,,
12M 2010,71088343127.000000,,71088343127.000000,-48928889692.000000,,,,,-48928889692.000000,22159453435.000000,147206061112.000000,149192748.000000,-6434803285.000000,4604896264.000000,130626128108.000000,38200000.000000,18222447277.000000,147206061112.000000,169365514547.000000,-6437323252.000000,162928191295.000000,188122845.000000,,163116314140.000000,,,163116314140.000000,162928191295.000000,188122845.000000,,,163116314140.000000,,,,,
12M 2011,80956007412.000000,,80956007412.000000,-57395083328.000000,,,,,-57395083328.000000,23560924084.000000,28773232541.000000,169156150.000000,-7389462201.000000,-123108709.000000,35349877378.000000,,766769923.000000,28773232541.000000,52334156625.000000,-6739585062.000000,45594571563.000000,,,45594571563.000000,7659166139.000000,53253737702.000000,45594571563.000000,45590911008.000000,3660555.000000,,,45594571563.000000,53253737702.000000,53250077147.000000,3660555.000000,,53253737702.000000
12M 2012,409022943610.000000,-173810057028.000000,235212886582.000000,-127214610844.000000,-24754269340.000000,-102460341504.000000,,,-127214610844.000000,107998275738.000000,49387198753.000000,2556621037.000000,-19384559619.000000,-12488595985.000000,57871246352.000000,,20832486968.000000,49387198753.000000,157385474491.000000,-11363061572.000000,146022412919.000000,,,146022412919.000000,-361443474.000000,145660969445.000000,146022412919.000000,109783402873.000000,36239010046.000000,,,146022412919.000000,145660969445.000000,109421959399.000000,36239010046.000000,,145660969445.000000
12M 2013,588108771772.000000,-327687405636.000000,260421366136.000000,-156617201654.000000,-30144736046.000000,-126472465608.000000,,,-156617201654.000000,103804164482.000000,238228654528.000000,7450071306.000000,-30884935162.000000,-6449933094.000000,12144871286.000000,,255968580192.000000,238228654528.000000,342032819010.000000,-43141457888.000000,298891361122.000000,,,298891361122.000000,-9763428133.000000,289127932989.000000,298891361122.000000,278000821359.000000,20890539763.000000,,,298891361122.000000,289127932989.000000,268237393226.000000,20890539763.000000,,289127932989.000000
12M 2014,1013177159749.000000,-530205787464.000000,482971372285.000000,-276391499614.000000,-41477894653.000000,-234913604961.000000,,,-276391499614.000000,206579872671.000000,235504792321.000000,3823525469.000000,-48486889987.000000,177144093.000000,98985156634.000000,114516215.000000,180891339897.000000,235504792321.000000,442084664992.000000,-22745610032.000000,419339054960.000000,,,419339054960.000000,3838436634.000000,423177491594.000000,419339054960.000000,386574607678.000000,32764447282.000000,,,419339054960.000000,423177491594.000000,390413044312.000000,32764447282.000000,,423177491594.000000
12M 2015,1139373543601.000000,-600755781830.000000,538617761771.000000,-336216334186.000000,-36456823070.000000,-281134154419.000000,-18625356697.000000,,-336216334186.000000,202401427585.000000,59535960554.000000,6807051159.000000,-70831568671.000000,-315354826.000000,71669737573.000000,-2076544.000000,52208171863.000000,59535960554.000000,261937388139.000000,-22246919999.000000,239690468140.000000,,,239690468140.000000,5736352910.000000,245426821050.000000,239690468140.000000,228244278900.000000,11446189240.000000,,,239690468140.000000,245426821050.000000,231907463424.000000,13519357626.000000,,245426821050.000000
12M 2016,946473233588.000000,-585135225293.000000,361338008295.000000,-325685953351.000000,-39909526224.000000,-265210086304.000000,-20566340823.000000,,-325685953351.000000,35652054944.000000,1754001713316.000000,31759297412.000000,-86863459127.000000,1068110835.000000,5832812919.000000,245457450.000000,1801959493827.000000,1754001713316.000000,1789653768260.000000,11169701080.000000,1800823469340.000000,,,1800823469340.000000,891245384382.000000,2692068853722.000000,1800823469340.000000,1770787658879.000000,30035810461.000000,,,1800823469340.000000,2692068853722.000000,2662938571280.000000,29130282442.000000,,2692068853722.000000
12M 2017,938273924561.000000,-573184793356.000000,365089131205.000000,-356858360375.000000,-33303922392.000000,-303107140360.000000,-20447297623.000000,,-356858360375.000000,8230770830.000000,1301730891282.000000,6330931159.000000,-129163117247.000000,354817506.000000,,1560665381.000000,1422647594483.000000,1301730891282.000000,1309961662112.000000,5272242250.000000,1315233904362.000000,,,1315233904362.000000,-935095726044.000000,380138178318.000000,1315233904362.000000,1295322830749.000000,19911073613.000000,,,1315233904362.000000,380138178318.000000,361267917186.000000,18870261132.000000,,380138178318.000000
